process_id,Oper,master_desc,detail_desc,detail_id,remark,
	000IA125       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA125       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA138       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA138       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA138       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA138       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA143       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA143       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA146ENG    ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA146ENG    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA146ENG    ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA146ENG    ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA147       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA147       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA149       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA149       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA149       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA149       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA162       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA162       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA162       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	X                                       ,
	000IA162       ,	2040,	Support Entity                          ,	Other                                             ,	S20400199,	Dual                                    ,
	000IA162       ,	2040,	Support Entity                          ,	Other                                             ,	S20400199,	Dual                                    ,
	000IA163       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA163       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA163       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	C                                       ,
	000IA163       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA163       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA173       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA173       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA173       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA173       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA184       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA184       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA184       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	C                                       ,
	000IA184       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA184       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA190       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA190       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA190       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	C                                       ,
	000IA190       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA190       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA191       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA191       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA191       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA191       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA192       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA192       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA192       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
