ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time,ent_weight
BBR99,,RAPID,RUNNING,R20GJKA16,,2200,252X2GJ006,60078431{XX},AGJ252X20003A,1288,19002,2022/5/16 17:46,2022/5/17 11:27,A-DATA,STBGA252C4V,141722,,72.8045,,,TB-B20,,2200,1091A07C41,4,R20GJKA10,STBGA252C4V,A-DATA,AGJ252X20003A,1091A07C41,,72.8045,64.6686,2022/5/17 11:27,1563.238095
BBRA1,,RAPID,WAIT-SETUP,,,,,,AAB008YM2025A,,,2022/5/17 06:42,,,,,MC,,,,TB-B20,,2200,,,R20HQJ102,FPSTLGA44tBV,EMC,AHQ0442J3003A,1091A06C41,,1368.7888,1215.8266,,
BBRA2,,RAPID,WAIT-SETUP,,,,,,ANV153XT9070A,,,2022/5/17 04:32,,,,,SC,,,,TB-B20,05/26/2022 MP,2200,,,R20HQHQ09,FPSTLGA44tBV,EMC,AHQ0442J3003A,1091A06C41,,81.4683,72.3642,,
BBRA3,,RAPID,RUNNING,R20HQJ105,,2200,0442JHQ026,FSA80STH001USA{MXXX-115}{,AHQ0442J3003A,2334,19289,2022/5/17 04:40,2022/5/17 11:46,EMC,FPSTLGA44tBV,YQ225G1,,328.6546,,,TB-B20,05/27/2022 MP,2200,1091A06C41,,R20HQHQ16,FPSTLGA44tBV,EMC,AHQ0442J3003A,1091A06C41,,328.6546,291.9274,2022/5/17 11:46,3062.066667
BBRA4,,RAPID,IDLE,,,,,,AHQ0442J3003A,,,2022/5/16 17:57,,,,,,,,,TB-B20,05/28/2022 MP,2200,,,R20HQHQ04,FPSTLGA44tBV,EMC,AHQ0442J3003A,1091A06C41,,328.6546,291.9274,,
BBRA5,,RAPID,ENG,R17QTA305,,2200,192X8QT002,TM0019B-GB01,AQT192X85001C,1680,17165,2022/5/17 07:20,2022/5/17 07:20,WeidaHiTech,STBGA192B4U,DFX088.00,PE,73.1286,,,TB-B20,05/29/2022 MP,2200,1091C08TP2,P,R18QTA404,STBGA192B4U,WeidaHiTech,AQT192X85001C,1091C08TP2,,73.1286,64.9565,2022/5/17 11:38,2772.277778
BBRA6,,RAPID,SETUP,R20AWAZ07,,2200,162KEAW001,6143L-G2XMGIYPBFC9,AAW162KE1002A,1670,59872,2022/5/17 07:38,2022/5/17 08:08,MXIC,STBGA162BAU,8K009100,CC,116.275,,,TB-B20,05/30/2022 MP,2200,1091G07PA4,4,R20AWAC24,STBGA162BAU,MXIC,AAW162KE1002A,1091G07PA4,,116.275,103.2813,2022/5/17 08:53,13654.47619
BBRA7,,RAPID,IDLE,,,,,,AHQ0442J3003A,,,2022/5/17 02:39,,,,,,,,,TB-B20,05/31/2022 MP,3200,,,R20HQHQ14,FPSTLGA44tBV,EMC,AHQ0442J3003A,1091A06C41,,328.6546,291.9274,,
BBRA8,,RAPID,RUNNING,R20HQHT04,,2200,0442JHQ029,FSA80STH001USA{MXXX-115-E,AHQ0442J3006A,2320,27566,2022/5/15 21:05,2022/5/16 08:07,EMC,FPSTLGA44tBV,YQ225F3,,210.1116,,,TB-B20,,2200,1091A06C41,,R20ABSC14,DFN-08YM2D,WINBOND,AAB008YM2018A,1091A07T21,,210.1116,186.6316,2022/5/16 08:07,5522.866667
BBRA9,,RAPID,RUNNING,R20HQHS03,,2200,0442JHQ033,FSA80STH002USA{MXXX-85-EM,AHQ0442J3008A,2352,37215,2022/5/17 05:56,2022/5/17 13:05,EMC,FPSTLGA44YBV,YQ225F2,,328.6546,,,TB-B20,,2200,1091A06C41,,R20HQHM06,FPSTLGA44YBV,EMC,AHQ0442J3008A,1091A06C41,,328.6546,291.9274,2022/5/17 13:05,8985.533333
