process_id,Oper,master_desc,detail_id,remark
000IA353,2040,Support Entity,S20400102,
000IA353,2040,Support Entity,S20400102,
000IA358,2022,PTN No,O20220198,12
000IA358,2070,Lot Size,O20700198,999999
000IA358,2010,Entity Code,R20100698,C
000IAE22ENG,2070,Lot Size,O20700198,999999
000IAE22ENG,2010,Entity Code,R20100698,O
000IAE27ENG,2022,PTN No,O20220198,12
000IAE27ENG,2070,Lot Size,O20700198,999999
000IAE27ENG,2010,Entity Code,R20100698,T
000IAE27ENG,2040,Support Entity,S20400102,
000IAE27ENG,2040,Support Entity,S20400102,
0086A038,2070,Entity,E20700199,ESEC-2100
0086A038,2070,Entity,E20700199,ESEC-2100
0086A038,2070,Entity,E20700199,ESEC-2100
0086A038,2130,Entity,E21300199,DB-800; DB-700; DB-830
0086A038,2150,Entity,E21500199,MARCH_FAST
0086A038,2200,Entity (KNS),E22000298,Maxum Plus
0086A038,2250,Entity,E22500199,TEPLA
0086A038,2070,Lot Size,O20700198,1600
0086A038,2051,PTN No,R20510198,15
0086A038,2080,PTN No,R20800698,11
0086A038,2140,PTN no,R21400198,66
0086A038,2140,PTN no,R21400198,66
0086A038,2150,PTN no,R21500198,05
0086A038,2250,PTN no,R22500198,02
0086A038,2330,PTN no,R23300398,01
0086A038,2040,Support Entity,S20400199,Dual
0086A038,2040,Support Entity,S20400199,Dual
0086A038,2200,Support Entity,S22000102,
0086A038,2200,Support Entity,S22000103,FG085A-CD2911.5-06A
0086A076,2070,Entity,E20700199,ESEC-2100
0086A076,2070,Entity,E20700199,ESEC-2100
0086A076,2070,Entity,E20700199,ESEC-2100
0086A076,2130,Entity,E21300199,DB-800; DB-830
0086A076,2150,Entity,E21500199,MARCH_FAST
0086A076,2200,Entity (KNS),E22000298,Maxum Plus
0086A076,2250,Entity,E22500199,TEPLA
0086A076,2070,Lot Size,O20700198,1600
0086A076,2051,PTN No,R20510198,15
0086A076,2080,PTN No,R20800698,11
0086A076,2140,PTN no,R21400198,66
0086A076,2140,PTN no,R21400198,66
0086A076,2150,PTN no,R21500198,05
0086A076,2250,PTN no,R22500198,02
0086A076,2330,PTN no,R23300398,01
0086A076,2040,Support Entity,S20400102,
0086A076,2040,Support Entity,S20400102,
0086A076,2200,Support Entity,S22000102,
0086A076,2200,Support Entity,S22000103,SU-22061-263E12
0086A081,2070,Entity,E20700199,ESEC-2100
0086A081,2070,Entity,E20700199,ESEC-2100
0086A081,2070,Entity,E20700199,ESEC-2100
0086A081,2130,Entity,E21300199,DB-800; DB-830
0086A081,2200,Entity (KNS),E22000298,Iconn
0086A081,2250,Entity,E22500199,Tepla-400/660
0086A081,2070,Lot Size,O20700198,1600
0086A081,2010,Entity Code,R20100698,Y
0086A081,2051,PTN No,R20510198,15
0086A081,2080,PTN No,R20800698,11
0086A081,2140,PTN no,R21400198,66
0086A081,2140,PTN no,R21400198,66
0086A081,2150,PTN no,R21500198,05
0086A081,2250,PTN no,R22500198,02
0086A081,2330,PTN no,R23300398,04
0086A081,2040,Support Entity,S20400102,
0086A081,2040,Support Entity,S20400102,
0086A081,2200,Support Entity,S22000102,
0086A081,2200,Support Entity,S22000103,SU-22061-263E12
0086A081,2300,Support Entity,S23000102,1241E0MW14
0086A081,2300,Support Entity,S23000102,1241E0MW14
0086A081,2300,Support Entity,S23000102,1241E0MW14
0086A101,2070,Entity,E20700199,DB-700
0086A101,2070,Entity,E20700199,DB-700
0086A101,2070,Entity,E20700199,DB-700
0086A101,2130,Entity,E21300199,DB-800; DB-700
0086A101,2200,Entity (KNS),E22000298,Iconn
0086A101,2250,Entity,E22500199,E&R
0086A101,2070,Lot Size,O20700198,1600
0086A101,2010,Entity Code,R20100698,H
0086A101,2051,PTN No,R20510198,15
0086A101,2140,PTN no,R21400198,11
0086A101,2140,PTN no,R21400198,11
0086A101,2150,PTN no,R21500198,05
0086A101,2250,PTN no,R22500198,15
0086A101,2330,PTN no,R23300398,01
0086A101,2040,Support Entity,S20400102,
0086A101,2040,Support Entity,S20400102,
0086A101,2200,Support Entity,S22000102,
0086A101,2200,Support Entity,S22000103,SU-22061-263E12
0086A103,2070,Entity,E20700199,DB-700
0086A103,2070,Entity,E20700199,DB-700
0086A103,2070,Entity,E20700199,DB-700
0086A103,2130,Entity,E21300199,DB-700
0086A103,2200,Entity (KNS),E22000298,Iconn
0086A103,2250,Entity,E22500199,E&R
0086A103,2070,Lot Size,O20700198,1600
0086A103,2010,Entity Code,R20100698,H
0086A103,2051,PTN No,R20510198,15
0086A103,2140,PTN no,R21400198,11
0086A103,2140,PTN no,R21400198,11
0086A103,2150,PTN no,R21500198,05
0086A103,2250,PTN no,R22500198,15
0086A103,2330,PTN no,R23300398,01
0086A103,2040,Support Entity,S20400199,Dual
0086A103,2040,Support Entity,S20400199,Dual
0086A103,2200,Support Entity,S22000102,
0086A103,2200,Support Entity,S22000103,SU-22061-263E12
0086A105,2070,Entity,E20700199,DB-700
0086A105,2070,Entity,E20700199,DB-700
0086A105,2070,Entity,E20700199,DB-700
0086A105,2130,Entity,E21300199,DB-700
0086A105,2200,Entity (KNS),E22000298,Iconn
0086A105,2250,Entity,E22500199,E&R
0086A105,2070,Lot Size,O20700198,1600
0086A105,2010,Entity Code,R20100698,O
0086A105,2051,PTN No,R20510198,15
0086A105,2140,PTN no,R21400198,11
0086A105,2140,PTN no,R21400198,11
0086A105,2150,PTN no,R21500198,05
0086A105,2250,PTN no,R22500198,15
0086A105,2330,PTN no,R23300398,01
0086A105,2040,Support Entity,S20400199,Dual
0086A105,2040,Support Entity,S20400199,Dual
0086A105,2200,Support Entity,S22000102,
0086A105,2200,Support Entity,S22000103,SU-22061-263E12
0086A106,2070,Entity,E20700199,DB-700
0086A106,2070,Entity,E20700199,DB-700
0086A106,2070,Entity,E20700199,DB-700
