ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB235,UTC3000,RUNNING,R13OKL304,2200,048TVOK056,AOK048TV1029A,22-04-02 07:38,22-04-01 21:01,LAPIS,TSOP1-48A2,2560,04/25/2022 MP,1091A07C41,,R13OKL214,TSOP1-48A2,LAPIS,AOK048TV1029A,1091A07C41,241.1997,22-04-02 07:38,2200
BB441,UTC1000S,IDLE,,,,AAB096EL1017A,,22-03-31 09:10,,,,04/26/2022 MP,,,R13ABK803,FBGA96UEL(2),WINBOND,AAB096EL1017A,1091A07T21,215.8662,,2200
BB442,UTC1000S,IDLE,,,,AAB096EL1017A,,22-03-31 09:42,,,,04/27/2022 MP,,,R13ABK804,FBGA96UEL(2),WINBOND,AAB096EL1017A,1091A07T21,215.8662,,2200
BB443,UTC1000S,RUNNING,R14ABC302,2200,096ELAB016,AAB096EL1003A,22-04-02 17:21,22-04-01 16:42,WINBOND,FBGA96UEL(2),5990,,1091A07T21,4,R13ABK501,FBGA96UEL(2),WINBOND,AAB096EL1003A,1091A07T21,243.0216,22-04-02 17:21,2200
BB444,UTC1000S,RUNNING,R14ABC101,2200,024MAAB026,AAB024MA5010A,22-04-02 13:14,22-04-02 07:40,WINBOND,MINIBGA24A2L,8640,04/02/2022 MP,1091A07T21,,R13BUFM02,MINIBGA48A2L,ICSI,ABU048MA4014A,1091A07C21,1553.6308,22-04-02 13:14,2200
BB445,UTC1000S,RUNNING,R14MSC707,2200,096ECMS003,AMS096EC1002A,22-04-02 12:32,22-04-01 16:41,MTI,FBGA-96UEC,5598,04/03/2022 MP,1091A06T41,,R14MSC902,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,281.9699,22-04-02 12:32,2200
BB446,UTC1000S,IDLE,,,,AAB096EF3001A,,22-03-31 15:55,,,,04/04/2022 MP,,,R14ABAD06,FBGA96UEF3-2,WINBOND,AAB096EF3001A,1091A07T21,224.1817,,2200
BB447,UTC1000S,WAIT-REPAIR,R14ABBL01,2200,060EMAB004,AAB060EM2001A,22-04-02 18:56:42,22-04-02 07:27,WINBOND,FBGA60UEM2-1,3647,04/05/2022 MP,,,R13MSI206,FBGA-78UEN,MTI,AMS078EN1001A,1091A06T21,309.2533,22-04-02 18:56,2200
BB448,UTC1000S,IDLE,,,,AMS096EC3001B,,22-03-31 17:08,,,,04/06/2022 MP,,,R14MSAG07,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,240.3634,,2200
BB449,UTC1000S,IDLE,,,,AAB096EL1012A,,22-04-01 22:00,,,,04/07/2022 MP,,,R13ABFF02,FBGA96UEL(2),WINBOND,AAB096EL1012A,1091A06T21,221.9003,,2200
