bom_id,ver,reg_date,item,oper,part_id,qty,tole,reason,supp,remark,
	YU020604  ,	 A,	2020/12/11 上午 12:00:00,	2,	2200,	1091A08T41               ,	0.000,	0.150,	20        ,	          ,	0.8 AU                                  ,
	YU020604  ,	 A,	2020/12/11 上午 12:00:00,	3,	2300,	108192HF36               ,	0.000,	4.000,	,	          ,	PJ指示用92HF;1230BALLSN0000A            ,
	YU020604  ,	 A,	2020/12/11 上午 12:00:00,	4,	2070,	120100185B               ,	0.000,	3.400,	0.152     ,	          ,	改版                                    ,
	YU020604  ,	 A,	2020/12/11 上午 12:00:00,	5,	3720,	1011CA176A               ,	0.014,	0.800,	,	          ,	                                        ,
	IA000013  ,	 A,	,	1,	3720,	1011CA190A               ,	0.027,	0.800,	,	          ,	                                        ,
	OF016604  ,	 B,	2021/11/5 上午 12:00:00,	1,	2300,	108192HF36               ,	0.000,	4.000,	,	          ,	1231BAS00A                              ,
	OF016604  ,	 B,	2021/11/5 上午 12:00:00,	2,	2070,	120100169A               ,	0.000,	3.400,	0.152     ,	          ,	                                        ,
	OF016604  ,	 B,	2021/11/5 上午 12:00:00,	3,	3720,	1011CA214A               ,	0.014,	0.800,	,	          ,	pitch 4mm                               ,
	OF016604  ,	 B,	2021/11/5 上午 12:00:00,	4,	2070,	1241FAC26S               ,	0.000,	5.000,	,	          ,	,
	Y7008602  ,	 B,	2021/11/5 上午 12:00:00,	1,	2300,	108192HF36               ,	0.000,	4.000,	,	          ,	1230BALLSN0000A                         ,
	Y7008602  ,	 B,	2021/11/5 上午 12:00:00,	2,	2070,	120100009A               ,	0.000,	3.400,	0.152     ,	          ,	,
	Y7008602  ,	 B,	2021/11/5 上午 12:00:00,	3,	3720,	1011CA180A               ,	0.014,	0.800,	,	          ,	2/25 15 PACK PE PETER改貼布             ,
	Y7008602  ,	 B,	2021/11/5 上午 12:00:00,	4,	2070,	1241FAC26S               ,	0.000,	5.000,	,	          ,	,
	YZ008004  ,	 C,	2021/11/5 上午 12:00:00,	1,	2410,	1231BAS00A               ,	0.070,	5.000,	,	          ,	TAPE需換成1010CA00000160A               ,
	YZ008004  ,	 C,	2021/11/5 上午 12:00:00,	2,	2300,	108192HF36               ,	0.009,	4.000,	,	          ,	                                        ,
	YZ008004  ,	 C,	2021/11/5 上午 12:00:00,	3,	2070,	120100008A               ,	1000.000,	3.400,	0.203     ,	          ,	,
	YZ008004  ,	 C,	2021/11/5 上午 12:00:00,	4,	3720,	1011CA139A               ,	0.014,	0.800,	,	          ,	,
	YZ008004  ,	 C,	2021/11/5 上午 12:00:00,	5,	2070,	1241FAC26S               ,	0.083,	5.000,	,	          ,	,
	IA000121  ,	 A,	,	1,	3720,	1011CA326A               ,	0.008,	0.800,	,	          ,	                                        ,
	YK010634  ,	 A,	2021/10/15 上午 12:00:00,	1,	2070,	120101109A               ,	0.000,	3.400,	0.203     ,	          ,	L010Y0303E5(Possehl)                    ,
	YK010634  ,	 A,	2021/10/15 上午 12:00:00,	2,	2070,	1071P10764               ,	0.000,	15.000,	          ,	          ,	                                        ,
	YK010634  ,	 A,	2021/10/15 上午 12:00:00,	3,	2200,	1091A08T41               ,	0.000,	0.150,	10        ,	          ,	0.8mil Au                               ,
	YK010634  ,	 A,	2021/10/15 上午 12:00:00,	4,	2300,	108192HF42               ,	0.000,	4.000,	          ,	          ,	1231BAS00A                              ,
	YK010634  ,	 A,	2021/10/15 上午 12:00:00,	5,	3720,	1011CA106A               ,	0.014,	0.800,	          ,	          ,	,
	D5016050  ,	 C,	2021/3/4 上午 12:00:00,	1,	2052,	1221C20008               ,	4000.000,	10.000,	          ,	          ,	,
	D5016050  ,	 C,	2021/3/4 上午 12:00:00,	2,	2052,	1221C20005               ,	2000.000,	10.000,	          ,	          ,	,
	D5016050  ,	 C,	2021/3/4 上午 12:00:00,	3,	2070,	121101809A               ,	1000.000,	0.900,	0.300     ,	          ,	,
	D5016050  ,	 C,	2021/3/4 上午 12:00:00,	4,	2430,	1011TR588B               ,	11.224,	0.600,	          ,	          ,	,
	D5016050  ,	 C,	2021/3/4 上午 12:00:00,	5,	2070,	1071F76004               ,	0.082,	14.000,	          ,	          ,	BOT-5255 12  150um                      ,
	D5016050  ,	 C,	2021/3/4 上午 12:00:00,	6,	2130,	1071F76004               ,	0.951,	14.000,	          ,	          ,	TOP-9119 12  150um                      ,
	D5016050  ,	 C,	2021/3/4 上午 12:00:00,	7,	2200,	1091A07T41               ,	214.964,	0.150,	166       ,	          ,	0.7 mil Au                              ,
	D5016050  ,	 C,	2021/3/4 上午 12:00:00,	8,	2300,	1081G1250E               ,	0.471,	4.000,	          ,	          ,	,
	D5016050  ,	 C,	2021/3/4 上午 12:00:00,	9,	2052,	1101T70525               ,	8.680,	3.000,	          ,	          ,	20210111005改版CPD                      ,
	D5016050  ,	 C,	2021/3/4 上午 12:00:00,	10,	2052,	SUBMATSAW016             ,	1000.000,	0.800,	,	          ,	TDAAW016D53026A-A                       ,
	D5016050  ,	 C,	2021/3/4 上午 12:00:00,	11,	2070,	SUBMATWAW097             ,	1000.000,	0.800,	,	          ,	BOT-5255A 12  150um EM710CA             ,
	D5016050  ,	 C,	2021/3/4 上午 12:00:00,	12,	2130,	SUBMATWAW098             ,	1000.000,	0.800,	,	          ,	TOP-9119X 12  150um EM710CA             ,
	IA000050  ,	 A,	2018/2/7 上午 12:00:00,	1,	3720,	1011CA246A               ,	0.016,	0.800,	,	          ,	                                        ,
	IA000083  ,	 A,	2019/7/4 上午 12:00:00,	1,	2021,	1071FC86R3               ,	0.111,	14.000,	,	          ,	,
	IA000083  ,	 A,	2019/7/4 上午 12:00:00,	2,	3720,	1011CA301A               ,	0.008,	0.800,	          ,	          ,	,
	IA000025  ,	 C,	2017/9/18 上午 12:00:00,	1,	3720,	1011CA218B               ,	0.004,	0.800,	,	          ,	20170914001 PJ改用量                    ,
