code_flag,gw_part_no,serialn_no,op_id,trans_date,trans_time,mc_no,area,roll_length,no_208,item_208,date_208,roll_weight,roll_weight_old,roll_length_inch,roll_length_old,roll_length_inch_old,roll_weight_dif,roll_length_dif,roll_length_inch_dif,transaction,txt_trans_date,txt_trans_time,trans_ways,assy_lot,oper,cimes_hist_seq,cimes_ent_hist_seq,die_count,die_count_old,die_count_dif,cimes_transaction,
O  ,1091A06T21               ,S21Y1535-7372  ,24246     ,20220212,114421,BB580     ,TA,1719.489,2022005995,1,20220205,0.000,0.000,5639.924,1986.940,6517.163,0.000,-267.451,-877.239,USE       ,20220215,201322,A,R07MSGS04   ,2200,9,0,3559,0,3559,MVOU      ,
O  ,1091A06T21               ,S21Z0313-7699  ,24319     ,20220214,183411,BBH52     ,TA,2587.189,2022006076,1,20220206,0.000,0.000,8485.979,2798.239,9178.223,0.000,-211.050,-692.244,USE       ,20220215,201544,A,R07MSFB09   ,2200,9,0,2818,0,2818,MVOU      ,
O  ,1091A07C21               ,R21C061-0005   ,24412     ,20220215,54755,BB221     ,TA,2722.484,2022006076,3,20220206,0.000,0.000,8929.748,2920.245,9578.404,0.000,-197.761,-648.656,USE       ,20220215,201733,A,R07BUAW01   ,2200,9,0,2559,0,2559,MVOU      ,
O  ,1091A06T21               ,S21Z0313-7662  ,24253     ,20220214,55907,BB713     ,TA,2369.618,2022005995,2,20220205,0.000,0.000,7772.347,2640.097,8659.518,0.000,-270.479,-887.171,USE       ,20220215,201846,A,R07MSF608   ,2200,9,0,3600,0,3600,MVOU      ,
O  ,1091A06C41               ,N221C131-0044  ,22224     ,20220210,73852,BBS01     ,TB,2457.518,2021069732,1,20211229,0.000,0.000,8060.658,2593.874,8507.907,0.000,-136.356,-447.249,USE       ,20220215,202656,A,R05HQCG02   ,3200,23,0,3977,0,3977,MVOU      ,
O  ,1091A06T21               ,S21Y0885-6588  ,19453     ,20220212,160046,BBA27     ,TB,1712.505,2022005913,4,20220204,0.000,0.000,5617.018,1931.665,6335.862,0.000,-219.160,-718.844,USE       ,20220215,202847,A,R07MSEY08   ,2200,9,0,3471,534,2937,MVOU      ,
O  ,1091A06C21               ,R21A133-0021   ,22751     ,20220212,140658,BBH15     ,TA,475.009,2022004835,1,20220127,0.000,0.000,1558.028,770.161,2526.129,0.000,-295.152,-968.101,USE       ,20220215,202931,A,R07LWDU03   ,2200,9,0,5381,0,5381,MVOU      ,
O  ,1091G08PA1               ,M9PA-0028      ,20637     ,20220214,134527,BB816     ,TB,709.469,2022005913,2,20220204,0.000,0.000,2327.057,775.555,2543.821,0.000,-66.086,-216.764,USE       ,20220215,203249,A,R07ASB201   ,2200,9,0,943,0,943,MVOU      ,
O  ,1091A06T21               ,S21Z0313-7673  ,22752     ,20220214,110553,BBC24     ,TB,2443.661,2022005996,3,20220205,0.000,0.000,8015.209,2590.950,8498.317,0.000,-147.289,-483.108,USE       ,20220215,203325,A,R07MSEX07   ,2200,9,0,3496,1525,1971,MVOU      ,
O  ,1091A06T21               ,S21Z0313-7707  ,22751     ,20220213,113150,BBH30     ,TA,2070.452,2022006076,1,20220206,0.000,0.000,6791.081,2331.044,7645.823,0.000,-260.592,-854.742,USE       ,20220215,203608,A,R07MSGW01   ,2200,9,0,3515,0,3515,MVOU      ,
O  ,1091A07C41               ,N221A052-0056  ,24253     ,20220215,30511,BB581     ,TA,2388.031,2022006570,2,20220208,0.000,0.000,7832.742,2584.719,8477.878,0.000,-196.688,-645.136,USE       ,20220215,203607,A,R07VEDB20   ,2200,9,0,3092,0,3092,MVOU      ,
O  ,1091A07T21               ,S21Y0851-6315  ,11473     ,20220210,221040,BBU48     ,TA,1261.864,2022006772,1,20220209,0.000,0.000,4138.914,1450.104,4756.341,0.000,-188.240,-617.427,USE       ,20220215,203835,A,R07YZAM05   ,2200,9,0,2460,570,1890,MVOU      ,
O  ,1091A06T21               ,S2210127-9850  ,19971     ,20220215,204404,BBH18     ,TA,3000.000,2022006076,2,20220206,0.000,0.000,9840.000,3000.000,9840.000,0.000,0.000,0.000,MC        ,20220215,204404,M,            ,0,0,0,0,0,0,          ,
O  ,1091A06T21               ,S2210127-9849  ,19971     ,20220215,204517,BBR76     ,TA,3000.000,2022006076,2,20220206,0.000,0.000,9840.000,3000.000,9840.000,0.000,0.000,0.000,MC        ,20220215,204517,M,            ,0,0,0,0,0,0,          ,
R  ,1091A07C41               ,N221A052-0043  ,25659     ,20220215,223038,BBD55     ,TB,1457.478,2022005698,1,20220201,0.000,0.000,4780.528,1457.478,4780.528,0.000,0.000,0.000,RETURN    ,20220215,223038,M,            ,0,0,0,0,0,0,          ,
O  ,1091A07T21               ,S21Y0851-6408  ,S6150     ,20220212,103409,BB450     ,TA,1265.729,2022006772,1,20220209,0.000,0.000,4151.591,1285.884,4217.700,0.000,-20.155,-66.109,USE       ,20220215,221648,A,R07ABFP01   ,2200,7,91695,1465,1296,169,BgnSetup  ,
O  ,1091A07T21               ,S21Y0851-6497  ,22290     ,20220213,231008,BB874     ,TB,2313.961,2022005529,2,20220130,0.000,0.000,7589.791,2519.463,8263.839,0.000,-205.502,-674.048,USE       ,20220215,204959,A,R06ABCA04   ,2200,13,0,5600,0,5600,MVOU      ,
O  ,1091A06T21               ,S21Z0313-7692  ,24241     ,20220215,85848,BBR18     ,TA,2834.833,2022006076,1,20220206,0.000,0.000,9298.253,3000.000,9840.000,0.000,-165.167,-541.747,USE       ,20220215,205032,A,R07MSF809   ,2200,9,0,2934,460,2474,MVOU      ,
O  ,1091A08T41               ,S21Z0903-8268  ,25658     ,20220213,10114,BBU94     ,TA,1321.682,2022005914,3,20220204,0.000,0.000,4335.117,1521.909,4991.862,0.000,-200.227,-656.745,USE       ,20220215,205432,A,R07AWAF42   ,2200,17,0,720,0,720,MVOU      ,
O  ,1091G08PA1               ,M9AG-0113      ,22290     ,20220213,85034,BB898     ,TB,378.472,2022005913,1,20220204,0.000,0.000,1241.389,586.118,1922.468,0.000,-207.646,-681.079,USE       ,20220215,205554,A,R07ASAJ07   ,2200,9,0,2973,0,2973,MVOU      ,
O  ,1091A07T21               ,S21Y0851-6467  ,24253     ,20220207,64134,BB703     ,TA,60.756,2022005695,1,20220201,0.000,0.000,199.280,309.948,1016.628,0.000,-249.192,-817.348,USE       ,20220215,205627,A,R07YZAM20   ,2200,9,0,2500,0,2500,MVOU      ,
O  ,1091A06T21               ,S2210127-9842  ,25772     ,20220215,205823,BBB30     ,TA,3000.000,2022006076,2,20220206,0.000,0.000,9840.000,3000.000,9840.000,0.000,0.000,0.000,MC        ,20220215,205823,M,            ,0,0,0,0,0,0,          ,
O  ,1091A06T21               ,S2210127-9843  ,25772     ,20220215,205941,BB781     ,TA,3000.000,2022006076,2,20220206,0.000,0.000,9840.000,3000.000,9840.000,0.000,0.000,0.000,MC        ,20220215,205941,M,            ,0,0,0,0,0,0,          ,
O  ,1091A07C41               ,N221A052-0038  ,24326     ,20220211,182016,BBD23     ,TB,1676.152,2022005698,1,20220201,0.000,0.000,5497.777,1934.623,6345.564,0.000,-258.471,-847.787,USE       ,20220215,205954,A,R07BWD215   ,2200,9,0,3201,0,3201,MVOU      ,
O  ,1091A06T21               ,S2210127-9847  ,25772     ,20220215,210050,BB772     ,TA,3000.000,2022006076,2,20220206,0.000,0.000,9840.000,3000.000,9840.000,0.000,0.000,0.000,MC        ,20220215,210050,M,            ,0,0,0,0,0,0,          ,
O  ,1091A06T21               ,S2210127-9848  ,25772     ,20220215,210154,BB704     ,TA,3000.000,2022006076,2,20220206,0.000,0.000,9840.000,3000.000,9840.000,0.000,0.000,0.000,MC        ,20220215,210154,M,            ,0,0,0,0,0,0,          ,
O  ,1091A06T21               ,S2210127-9846  ,19971     ,20220215,210302,BB752     ,TA,3000.000,2022006076,2,20220206,0.000,0.000,9840.000,3000.000,9840.000,0.000,0.000,0.000,MC        ,20220215,210302,M,            ,0,0,0,0,0,0,          ,
O  ,1091A08T41               ,S21Z0904-8443  ,25658     ,20220215,63441,BBU95     ,TA,2822.803,2022007332,4,20220211,0.000,0.000,9258.794,3000.000,9840.000,0.000,-177.197,-581.206,USE       ,20220215,210258,A,R07AWBG35   ,2200,16,0,642,0,642,MVOU      ,
O  ,1091A06T21               ,S2210127-9866  ,25772     ,20220215,210308,BBB04     ,TA,3000.000,2022007622,1,20220213,0.000,0.000,9840.000,3000.000,9840.000,0.000,0.000,0.000,MC        ,20220215,210308,M,            ,0,0,0,0,0,0,          ,
O  ,1091A07T21               ,S21Y0851-6347  ,17411     ,20220212,214049,BB219     ,TA,332.371,2022006278,4,20220207,0.000,0.000,1090.177,380.246,1247.208,0.000,-47.875,-157.031,USE       ,20220215,210319,A,R07CDAD05   ,2200,8,0,2898,2607,291,MVOU      ,
O  ,1091A08T41               ,S21Z0904-8346  ,11473     ,20220211,103838,BBU67     ,TA,972.509,2022007034,2,20220210,0.000,0.000,3189.830,1120.911,3676.588,0.000,-148.402,-486.758,USE       ,20220215,210328,A,R07AWBG20   ,2200,17,0,721,180,541,MVOU      ,
O  ,1091G08PA1               ,M9PA-0005      ,19438     ,20220214,183721,BB828     ,TB,700.025,2022005913,2,20220204,0.000,0.000,2296.083,710.845,2331.570,0.000,-10.820,-35.487,USE       ,20220215,222311,A,R07ASB705   ,2200,7,81140,147,0,147,BgnSetup  ,
O  ,1091A06T21               ,S2210127-9844  ,25772     ,20220215,210413,BB749     ,TA,3000.000,2022006076,2,20220206,0.000,0.000,9840.000,3000.000,9840.000,0.000,0.000,0.000,MC        ,20220215,210413,M,            ,0,0,0,0,0,0,          ,
O  ,1091A06T21               ,S2210127-9845  ,19971     ,20220215,210428,BB755     ,TA,3000.000,2022006076,2,20220206,0.000,0.000,9840.000,3000.000,9840.000,0.000,0.000,0.000,MC        ,20220215,210428,M,            ,0,0,0,0,0,0,          ,
O  ,1091A06T21               ,S2210127-9829  ,25772     ,20220215,210516,BBB16     ,TA,3000.000,2022006278,1,20220207,0.000,0.000,9840.000,3000.000,9840.000,0.000,0.000,0.000,MC        ,20220215,210516,M,            ,0,0,0,0,0,0,          ,
O  ,1091A07T21               ,S21Y0851-6341  ,17411     ,20220213,212912,BBU43     ,TA,1754.042,2022006278,4,20220207,0.000,0.000,5753.258,1875.101,6150.331,0.000,-121.059,-397.073,USE       ,20220215,210619,A,R07CDA301   ,2200,9,0,720,0,720,LVNE      ,
O  ,1091A06T21               ,S21Z0313-7682  ,22292     ,20220215,24735,BBH46     ,TA,2810.440,2022006076,1,20220206,0.000,0.000,9218.243,3000.000,9840.000,0.000,-189.560,-621.757,USE       ,20220215,210741,A,R07MSI401   ,2200,7,18308,2371,52,2319,BgnSetup  ,
O  ,1091A07T21               ,S21Y0851-6448  ,19438     ,20220215,164345,BBR05     ,TB,2985.927,2022005529,2,20220130,0.000,0.000,9793.839,2985.927,9793.839,0.000,0.000,0.000,USE       ,20220215,210750,A,R07ABGF08   ,2200,7,6672,1,0,1,BgnSetup  ,
O  ,1091A08T41               ,S21Z0904-8365  ,25658     ,20220211,204710,BBU96     ,TA,1040.442,2022007034,2,20220210,0.000,0.000,3412.650,1121.474,3678.435,0.000,-81.032,-265.785,USE       ,20220215,210850,A,R07AWAD38   ,2200,17,0,720,432,288,MVOU      ,
O  ,1091G08PA1               ,M9AG-0109      ,S4580     ,20220214,20149,BB868     ,TB,561.837,2022005913,1,20220204,0.000,0.000,1842.824,656.850,2154.469,0.000,-95.013,-311.645,USE       ,20220215,210958,A,R07ASAH16   ,2200,9,0,2963,1628,1335,MVOU      ,
O  ,1091A07T21               ,S21Y0851-6415  ,25658     ,20220214,173732,BBU97     ,TA,906.733,2022006772,1,20220209,0.000,0.000,2974.084,1393.618,4571.067,0.000,-486.885,-1596.983,USE       ,20220215,211051,A,R07CDA508   ,2200,8,0,2879,0,2879,MVOU      ,
O  ,1091G08PA1               ,M9AG-0117      ,19444     ,20220213,41220,BB860     ,TB,279.363,2022005913,1,20220204,0.000,0.000,916.310,289.777,950.468,0.000,-10.414,-34.158,USE       ,20220215,211134,A,R07ASB707   ,2200,7,80757,148,0,148,BgnSetup  ,
O  ,1091G08PA1               ,M9PA-0009      ,19444     ,20220215,85940,BB926     ,TB,882.563,2022005913,2,20220204,0.000,0.000,2894.805,903.525,2963.563,0.000,-20.963,-68.758,USE       ,20220215,211149,A,R07ASB504   ,2200,7,75677,298,0,298,BgnSetup  ,
O  ,1091A06T21               ,S21Y0144-4607  ,20588     ,20220214,112326,BBR48     ,TA,803.706,2022004597,2,20220126,0.000,0.000,2636.157,837.735,2747.772,0.000,-34.029,-111.615,USE       ,20220215,211254,A,R07MSGR08   ,2200,7,3097,503,0,503,BgnSetup  ,
O  ,1091A06C21               ,R21B031-0007   ,24245     ,20220215,55647,BB731     ,TA,2792.799,2022005528,1,20220130,0.000,0.000,9160.381,3000.000,9840.000,0.000,-207.201,-679.619,USE       ,20220215,211307,A,R07LWC501   ,2200,9,0,2852,0,2852,MVOU      ,
O  ,1091A07T21               ,S21Y0846-6237  ,S4580     ,20220208,222301,BB861     ,TB,703.781,2022004985,2,20220128,0.000,0.000,2308.403,911.444,2989.537,0.000,-207.663,-681.134,USE       ,20220215,211317,A,R06ABCA14   ,2200,13,0,5603,0,5603,MVOU      ,
O  ,1091A06T21               ,S21Y0885-6604  ,22752     ,20220213,143308,BBC52     ,TB,2015.792,2022005913,4,20220204,0.000,0.000,6611.797,2282.554,7486.776,0.000,-266.762,-874.979,USE       ,20220215,211350,A,R07MSF607   ,2200,9,0,3595,1,3594,MVOU      ,
F  ,1091A07T41               ,S21Y0817-5986  ,25659     ,20220215,211817,BBL22     ,TB,0.000,2022002814,3,20220116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,STATUS    ,20220215,211817,M,            ,0,0,0,0,0,0,          ,
O  ,1091A07C41               ,N221A052-0008  ,24326     ,20220211,4759,BBD41     ,TB,1182.616,2022005914,2,20220204,0.000,0.000,3878.982,1442.629,4731.824,0.000,-260.013,-852.842,USE       ,20220215,211958,A,R07BWC212   ,2200,9,0,3201,0,3201,MVOU      ,
O  ,1091A08T41               ,S21Z0903-8234  ,25658     ,20220208,200330,BBUB3     ,TA,545.631,2022004835,5,20220127,0.000,0.000,1789.669,737.751,2419.822,0.000,-192.120,-630.153,USE       ,20220215,212211,A,R07AWAD31   ,2200,17,0,720,36,684,MVOU      ,
O  ,1091A07T21               ,S21Y0851-6440  ,24253     ,20220209,184525,BBB02     ,TA,873.119,2022006278,4,20220207,0.000,0.000,2863.830,1124.934,3689.784,0.000,-251.815,-825.954,USE       ,20220215,212543,A,R07YZAM14   ,2200,9,0,2479,0,2479,MVOU      ,
O  ,1091A06T21               ,S21Y0144-4598  ,22294     ,20220211,220423,BBRF2     ,TB,1386.204,2022004598,1,20220126,0.000,0.000,4546.750,1644.530,5394.058,0.000,-258.326,-847.308,USE       ,20220215,212750,A,R07MSF706   ,2200,9,0,3540,0,3540,MVOU      ,
O  ,1091A06C41               ,N221C131-0056  ,25886     ,20220210,213604,BBS02     ,TB,2535.737,2021069260,1,20211227,0.000,0.000,8317.216,2668.039,8751.167,0.000,-132.302,-433.951,USE       ,20220215,212841,A,R05HQCG03   ,3200,22,0,3936,0,3936,MVOU      ,
O  ,1091A06T21               ,S21Z0313-7690  ,22292     ,20220215,115628,BBR85     ,TA,2834.061,2022006076,1,20220206,0.000,0.000,9295.721,2858.812,9376.904,0.000,-24.751,-81.183,USE       ,20220215,212915,A,R07MSGK05   ,2200,7,2007,179,0,179,BgnSetup  ,
O  ,1091A06T21               ,S21Y0144-4634  ,22752     ,20220211,180355,BBC35     ,TB,1370.417,2022004836,1,20220127,0.000,0.000,4494.969,1631.208,5350.362,0.000,-260.791,-855.393,USE       ,20220215,212935,A,R07MSF201   ,2200,9,0,3501,0,3501,MVOU      ,
O  ,1091A07C21               ,R21C061-0002   ,18453     ,20220215,4555,BB611     ,TA,1091.637,2022006076,3,20220206,0.000,0.000,3580.569,1109.733,3639.924,0.000,-18.096,-59.355,USE       ,20220215,213300,A,R07BUAM07   ,2200,9,0,1087,875,212,MVOU      ,
F  ,1091A07C21               ,R21B291-0040   ,19971     ,20220215,214404,BB568     ,TA,0.000,2022005584,1,20220131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,STATUS    ,20220215,214404,M,            ,0,0,0,0,0,0,          ,
