,bd_id,oper,Location,Output plan,Original ENT(07:30),Original ENT(11:00),Allocate ENT
141,AMS078EN1001A,2200,TB-5P,190.416,45.0,45.0,45.0
142,AMS078EN1002A,2200,TA-1,49.358,9.0,9.0,9.0
143,AMS078EN1002A,2200,TA-2,124.862,23.0,23.0,20.0
144,AMS078EN1002A,2200,TA-P,42.385,12.0,11.0,11.0
145,AMS078EN1002A,2200,TA-R,81.189,7.0,20.0,20.0
146,AMS078EN1002A,2200,TB-5P,40.891,10.0,10.0,10.0
147,AMS078EN1006A,2200,TA-1,108.563,24.0,24.0,24.0
148,AMS078EN1006A,2200,TA-2,22.636,2.0,6.0,6.0
149,AMS096EC1002A,2200,TA-1,53.933,27.0,7.0,8.0
150,AMS096EC1002A,2200,TA-P,5.6,23.0,1.0,2.0
151,AMS096EC1002A,2200,TB-5P,130.532,24.0,23.0,24.0
152,AMS096EC3001B,2200,TA-1,44.646,10.0,8.0,8.0
153,AMS096EC3001B,2200,TA-2,39.751,10.0,7.0,7.0
154,AMS096EC3001B,2200,TA-5,11.156,2.0,2.0,2.0
155,AMS096EC3001B,2200,TA-P,97.697,24.0,18.0,19.0
156,ANI010YK3001A,2200,TB-R,53.049,3.0,3.0,3.0
157,ANI010YK3001A,2200,TB-U,120.265,6.0,6.0,6.0
158,ANI020YU1005C,2200,TB-I,24.786,1.0,1.0,8.0
159,ANI020YU1005C,2200,TB-R,203.288,13.0,13.0,16.0
160,ANV0086A1075A,2200,TB-P,0.0,5.0,0.0,0.0
161,ANV0086A1076A,2200,TB-R,34.284,9.0,9.0,9.0
162,ANV0086A1106A,2200,TB-R,2.98,3.0,3.0,2.0
163,ANV132X2A021B,2200,TA-2,0.0,1.0,0.0,0.0
164,ANV132X2C044A,2200,TA-2,0.568,0.0,0.0,10.0
165,ANV132X2C057A,2200,TA-2,0.0,4.0,0.0,0.0
166,ANV132X2C059A,2200,TA-3,4.286,0.0,0.0,3.0
167,ANV132X2C059A,2200,TA-R,0.0,5.0,1.0,1.0
168,ANV132X2C080A,2200,TA-2,0.781,0.0,0.0,0.3333333333333333
169,ANV132X2C090A,2200,TB-IP,0.0,4.0,4.0,3.0
170,ANV132X2C098A,2200,TA-R,1.136,1.0,2.0,2.0
