wlth_lot_number,wlth_equipment_id,START,END
R05ASE417,BB822,1644276600,1644298139
R05ASES05,BB822,1644373407,1644373527
R05NIJU08,BB823,1644411717,1644411837
R05NIJN12,BB824,1644394243,1644394363
R05ASAP10,BB825,1644276600,1644307939
R05ASAR08,BB825,1644308102,1644363000
R04ASBC09,BB826,1644354835,1644363000
R05ABGB25,BB827,1644406778,1644406898
R06ABDJ07,BB827,1644265810,1644265810
R05ASET08,BB828,1644402816,1644402936
R05ASEU01,BB828,1644276600,1644288216
R04ASBC02,BB831,1644276600,1644294252
R04ASBC03,BB831,1644385858,1644385978
R05ABGB18,BB832,1644414843,1644414963
R06MSEZ03,BB832,1644276600,1644302251
R05ABEI09,BB833,1644263526,1644263526
R05ABEJ09,BB833,1644411056,1644411176
R05ASAQ01,BB834,1644276600,1644343126
R05ASAR10,BB834,1644343222,1644363000
R04ASBC06,BB835,1644352320,1644363000
R05ASAQ09,BB836,1644276600,1644379386
R05ASAS09,BB836,1644379486,1644379606
R05ABGF08,BB837,1644276600,1644289500
R06ABBY01,BB837,1644385103,1644385223
R05ASFB01,BB838,1644261300,1644261300
R05ASFE04,BB838,1644420228,1644420348
R05NIJU03,BB839,1644407543,1644407663
R05ABGB07,BB840,1644417186,1644417306
R06MSEW01,BB840,1644276600,1644313210
R05ASE421,BB841,1644269105,1644269105
R05ASET02,BB841,1644412097,1644412217
R05ABEK12,BB842,1644259495,1644259495
R05ABEM11,BB842,1644407563,1644407683
R04ABL209,BB843,1644250627,1644250627
R05ASET05,BB843,1644412451,1644412571
R05ASE307,BB844,1644276600,1644287533
R05ASE520,BB844,1644378076,1644378196
R05ASEP10,BB845,1644276600,1644290497
R05ASES09,BB845,1644361270,1644363000
R05ASEP06,BB846,1644276600,1644291211
R05ASES01,BB846,1644368916,1644369036
R05ASEP02,BB848,1644276600,1644297844
R05ASET10,BB848,1644404844,1644404964
R05ASE308,BB849,1644276600,1644280473
R05ASEW02,BB849,1644413039,1644413159
R06YZA103,BB850,1644276600,1644298007
R06YZA504,BB850,1644412767,1644412887
R05ASEP03,BB851,1644276600,1644329756
R05ASET06,BB851,1644393679,1644393799
R06ABDC08,BB852,1644404492,1644404612
R06MSEG04,BB852,1644250376,1644250376
R04ASDL01,BB853,1644388366,1644388486
R05ASEQ05,BB853,1644276600,1644306777
R05ASFB10,BB854,1644262422,1644262422
R05ASFE01,BB854,1644419131,1644419251
R05ABEK13,BB855,1644261814,1644261814
R06ABAK05,BB855,1644417127,1644417247
R05ASE301,BB856,1644276600,1644279882
R05ASE507,BB856,1644343328,1644363000
R05ASES07,BB857,1644358750,1644363000
R05ASEV01,BB857,1644276600,1644290930
R03GAA312,BB858,1644276600,1644297834
R05ABGB35,BB858,1644403029,1644403149
R06YZA102,BB859,1644276600,1644299213
R06YZA404,BB859,1644362652,1644363000
R05ASEP05,BB860,1644276600,1644303324
R05ASEW07,BB860,1644385234,1644385354
R05ABGB16,BB861,1644417857,1644417977
R06ABDJ06,BB861,1644265520,1644265520
R05ABF106,BB862,1644276600,1644282525
R05ABJM13,BB862,1644413736,1644413856
R05ASE420,BB863,1644276600,1644292339
R05ASES02,BB863,1644365696,1644365816
R05ASE521,BB864,1644358091,1644363000
R05ASEP11,BB864,1644276600,1644285684
R06ABDL12,BB865,1644421812,1644421932
R06MSEG01,BB865,1644253331,1644253331
R03GAA310,BB866,1644276600,1644297262
R05ABGB33,BB866,1644419436,1644419556
R05ABJK04,BB867,1644276600,1644279454
R05ASE422,BB868,1644261599,1644261599
R05ASES06,BB868,1644354981,1644363000
R05ABK517,BB869,1644250165,1644250165
R06ABBY09,BB869,1644418327,1644418447
R05ABEH01,BB870,1644259379,1644259379
R07ABA102,BB870,1644418740,1644418860
R05BWCE01,BB871,1644410613,1644410733
R05BWCE14,BB871,1644276600,1644284372
R05ASE416,BB872,1644276600,1644317549
R05ASET01,BB872,1644420482,1644420602
R05BWC401,BB873,1644264906,1644264906
R05BWC409,BB873,1644375667,1644375787
R05ABGB14,BB874,1644412899,1644413019
R05ABGB21,BB874,1644255007,1644255007
R05ASE305,BB875,1644276600,1644279763
R05ASEA01,BB875,1644397603,1644397723
R05ASE302,BB876,1644276600,1644281876
R05ASET03,BB876,1644412584,1644412704
R05BWD102,BB877,1644275011,1644275011
R05BWD109,BB877,1644417985,1644418105
R05ABHS04,BB878,1644258607,1644258607
R06YZA501,BB878,1644414830,1644414950
R06YZA402,BB879,1644380987,1644381107
R05ABFZ01,BB880,1644399707,1644399827
R04ABL207,BB881,1644258195,1644258195
R05ASFB12,BB882,1644259334,1644259334
R05ASFE17,BB882,1644414069,1644414189
R05ASAP01,BB883,1644276600,1644326316
R05ASAR05,BB883,1644326440,1644363000
R05ASAP08,BB884,1644276600,1644318659
R05ASAR06,BB884,1644318750,1644363000
R05ASEP07,BB885,1644276600,1644297932
R05ASEW05,BB885,1644380286,1644380406
R05ABHQ06,BB886,1644258876,1644258876
R06ABDC02,BB886,1644408602,1644408722
R04VEB112,BB887,1644252803,1644252803
R06ABDC07,BB887,1644415431,1644415551
R06ABBW04,BB888,1644420814,1644420934
R06MSC107,BB888,1644276600,1644277741
R06AWAM14,BB889,1644276600,1644297468
R06AWAM18,BB889,1644378883,1644379003
R06MSF203,BB890,1644276600,1644302146
R06MSER05,BB891,1644267245,1644267245
R06MSH803,BB891,1644357569,1644363000
R05ABHS03,BB892,1644251271,1644251271
R06YZA503,BB892,1644419913,1644420033
R05ASEP01,BB893,1644276600,1644298241
R05ASET07,BB893,1644404872,1644404992
R05ASAP11,BB894,1644276600,1644299618
R05ASAR01,BB894,1644299750,1644363000
R05ASE304,BB895,1644276600,1644290107
R05ASES04,BB895,1644373588,1644373708
R06YZA401,BB896,1644379909,1644380029
R05BWC308,BB897,1644419045,1644419165
R05BWC407,BB897,1644273572,1644273572
R05ASCX02,BB898,1644250774,1644250774
R06YZA406,BB898,1644413585,1644413705
R05ASAP09,BB899,1644252384,1644252384
R05ASAR11,BB899,1644389263,1644389383
R05ASCW06,BB900,1644407622,1644407742
R05ASCX04,BB900,1644266666,1644266666
R06ABD111,BB901,1644409595,1644409715
R06AWAM10,BB902,1644253590,1644253590
R06AWAM12,BB902,1644372516,1644372636
R05ASAQ05,BB903,1644273521,1644273521
R05ASAS10,BB903,1644417865,1644417985
R05ABHQ09,BB904,1644257977,1644257977
R06ABDC03,BB904,1644409882,1644410002
R06MSEY05,BB905,1644276600,1644304221
R03GAA307,BB906,1644276600,1644284714
R06YZA302,BB906,1644358208,1644363000
