route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,wlot_mvin_perfmd,bd_id,urgent_code,sub_lot,wb_location,automotive,package_id,CR,super_hot_run_code,last_WB_entity,wip_outplan_time
BGA174,R08GAA306,FIDELIX,VFBGA60K8L,060NRGA006,5700,0,2225,N,N,AGA060NR1004A,,10,,,FMD8C16LAH-25EI{AG},75.45,N,BB859,
BGA174,R08GAA310,FIDELIX,VFBGA60K8L,060NRGA006,4250,0,2225,N,N,AGA060NR1004A,,10,,,FMD8C16LAH-25EI{AG},75.45,N,BB857,
BGA174,R08GAA303,FIDELIX,VFBGA60K8L,060NRGA006,5599,0,2225,N,N,AGA060NR1004A,,10,,,FMD8C16LAH-25EI{AG},75.45,N,BB823,
BGA174,R08GAA307,FIDELIX,VFBGA60K8L,060NRGA006,5720,0,2225,N,N,AGA060NR1004A,,10,,,FMD8C16LAH-25EI{AG},75.45,N,BB857,
BGA174,R08GAA501,FIDELIX,VFBGA60K8L,060NRGA006,5677,0,2225,N,N,AGA060NR1004A,,2,,,FMD8C16LAH-25EI{AG},74.61,N,BB823,
BGA174,R03GAA401,FIDELIX,MBGA48J2U,048MAGA037,14199,0,2430,N,N,AGA048MA7001A,,2,,,FMP0817CA0-H70I{ZDT},74.33,N,BB840,
BGA184,R08GAA6,FIDELIX,VFBGA90B4L,090NCGA037,8,17650,2040,N,Y,AGA090NC4003A,,5,,,AS4C16M32MSA-6BIN,73.64999999999999,N,,2022-03-02 12:01:01
BGA184,R08GAAA,FIDELIX,VFBGA90B4L,090NCGA037,8,18155,2040,N,N,AGA090NC4003A,,5,,,AS4C16M32MSA-6BIN,73.64999999999999,N,,
BGA184,R08GAA102,FIDELIX,VFBGA90B4L,090NCGA037,4057,0,2225,N,N,AGA090NC4003A,,10,,,AS4C16M32MSA-6BIN,74.61,N,BB586,
BGA184,R08GAA106,FIDELIX,VFBGA90B4L,090NCGA037,4160,0,2225,N,N,AGA090NC4003A,,10,,,AS4C16M32MSA-6BIN,74.61,N,BB586,
BGA184,R08GAA110,FIDELIX,VFBGA90B4L,090NCGA037,1614,0,2225,N,N,AGA090NC4003A,,10,,,AS4C16M32MSA-6BIN,74.61,N,BB556,
BGA184,R08GAA103,FIDELIX,VFBGA90B4L,090NCGA037,4068,0,2225,N,N,AGA090NC4003A,,10,,,AS4C16M32MSA-6BIN,74.61,N,BB586,
BGA184,R08GAA107,FIDELIX,VFBGA90B4L,090NCGA037,4110,0,2225,N,N,AGA090NC4003A,,10,,,AS4C16M32MSA-6BIN,74.61,N,BB586,
BGA184,R08GAA104,FIDELIX,VFBGA90B4L,090NCGA037,4120,0,2225,N,N,AGA090NC4003A,,10,,,AS4C16M32MSA-6BIN,74.61,N,BB465,
BGA184,R08GAA108,FIDELIX,VFBGA90B4L,090NCGA037,4080,0,2225,N,N,AGA090NC4003A,,10,,,AS4C16M32MSA-6BIN,74.61,N,BB556,
