ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time
BB883,0,MAXUM,QC,R09ABAM04,,2200,008YQAB072,AAG070900/IG/W25Q512JVEIN,AAB008YQ2022A,2160,19452,,,WINBOND,DFN-08YQ2A,61497T900,,880.4946,,3000M,TB-B6,03/20/2022 MP,2200,1091A07T21,,R09ABAM10,DFN-08YQ2A,WINBOND,AAB008YQ2022A,1091A07T21,,880.4946,782.0993,22-03-02 05:38
BB884,0,MAXUM,RUNNING,R09VGE208,,2200,008Y6VG012,IS25WP016C-JTLI-TR{Rough},ABU008Y62002A,8320,248869,22-03-02 04:43,22-03-02 12:37,ISSI-VG,DFN-08Y62D,P33547Y2,,1053.0683,,3000M,TB-B6,03/21/2022 MP,2200,1091A07C41,4P,R09VGA301,DFN-08YD2A,ISSI-VG,ABU008YD2009A,1091A09C41,,1053.0683,935.3879,22-03-02 12:37
BB885,0,MAXUM,IDLE,,,,,,AAS008DR2002A,,,22-03-01 22:18,,,,,,,,3000M,TB-B6,03/22/2022 MP,2200,,,R09ASAD05,VTLGA08J4U,EliteMT,AAS008DR2002A,1091G08PA4,,940.9971,835.8407,
BB886,0,MAXUM,RUNNING,R09ASDD06,,2200,096ELAS043,ZWM15T4G16256AC1PG{GVNF2},AAS096EL1009B,2980,24897,22-03-02 02:26,22-03-02 22:49,EliteMT,FBGA-96UEL,V208X.01,,146.1810,,3000M,TB-B6,03/23/2022 MP,2200,,,R09ASCY01,FBGA-96UEL,EliteMT,AAS096EL1009B,1091G08PA4,,146.181,129.8453,22-03-02 22:49
BB887,0,MAXUM,RUNNING,R09ASAL05,,2200,096ELAS005,M15F1G1664AC1AG{GVNX2-13x,AAS096EL1001A,3000,32182,22-03-01 16:58,22-03-02 11:13,EliteMT,FBGA-96UEL-3,P28SC.02,,164.3310,,3000M,TB-B6,03/24/2022 MP,2200,1091G08PA1,,R09ASAK10,FBGA-96UEL-3,EliteMT,AAS096EL1001A,1091G08PA1,,164.331,145.967,22-03-02 11:13
BB888,0,MAXUM,RUNNING,R09VGD818,,2200,008Y6VG008,IS25WP032E-JTLI-TR{Rough},ABU008Y62011A,8320,354066,22-03-02 06:02,22-03-02 12:25,ISSI-VG,DFN-08Y62D,P33544Y1,,1305.0184,,3000M,TB-B6,03/25/2022 MP,2200,1091A07C41,,R09VGD815,DFN-08Y62D,ISSI-VG,ABU008Y62011A,1091A07C41,,1305.0184,1159.1826,22-03-02 12:25
BB889,0,MAXUM,RUNNING,R09ASAR05,,2200,096ELAS005,M15F1G1664AC1AG{GVNX2-13x,AAS096EL1001A,2932,40453,22-03-02 06:35,22-03-03 00:26,EliteMT,FBGA-96UEL-3,P28TY.01,,164.3310,,3000M,TB-B6,03/26/2022 MP,2200,,,R09ASAL11,FBGA-96UEL-3,EliteMT,AAS096EL1001A,1091G08PA1,,164.331,145.967,22-03-03 00:26
BB890,0,MAXUM,RUNNING,R09VGD834,,2200,008Y6VG008,IS25WP032E-JTLI-TR{Rough},ABU008Y62011A,8320,354066,22-03-02 02:09,22-03-02 08:31,ISSI-VG,DFN-08Y62D,P33544Y1,,1305.0184,,3000M,TB-B9,03/27/2022 MP,2200,1091A07C41,,R09VGD839,DFN-08Y62D,ISSI-VG,ABU008Y62011A,1091A07C41,,1305.0184,1159.1826,22-03-02 08:31
BB891,0,MAXUM,RUNNING,R09ASAL07,,2200,096ELAS005,M15F1G1664AC1AG{GVNX2-13x,AAS096EL1001A,2977,32182,22-03-01 21:43,22-03-02 15:50,EliteMT,FBGA-96UEL-3,P28SC.02,,164.3310,,3000M,TB-B6,03/28/2022 MP,2200,1091G08PA1,,R09ASAJ16,FBGA-96UEL-3,EliteMT,AAS096EL1001A,1091G08PA1,,164.331,145.967,22-03-02 15:50
BB892,0,MAXUM,WAIT-SETUP,,,,,,AAS084CC2010A,,,22-03-02 06:40,,,,,CSC,,,3000M,TB-B6,03/29/2022 MP,2200,,,R09YZAI04,TSOP2-66CME,ZJP,AYZ066TS1001A,1091G08PA4,,165.9396,147.3958,
