part_no,product_id,route,pin_package,die_size,die_pad_size,qty1,qty2,qty3,desc,die_size_pad_size,column,row,die,hb_design_version,wc_design_version,hb_series_no,wc_series_no,hb_unit_price,wc_unit_price,
	A0801CB0129,	,	Normal (L/F),	TSOP 2-44/50,	,	235*178 mil,	0,	0,	0,	SH (SK2062/01) ; 2002/7/26  ; UTC-300 H/B 5 Set,	235*178mil,	,	,	,	SK2062/01,	SK2062/01,	H001,	W001,	2200,	2700,
	A0801CB0131,	,	Normal (L/F),	TSOP 2-54,	,	200*310 mil,	0,	0,	0,	須加壓板 SH (SK2067/01) ; 2004/4/28  ; UTC-300 H/B 1 Set,	200*310mil,	,	,	,	SK2067/01,	SK2067/01,	H001,	W001,	1950,	2450,
	A0801CB0132,	,	Normal (L/F),	TSOP 2-86,	,	200*312 mil,	0,	0,	0,	須加壓板 SH (SK2068/01) ; 2004/4/25 ;UTC-300 H/B 1 Set,	200*312mil,	,	,	,	SK2068/01,	SK2068/01,	H001,	W001,	3450,	4200,
	A0801CB0133,	,	Film,	RFID (4*8),	,	,	0,	0,	0,	2004/05/05;(60 pcs dice),	4*8,	,	,	,	SK2066/01,	NA,	H001,	W001,	3450,	4200,
	A0801CB0134,	,	LOC,	TSOP 2-54,	142*296 mil,	,	0,	0,	0,	須加壓板 ; 2002/9/20  ;UTC-300 H/B 3 Set,	142*296mil,	,	,	,	NA,	NA,	H001,	W001,	1950,	2450,
	A0801CB0135,	,	Normal (L/F),	TSOP 2-44,	,	250*305 mil,	0,	0,	0,	SH (SK2069/01) ; 2002/9/19  ;UTC-300 H/B 11 Set,	250*305mil,	,	,	,	SK2069/01,	SK2069/01,	H001,	W001,	1950,	2450,
	A0801CB0136,	,	Normal (L/F),	TSOP 2-66,	,	8.0*20.2 4.06*6.96,	0,	0,	0,	2002/11/13  ;UTC-300 H/B 1 Set,	8.0*20.24.06*6.96,	,	,	,	NA,	NA,	H001,	W001,	2950,	3450,
	A0801CB0137,	,	LOC,	TSOP 2 -86/5,	242*153 mil,	,	0,	0,	0,	須加壓板 ; Die Thickness : 15 mil ; 2003/4/23  ;UTC-300 H/B 5 Set,	242*153mil,	,	,	,	NA,	NA,	H001,	W001,	3450,	4200,
	A0801CB0138,	,	Normal (L/F),	TSOP 1-32,	,	260*259 mil,	0,	0,	0,	須加壓板 ; 轉移6套(UTC-300)給上海 ; 2004/11/19,	260*259mil,	,	,	,	NA,	NA,	H001,	W001,	3450,	4200,
	A0801CB0139,	,	Film,	RFID (3*3),	,	,	0,	0,	0,	SH (SK2082/01) ; 2003/5/12  ;UTC-300 H/B 1 Set,	NA,	,	,	,	SK2082/01,	SK2082/01,	H001,	W001,	3450,	4200,
	A0801CB0140,	,	Film,	RFID (5*5),	,	,	0,	0,	0,	SH (SK2083/01) ; 2003/5/12  ;UTC-300 H/B 1 Set,	NA,	,	,	,	SK2083/01,	SK2083/01,	H001,	W001,	3450,	4200,
	A0801CB0141,	,	Film,	RFID (8*8),	,	,	0,	0,	0,	SH (SK2084/01) ; 2003/5/12  ;UTC-300 H/B 1 Set,	NA,	,	,	,	SK2084/01,	SK2084/01,	H001,	W001,	3450,	4200,
	A0801CB0142,	,	Normal (L/F),	TSOP 2-44,	,	186*324 mil,	9,	0,	9,	SH (UTC-300 WC SK2089/02 HB SK2089/01;UTC-1000 SK2159/01) ; 2006/02/06 ;UTC-300 H/B 6 Set,	186*324mil,	2,	1,	2,	SK2159/01,	SK2159/01,	H009,	W009,	1950,	2450,
	A0801CB0143,	,	LOC,	TSOP 2-86,	158*310 mil,	,	0,	0,	0,	須加壓板 ; 2003/5/12  ;UTC-300 H/B 1 Set,	158*310mil,	,	,	,	NA,	NA,	H001,	W001,	1950,	2450,
	A0801CB0144,	,	Normal (L/F),	TSOP 2-50,	,	180*270 mil,	0,	0,	0,	2003/5/12  ;UTC-300 H/B 3 Set,	180*270mil,	,	,	,	NA,	NA,	H001,	W001,	1950,	2450,
	A0801CB0145,	,	Normal (L/F),	TSOP 2-44,	,	336*450 mil,	3,	0,	3,	須加壓板 ; UTC-1000有3套 ; UTC-300有3套 ;Down set較淺 ; 2003/5/20 1set ; 2003/9/24 2 sets ; 2006/12/19 3sets  ;UTC-300 H/B 3 Set,	336*450mil,	1,	1,	1,	NA,	NA,	H003,	W003,	1950,	2450,
	A0801CB0146,	,	Normal (L/F),	TSOP 2-44,	336*450 mil,	336*450 mil,	1,	0,	1,	須加壓板 ; Down set 較深; 用於 stack die ; 2005/8/9  ;UTC-300 H/B 1 Set,	336*450mil/336*450mil,	1,	1,	1,	NA,	NA,	H001,	W001,	1950,	2450,
	A0801CB0147,	,	Normal (L/F),	TSOP 2-44,	,	145*235 mil,	0,	0,	0,	2003/7/11  ;UTC-300 H/B 3 Set,	145*235mil,	,	,	,	NA,	NA,	H001,	W001,	1950,	2450,
	A0801CB0161,	,	Normal (L/F),	LQFP 100,	,	451*639 mil,	3,	0,	3,	須加壓板 ; SH(SK2123/01) ; 於2004/11/11轉移3套(UTC-300)給華特 ; 於2005/11/15拿3套回台南  ;UTC-300 H/B 3 Set,	451*639mil,	1,	1,	1,	SK2401/01,	NA,	H003,	W003,	1950,	2450,
	A0801CB0162,	,	LOC,	TSOP 2-54,	232*379,	,	21,	0,	21,	SH(UTC-300 SK2125/01(已不使用);UTC-1000 SK2131/01);熱壓板不可互用;2005/4/11,	232*379,	2,	1,	2,	SK2131/01,	SK2131/01,	H021,	W021,	1950,	2450,
	A0801CB0163,	,	LOC,	TSOP 2-54,	146*333*13mil,	,	5,	0,	5,	需加壓板;UTC1000熱壓板各5套;2004/5/24; 2010/11/11 壓板 1PCS損壞 ; 已於2010/12/05補齊,	146*333*13mil,	2,	1,	2,	SK2149/01,	SK2149/01,	H006,	W006,	1950,	2450,
	A0801CB0166,	,	Normal (L/F),	TSOP 2-44,	,	261*182,	0,	0,	0,	須加壓板 ;SH(SK2141 / 01) ; 移轉2套給大陸 ; 2004/12/21  ;UTC-300 H/B 3 Set,	261*182,	,	,	,	NA,	NA,	H001,	W001,	1950,	2450,
	A0801CB0175,	,	LOC,	TSOP 2-66M,	236*444 mil,	,	73,	0,	74,	須加壓板 ; 2010/03/23 ;ZC( UTC-300 H/B 10 Set) ;流水序號 W374 ; H375; 11/11 1pcs熱板損壞 ; 待補齊,	236*444mil,	2,	3,	6,	NA,	NA,	H073,	W074,	3450,	4200,
	A0801CB0182,	,	Normal (L/F),	TSOP 1-32,	,	195*125 mil,	1,	0,	1,	須加壓板 ; SH( UTC-300 : SK2185 / 01 ; UTC-1000 : SK2186 / 01 ) ; 2004/10/14  ;UTC-300 H/B 4 Set,	195*125mil,	1,	2,	2,	SK2186/01,	SK2186/01,	H001,	W001,	3450,	4200,
	A0801CB0192,	,	LOC,	TSOP 2-66,	234*231,	,	10,	0,	0,	由A0801CB0169 9pcs HB轉成A0801CB0192 ; die厚度為15mil ; 2005/9/26,	234*231,	1,	1,	1,	NA,	NA,	H010,	W010,	2950,	3450,
	A0801CB0202,	,	Normal (L/F),	LQFP 128,	,	 236*236 mil,	72,	0,	72,	須加壓板 ; SH(UTC-1000:HB(SK2250/02);WC(SK2250/01)) ; 2006/06/30 ;06/19 熱板受損報廢9PCS ; 於6/30已補齊;流水序號已到W086 ; H086 20170824 熱版有14個是01版故收14套起來避免用錯,	236*236mil,	3,	4,	12,	SK2250/02,	SK2250/01,	H086,	W086,	1950,	2450,
	A0801CB0206,	,	Normal (L/F),	QFP 44,	,	205*205 mil,	5,	0,	5,	須加壓板 ; UTC-1000每個BLOCK有2直1橫共2顆Die ; 2007/06/01  ;UTC-300 H/B 10 Set,	205*205mil,	2,	1,	2,	SK2475/01,	SK2475/01,	H005,	W005,	1700,	2200,
	A0801CB0207,	,	Normal (L/F),	QFP 100,	,	236*236 mil,	30,	0,	30,	須加壓板 ; 每個BLOCK有1直2橫共2顆Die ; SH(UTC-300:SK2245/01;UTC-1000:SK2251/01) ; 2007/05/28 ;UTC-300 H/B 3 Set,	236*236mil,	1,	2,	2,	SK2251/01,	SK2251/01,	H030,	W030,	3450,	4200,
	A0801CB0208,	,	Normal (L/F),	LQFP 100,	,	 180*180 mil,	34,	0,	34,	須加壓板 ; 每個BLOCK有1直2橫共2顆Die ; SH(UTC-1000 H/B:SK2308/02) ; 2006/04/11 ;2008/11/27 熱板受損報廢1PCS ;;於12/10已補齊;2/4損壞 2pcs ; 2/26補齊,	180*180mil,	1,	2,	2,	SK2308/02,	SK2308/01,	H036,	W036,	1950,	2450,
	A0801CB0209,	,	Normal (L/F),	LQFP 80,	,	210*210 mil,	15,	0,	15,	須加壓板 ; 每個BLOCK有1直2橫共2顆Die ; 2006/01/09  ;UTC-300 H/B 3 Set,	210*210mil,	1,	2,	2,	NA,	NA,	H015,	W015,	3450,	4200,
	A0801CB0210,	,	Normal (L/F),	LQFP 80,	,	260*260 mil,	3,	0,	3,	須加壓板 ; 每個BLOCK有1直2橫共2顆Die ; 2005/12/08  ;UTC-300 H/B 3 Set,	260*260mil,	1,	2,	2,	NA,	NA,	H003,	W003,	3450,	4200,
	A0801CB0212,	,	Normal (L/F),	LQFP 208,	,	315*315 mil,	3,	0,	3,	須加壓板 ; 每個BLOCK有1直2橫共2顆Die ; SH(UTC-1000 : SK2247/01) ; 2005/9/23,	315*315mil,	1,	2,	2,	SK2247/01,	SK2247/01,	H003,	W003,	3450,	4200,
	A0801CB0213,	,	Normal (L/F),	LQFP 160,	,	354*354 mil,	3,	0,	3,	須加壓板 ; 每個BLOCK有1直2橫共2顆Die ; SH(UTC-1000 : SK2248/01) ; 2005/9/23,	354*354mil,	1,	2,	2,	SK2248/01,	SK2248/01,	H003,	W003,	1950,	2450,
	A0801CB0214,	,	Normal (L/F),	TSOP 1-48,	,	648*415*6mil,	10,	0,	10,	須加壓板;1直2橫共2顆Die;downset=6mil(155um);SH(UTC-300:SK2263/03;UTC-1000:SK2252/02);2007/05/28  ;UTC-300 H/B 3 Set,	648*415*6mil,	1,	2,	2,	SK2252/02,	SK2252/01,	H010,	W010,	3450,	4200,
	A0801CB0215,	,	Normal (L/F),	SDIP 56,	,	183*187 mil,	19,	0,	19,	須加壓板 ; single die ; SH(UTC-1000:SK2254/01) ; 2006/02/21,	183*187mil,	1,	1,	1,	SK2254/01,	SK2254/01,	H019,	W019,	3450,	4200,
	A0801CB0216,	,	FBGA 60 MTX,	FBGA 60 M,	10*12 mil,	,	9,	0,	9,	須加壓板 ; 每個BLOCK有3直4橫共12顆Die ; SH(UTC-1000 : SK2262/01) ; 2006/06/11,	10*12mil,	3,	4,	12,	SK2262/01,	SK2262/01,	H009,	W009,	3450,	4200,
	A0801CB0217,	,	Normal (L/F),	TSOP 1-48,	,	648*415*8mil,	5,	0,	5,	須加壓板;1直2橫共2顆Die;downset=8mil(203um);SH(UTC-1000:SK2265/02;UTC-300:SK2264/03);2005/11/25  ;UTC-300 H/B 3 Set,	648*415*8mil,	1,	2,	2,	SK2265/02,	SK2265/01,	H005,	W005,	3450,	4200,
	A0801CB0218,	,	Normal (L/F),	LQFP 48,	,	205*205 mil,	2,	0,	2,	須加壓板 ; 每個BLOCK有2直3橫共6顆Die ; SH(UTC-1000 : SK2266/01) ; 2005/11/11,	205*205mil,	2,	3,	6,	SK2266/01,	SK2266/01,	H002,	W002,	3450,	4200,
	A0801CB0219,	,	Normal (L/F),	LQFP 128,	,	354*354 mil,	12,	0,	12,	須加壓板 ; 每個BLOCK有1直2橫共2顆Die ; SH(UTC-1000 : SK2268/01 ; UTC-300 : SK2267/01) ; 2006/06/15  ;UTC-300 H/B 2 Set,	354*354mil,	1,	2,	2,	SK2268/01,	SK2268/01,	H012,	W012,	1950,	2450,
	A0801CB0220,	,	Normal (L/F),	TQFP 64,	,	210*210 mil,	15,	0,	15,	SH(UTC-1000 : 壓板 SK2269/01 ; 熱板 SK2269/02) ;每個BLOCK有1直2橫共2顆Die ;  2008/08/08;熱板需NEED TAPE,	210*210mil,	1,	2,	2,	SK2269/02,	SK2269/01,	H018,	W018,	3450,	4200,
	A0801CB0221,	,	FBGA 60 MTX,	FBGA 60 M,	10*10 mm,	,	12,	0,	12,	須加壓板 ; SH (UTC-1000 : SK2270/01) ; 每個BLOCK有4直4橫共16顆Die ; 2007/05/28;已補齊(20080115),	10*10mm,	4,	4,	16,	SK2270/01,	SK2270/01,	H012,	W012,	3450,	4200,
	A0801CB0233,	,	Normal (L/F),	TSOP 2-50,	,	 200*135 mil,	21,	0,	21,	SH(UTC-1000 WC:SK2296/01 HB:SK2296/06 ; UTC-300 SK2295/02);每個BLOCK有2直3橫共6顆Die;2006/11/24;2010/01/15熱板4pcs受損;1/25已補齊;2010/12/05將熱板改版成SK2296/06版 ;流水序 H054 W027 ; 缺少1PCS ; 於2010/12/5補齊,	200*135mil,	2,	3,	6,	SK2296/06,	SK2296/01,	H054,	W027,	2200,	2700,
	A0801CB0234,	,	Normal (L/F),	TSOP1-48,	,	525*265 mil,	3,	0,	3,	須加壓板 ; 每個BLOCK有1直2橫共2顆Die ; SH(UTC-1000 : SK2301/01 ; UTC-300 : SK2300/01) ; 2006/03/10  ;UTC-300 H/B 1 Set,	525*265mil,	1,	2,	2,	SK2301/01,	SK2301/01,	H003,	W003,	3450,	4200,
	A0801CB0235,	,	Normal (L/F),	TSOP1-48,	,	525*265 mil,	3,	0,	3,	須加壓板 ; 每個BLOCK有1直2橫共2顆Die ; SH(UTC-1000 : SK2303/01 ; UTC-300 : SK2302/01) ; 2006/03/10  ;UTC-300 H/B 1 Set,	525*265mil,	1,	2,	2,	SK2303/01,	SK2303/01,	H003,	W003,	3450,	4200,
	A0801CB0236,	,	Normal (L/F),	SOP 8,	,	104*186 mil,	13,	0,	13,	須加壓板 ; 每個BLOCK有2直4橫共8顆Die ; 2006/12/19,	104*186mil,	2,	4,	8,	NA,	NA,	H013,	W013,	3450,	4200,
	A0801CB0237,	,	Normal (L/F),	SOP 8,	,	104*186 mil,	10,	0,	10,	ZC 須加壓板 ; 每個BLOCK有2直4橫共8顆Die ; 2006/05/30,	104*186mil,	2,	4,	8,	NA,	NA,	H011,	W011,	3450,	4200,
	A0801CB0238,	,	Normal (L/F),	TSOP2-44,	,	252*472 mil,	5,	0,	5,	SH(UTC-1000 : SK2314/01 ; UTC-300 : SK2313/01) ; 每個BLOCK有2直1橫共2顆Die / single die; 2006/06/06 ;UTC-300 H/B 2 Set,	252*472mil,	2,	1,	2,	SK2314/01,	SK2314/02,	H008,	W008,	1950,	2450,
	A0801CB0239,	,	Normal (L/F),	LQFP-44,	,	205*205 mil,	2,	0,	2,	須加壓板 ; 每個BLOCK有1直2橫共2顆Die ; 2006/04/03  ;UTC-300 H/B 2 Set,	205*205mil,	1,	2,	2,	NA,	NA,	H002,	W002,	3450,	4200,
	A0801CB0240,	,	Normal (L/F),	T/LQFP 128,	,	196*196 mil,	28,	0,	28,	須加壓板 ; 每個BLOCK有1直2橫共2顆Die ; SH(UTC-1000 : W/C: SK2319/01 ; H/B:SK2319/03) ; 流水編號到 W028 & H030; 2009/08/24;8/13熱板2PCS受損 ; 8/24補齊,	196*196mil,	1,	2,	2,	SK2319/03,	SK2319/01,	H030,	W030,	1950,	2450,
	A0801CB0243,	,	FBGA 54,	FBGA 54,	X>200 Y>200 11.8mil,	,	3,	0,	3,	須加壓板 ; 每個BLOCK有5直5橫共25顆Die ; 2006/04/11,	X>200Y>20011.8mil,	5,	5,	25,	NA,	NA,	H003,	W003,	3450,	4200,
	A0801CB0245,	,	Normal (L/F),	TSOPI 48,	,	197*157 mil,	2,	0,	2,	須加壓板 ; 每個BLOCK有2直5橫共10顆Die ; SH(UTC-1000 : SK2316/01) ; 2006/04/12,	197*157mil,	2,	5,	10,	SK2316/01,	SK2316/01,	H002,	W002,	2200,	2700,
	A0801CB0246,	,	Normal (L/F),	TSOPI 48,	,	405*660mil,	3,	0,	3,	加壓板 須加壓板 ; 每個BLOCK有2直3橫共6顆Die ; SH(UTC-1000 : SK2317/01) ; 2006/04/11,	405*660mil,	2,	3,	6,	SK2317/01,	SK2317/01,	H003,	W003,	2200,	2700,
	A0801CB0247,	,	Substrate,	FBGA 92,	X>300;Y>600 mil,	,	2,	0,	2,	須加壓板 ; 每個BLOCK有4直2橫共8顆Die ; 2006/04/20,	 X>300;Y>600mil ,	4,	2,	8,	NA,	NA,	H002,	W002,	3450,	4200,
	A0801CB0248,	,	Substrate,	MiniBGA,	,	417*611 mil,	50,	0,	50,	須加壓板 ; SH(UTC-1000 : 熱壓板SK2387/01); 2009/11/23 ;流水序號已到W046;H059 ; 9/4轉11套多孔熱壓板至 A0801CB0490; 9/25 外送1PCS熱板除膠 ;已於10/2回廠,	417*611mil,	0,	0,	0,	SK2387/01,	SK2387/01,	H070,	W070,	2950,	2450,
