¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
461,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI126               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
462,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI129               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
463,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI144               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
464,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI145               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
465,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI146               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
466,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI162               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
467,	FCQFN-12Y32D,	ANI012Y32002D       ,	012Y3NI169               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
468,	FCQFN-12Y32D,	ANI012Y32001B       ,	012Y3NI208               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
469,	FCQFN-14OA2D,	ANI014OA1001C       ,	014OANI052               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
470,	FCQFN-14OA2D,	ANI014OA1001C       ,	014OANI055               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
471,	FCQFN-14OA2D,	ANI014OA1001C       ,	014OANI060               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
472,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI029               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
473,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI031               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
474,	FCQFN-14OL2D,	ANI014OL1001C       ,	014OLNI042               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
475,	FCQFN-16OF2D,	ANI016OF2001B       ,	016OFNI013               ,	58.87,	11.79,	0.00,	0.00,	0.00,	0.00,
476,	FCQFN-16OF2D,	ANI016OF2001B       ,	016OFNI045               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
477,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI059               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
478,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI092               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
479,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI101               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
480,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI125               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
481,	QFN-20YU2D  ,	ANI020YU1005C       ,	020YUNI156               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
482,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI162               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
483,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI205               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
484,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI250               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
485,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI252               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
486,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI274               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
487,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI293               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
488,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI296               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
489,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI306               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
490,	QFN-20YU2D  ,	ANI020YU1001M       ,	020YUNI315               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
491,	QFN-20YU2D  ,	ANI020YU1002B       ,	020YUNI349               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
492,	DFN-08Y62DW ,	AAS008Y62009A       ,	008Y6CM043ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
493,	DFN-08Y62D  ,	ABU008Y62012A       ,	008Y6CME15ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
494,	QFN-32YF1A  ,	ABW032YF1002B       ,	032YFCM022ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
495,	FPSSLGA41CRV,	AHQ0415L1003B       ,	0415LCM006ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
496,	MBGA90J3U   ,	AQW090MV1010B       ,	090MVCM034ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
497,	MBGA90A3L   ,	AQW090MV1017A       ,	090MVCM040ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
498,	FBGA-96UEI  ,	AQB096EI1001A       ,	096EICME001ENG           ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
499,	FBGA96UEL(2),	AAB096EL1012A       ,	096ELCME23ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
500,	MBGA165D2U  ,	ABU165MC4001A       ,	165MCCM016ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
501,	STBGA345UBC ,	ANV345XTA010A       ,	345XTCM027ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
502,	STBGA345FBC ,	ANV345XTC011A       ,	345XTCM030ENG            ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
503,	FBGA-96UEL  ,	AAS096EL1024A       ,	096ELAS053               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
504,	VFBGA60K8L  ,	AGA060NR1004A       ,	060NRGA006               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
505,	WLCSP       ,	                    ,	000IAQR004               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
506,	MINIBGA48J3U,	ABU048MA7001A       ,	048MABU068               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
507,	TSOP1-48/48M,	ABU048TP2002B       ,	048TPBU012               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
508,	MINIBGA54A4 ,	BU054MF1002A        ,	054MFBU004               ,	35.19,	0.00,	72.67,	0.00,	0.00,	15.50,
