process_id,Oper,master_desc,detail_desc,detail_id,remark,
	000IA034       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA039       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA039       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA039       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA039       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA040       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA040       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA045       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA045       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA058       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA058       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA058       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA058       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA068       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA068       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA068       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA068       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA081       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA081       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA081       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	V                                       ,
	000IA081       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA081       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA085       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA085       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA089       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA089       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA114       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA114       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA116       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA116       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA119       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA119       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA119       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	V                                       ,
	000IA119       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA119       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA125       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA125       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA125       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA125       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA138       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA138       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA138       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA138       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA143       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA143       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA146ENG    ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA146ENG    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA146ENG    ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA146ENG    ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA147       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA147       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA149       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA149       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA149       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA149       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA162       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA162       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA162       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	X                                       ,
	000IA162       ,	2040,	Support Entity                          ,	Other                                             ,	S20400199,	Dual                                    ,
	000IA162       ,	2040,	Support Entity                          ,	Other                                             ,	S20400199,	Dual                                    ,
	000IA163       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA163       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA163       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	C                                       ,
	000IA163       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA163       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	000IA192       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
	000IA192       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
