bom_id,ver,reg_date,item,oper,part_id,qty,tole,reason,supp,remark,
	YK010634  ,	 A,	2021/10/15 上午 12:00:00,	1,	2070,	120101109A               ,	0.000,	3.400,	0.203     ,	          ,	L010Y0303E5(Possehl)                    ,
	YK010634  ,	 A,	2021/10/15 上午 12:00:00,	2,	2070,	1071P10764               ,	0.000,	15.000,	          ,	          ,	                                        ,
	YK010634  ,	 A,	2021/10/15 上午 12:00:00,	3,	2200,	1091A08T41               ,	0.000,	0.150,	10        ,	          ,	0.8mil Au                               ,
	YK010634  ,	 A,	2021/10/15 上午 12:00:00,	4,	2300,	108192HF42               ,	0.000,	4.000,	          ,	          ,	1231BAS00A                              ,
	YK010634  ,	 A,	2021/10/15 上午 12:00:00,	5,	3720,	1011CA106A               ,	0.014,	0.800,	          ,	          ,	,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	1,	2052,	1221C20008               ,	4000.000,	10.000,	          ,	          ,	,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	2,	2052,	1221C20005               ,	2000.000,	10.000,	          ,	          ,	,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	3,	2070,	121101809A               ,	1000.000,	0.900,	0.300     ,	          ,	,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	4,	2430,	1011TR588B               ,	11.224,	0.600,	          ,	          ,	,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	5,	2070,	1071F76004               ,	0.082,	14.000,	          ,	          ,	BOT-5255 12  150um                      ,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	6,	2130,	1071F76004               ,	0.951,	14.000,	          ,	          ,	TOP-9119 12  150um                      ,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	7,	2200,	1091A07T41               ,	214.964,	0.150,	166       ,	          ,	0.7 mil Au                              ,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	8,	2300,	1081G1250B               ,	0.471,	4.000,	          ,	          ,	,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	9,	2052,	1101T70525               ,	8.680,	3.000,	          ,	          ,	20210111005改版CPD                      ,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	10,	2052,	SUBMATSAW016             ,	1000.000,	0.800,	,	          ,	TDAAW016D53026A-A                       ,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	11,	2070,	SUBMATWAW097             ,	1000.000,	0.800,	,	          ,	BOT-5255A 12  150um EM710CA             ,
	D5016050  ,	 D,	2021/3/4 上午 12:00:00,	12,	2130,	SUBMATWAW098             ,	1000.000,	0.800,	,	          ,	TOP-9119X 12  150um EM710CA             ,
	IA000050  ,	 A,	2018/2/7 上午 12:00:00,	1,	3720,	1011CA246A               ,	0.016,	0.800,	,	          ,	                                        ,
	2J028035  ,	 A,	2021/11/17 上午 12:00:00,	1,	2300,	1081A381C1               ,	0.203,	4.000,	          ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	1,	2052,	1221C20040               ,	6000.000,	10.000,	          ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	2,	2070,	121101916A               ,	1000.000,	0.900,	0.170     ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	3,	2434,	1011TR727A               ,	9.167,	0.600,	          ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	4,	2070,	1071F350L1               ,	0.040,	14.000,	          ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	5,	2130,	1071F76001               ,	1.008,	14.000,	          ,	          ,	2/25 TIM改DAF                           ,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	6,	2200,	1091A06C41               ,	78.844,	0.150,	96        ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	7,	2300,	1081E770A1               ,	0.297,	4.000,	          ,	          ,	                                        ,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	8,	2052,	1101T70525               ,	8.680,	5.000,	          ,	          ,	,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	9,	2052,	SUBMATSNV296             ,	1000.000,	0.800,	,	          ,	ANV0086A1069A                           ,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	10,	2070,	SUBMATWNV419             ,	1000.000,	0.800,	,	          ,	Controlle-   AM2703ENLT): 厚度200 um    ,
	6A008191  ,	 A,	2021/2/26 上午 12:00:00,	11,	2130,	SUBMATWNV207             ,	1000.000,	0.800,	,	          ,	Flash-BICS4 256Gb:SDP-1層DIE;厚度175um  ,
	Y3012604  ,	 B,	2021/11/5 上午 12:00:00,	1,	2300,	10819240H5               ,	0.000,	4.000,	,	          ,	1230BALLSN0000A                         ,
	Y3012604  ,	 B,	2021/11/5 上午 12:00:00,	2,	2070,	120100155A               ,	0.000,	3.400,	0.152     ,	          ,	8/10 15變更LF供應商(Shinko)             ,
	Y3012604  ,	 B,	2021/11/5 上午 12:00:00,	3,	3720,	1011CA295A               ,	0.014,	0.800,	,	          ,	,
	Y3012604  ,	 B,	2021/11/5 上午 12:00:00,	4,	2070,	1241FAC26S               ,	0.000,	5.000,	,	          ,	,
	TS054044  ,	 A,	2017/5/3 上午 12:00:00,	1,	2070,	120100598A               ,	1000.000,	0.400,	0.127     ,	          ,	CU LF                                   ,
	TS054044  ,	 A,	2017/5/3 上午 12:00:00,	2,	2430,	1011TR028A               ,	10.500,	0.600,	,	          ,	,
	TS054044  ,	 A,	2017/5/3 上午 12:00:00,	3,	2070,	1071P49001               ,	1.150,	15.000,	,	          ,	,
	TS054044  ,	 A,	2017/5/3 上午 12:00:00,	4,	2200,	1091A07T21               ,	117.464,	0.150,	56        ,	          ,	0.7AU 2N TANAKA                         ,
	TS054044  ,	 A,	2017/5/3 上午 12:00:00,	5,	2300,	108192HF25               ,	0.720,	4.000,	,	          ,	,
	TS054044  ,	 A,	2017/5/3 上午 12:00:00,	6,	2410,	1231BAS00A               ,	0.070,	5.000,	,	          ,	,
	IA000065  ,	 A,	2018/6/5 上午 12:00:00,	1,	3720,	1011CA270A               ,	0.016,	0.800,	,	          ,	                                        ,
	OA014603  ,	 C,	2021/11/5 上午 12:00:00,	1,	2300,	10819240H5               ,	0.000,	4.000,	,	          ,	1230BALLSN0000A                         ,
	OA014603  ,	 C,	2021/11/5 上午 12:00:00,	2,	2070,	120100163A               ,	0.000,	3.400,	0.152     ,	          ,	                                        ,
	OA014603  ,	 C,	2021/11/5 上午 12:00:00,	3,	3720,	1011CA296A               ,	0.014,	0.800,	,	          ,	20190408004變更Carrier                  ,
	OA014603  ,	 C,	2021/11/5 上午 12:00:00,	4,	2070,	1241FAC26S               ,	0.000,	5.000,	,	          ,	,
	IA000122  ,	 B,	2020/9/1 上午 12:00:00,	1,	3720,	1011CA332A               ,	0.008,	0.800,	,	          ,	                                        ,
	IA000016  ,	 B,	2017/9/18 上午 12:00:00,	1,	3720,	1011CA202B               ,	0.016,	0.800,	,	          ,	20170914001 PJ改用量                    ,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	1,	2052,	1221C20040               ,	6000.000,	10.000,	          ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	2,	2070,	121101916A               ,	1000.000,	0.900,	0.170     ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	3,	2434,	1011TR727A               ,	9.167,	0.600,	          ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	4,	2070,	1071F350L1               ,	0.040,	14.000,	          ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	5,	2130,	1071F76001               ,	1.008,	14.000,	          ,	          ,	2/25改DAF                               ,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	6,	2200,	1091A06C41               ,	78.844,	0.150,	96        ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	7,	2300,	1081E770A1               ,	0.297,	4.000,	          ,	          ,	                                        ,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	8,	2052,	1101T70525               ,	8.680,	5.000,	          ,	          ,	,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	9,	2070,	SUBMATWNV419             ,	1000.000,	0.800,	,	          ,	Controlle-AM2703ENLT200um               ,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	10,	2130,	SUBMATWNV199             ,	1000.000,	0.800,	,	          ,	Flash-BICS4;256Gb:SDP;1層DIE;250um      ,
	6A008190  ,	 D,	2021/3/2 上午 12:00:00,	11,	2052,	SUBMATSNV295             ,	1000.000,	0.800,	,	          ,	ANV0086A1065A                           ,
	IA000017  ,	 A,	2018/9/14 上午 12:00:00,	1,	3720,	1011CA203B               ,	0.016,	0.800,	,	          ,	1010CA00000227A變更長度                 ,
	IA000025  ,	 C,	2017/9/18 上午 12:00:00,	1,	3720,	1011CA218B               ,	0.004,	0.800,	,	          ,	20170914001 PJ改用量                    ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	1,	2052,	1221C20016               ,	7000.000,	10.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	2,	2052,	1221I20010               ,	1000.000,	10.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	3,	2052,	1221R20006               ,	1000.000,	10.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	4,	2052,	1221R20005               ,	1000.000,	10.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	5,	2052,	1221R20072               ,	1000.000,	10.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	6,	2052,	1221BA0007               ,	1000.000,	10.000,	          ,	          ,	                                        ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	7,	2052,	1221BF0001               ,	1000.000,	10.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	8,	2070,	121102197A               ,	1000.000,	0.900,	0.200     ,	          ,	OSP SBT                                 ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	9,	2430,	1011TR439A               ,	7.237,	0.600,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	10,	2070,	1071F76004               ,	0.979,	14.000,	          ,	          ,	Die1_SPACER1;12 65um                    ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	11,	2130,	1071F76004               ,	0.153,	14.000,	          ,	          ,	Die2_PACER2;12 65um                     ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	12,	3130,	1071F76004               ,	0.317,	14.000,	          ,	          ,	Die3_PS5013;12 65um                     ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	13,	3330,	1071F310JB               ,	1.412,	14.000,	          ,	          ,	Die4_BiCS5 512Gb;12 250um               ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	14,	2200,	1091A07C41               ,	250.996,	0.150,	249       ,	          ,	0.7mil Au                               ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	15,	3200,	1091A07C41               ,	68.156,	0.150,	49        ,	          ,	0.7mil Au                               ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	16,	2300,	1081GE100C               ,	0.280,	4.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	17,	2052,	1101T70525               ,	8.680,	3.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	18,	2410,	1101L70528               ,	345.000,	3.000,	          ,	          ,	,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	19,	2070,	SUBMATWNV070             ,	1000.000,	0.800,	,	          ,	Die1_12402030DUMMY;12 65um;F76004       ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	20,	2130,	SUBMATWNV069             ,	1000.000,	0.800,	,	          ,	Die2_12402030DUMMY;12 65um;F76004       ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	21,	3130,	SUBMATWNV157             ,	1000.000,	0.800,	,	          ,	Die3_20-W5013BB107;65um;F76004          ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	22,	3330,	SUBMATWNV518             ,	1000.000,	0.800,	,	          ,	Die4_30-T0NA00P106;250um;F310JB         ,
	XT345090  ,	 A,	2021/12/21 上午 12:00:00,	23,	2052,	SUBMATSNV387             ,	1000.000,	0.800,	,	          ,	ANV345XTC011A                           ,
