¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
262,	ACS054TN1006A       ,	2200,	UTC1000S    ,	20220211-B-ACS054TN1006A-2200-Criteria  ,	20220211,	165655,
263,	ABU008Y62003A       ,	2200,	ICONN       ,	ABU008Y62003A-2200-Criteria             ,	20210326,	181538,
264,	ABU008Y62003A       ,	2200,	RAPID       ,	ABU008Y62003A-2200-Criteria             ,	20210326,	181538,
265,	ACS054TN1006A       ,	2200,	UTC2000     ,	20220211-B-ACS054TN1006A-2200-Criteria  ,	20220211,	165655,
266,	AAS090NC4001A       ,	2200,	MAXUM       ,	AAS090NC4001A-2200-Criteria             ,	20220210,	231003,
267,	ANV132X2C047A       ,	2200,	UTC1000S    ,	20220217-B-ANV132X2C047A-2200-Criteria  ,	20220217,	113410,
268,	ANV132X2C047A       ,	2200,	UTC2000     ,	20220217-B-ANV132X2C047A-2200-Criteria  ,	20220217,	113410,
269,	ANV132X2C059A       ,	2200,	UTC2000     ,	20220211-A-ANV132X2C059A-2200-Criteria  ,	20220211,	131132,
270,	AAB008YB2009A       ,	2200,	MAXUM-PLUS  ,	AAB008YB2009A-2200-Criteria             ,	20210327,	165021,
271,	ANV132X2C059A       ,	2200,	UTC3000     ,	20220211-A-ANV132X2C059A-2200-Criteria  ,	20220211,	131132,
272,	ANV132X2C059A       ,	2200,	UTC5000S    ,	20220211-A-ANV132X2C059A-2200-Criteria  ,	20220211,	131132,
273,	ANV132X2C059A       ,	2200,	RAPID       ,	20220211-A-ANV132X2C059A-2200-Criteria  ,	20220211,	131132,
274,	AAW008YM2004A       ,	2200,	MAXUM-PLUS  ,	20220211-A-AAW008YM2004A-2200-Criteria  ,	20220211,	132952,
275,	AAW008YM2004A       ,	2200,	MAXUM       ,	20220211-A-AAW008YM2004A-2200-Criteria  ,	20220211,	132952,
276,	AAW008Y62015A       ,	2200,	MAXUM-PLUS  ,	20220219-A-AAW008Y62015A-2200-Criteria  ,	20220219,	203402,
277,	AAW008Y62015A       ,	2200,	MAXUM       ,	20220219-A-AAW008Y62015A-2200-Criteria  ,	20220219,	203402,
278,	AAW008Y62015A       ,	2200,	RAPID       ,	20220219-A-AAW008Y62015A-2200-Criteria  ,	20220219,	203402,
279,	AAS008FG1010A       ,	2200,	MAXUM-PLUS  ,	20220217-A-AAS008FG1010A-2200-Criteria  ,	20220217,	111054,
280,	AAS008FG1010A       ,	2200,	MAXUM       ,	20220217-A-AAS008FG1010A-2200-Criteria  ,	20220217,	111054,
281,	AAB008YB2009A       ,	2200,	MAXUM       ,	AAB008YB2009A-2200-Criteria             ,	20210327,	165021,
