Location,Entity,
	TA-A10                   ,	BB729 ,
	TA-A11                   ,	BB748 ,
	TA-A16                   ,	BB752 ,
	TA-A16                   ,	BB753 ,
	TA-A16                   ,	BB754 ,
	TA-A16                   ,	BB755 ,
	TA-A16                   ,	BB756 ,
	TA-A16                   ,	BB757 ,
	TA-A16                   ,	BB758 ,
	TA-A16                   ,	BB759 ,
	TA-A16                   ,	BB760 ,
	TA-A16                   ,	BB761 ,
	TA-A16                   ,	BB762 ,
	TA-A17                   ,	BB763 ,
	TA-A17                   ,	BB764 ,
	TA-A17                   ,	BB766 ,
	TA-A17                   ,	BB767 ,
	TA-A17                   ,	BB768 ,
	TA-A17                   ,	BB769 ,
	TA-A17                   ,	BB770 ,
	TA-A18                   ,	BB772 ,
	TA-A18                   ,	BB773 ,
	TA-A18                   ,	BB774 ,
	TA-A18                   ,	BB775 ,
	TA-A18                   ,	BB776 ,
	TA-A18                   ,	BB777 ,
	TA-A18                   ,	BB779 ,
	TA-A18                   ,	BB780 ,
	TA-A18                   ,	BB781 ,
	TA-A18                   ,	BB782 ,
	TA-A18                   ,	BB783 ,
	TA-A18                   ,	BB784 ,
	TA-A9                    ,	BB786 ,
	TA-A19                   ,	BB788 ,
	TA-A19                   ,	BB789 ,
	TA-A19                   ,	BB790 ,
	TB-B2                    ,	BB801 ,
	TB-B2                    ,	BB802 ,
	TB-B2                    ,	BB803 ,
	TB-B2                    ,	BB804 ,
	TB-B2                    ,	BB805 ,
	TA-A17                   ,	BB765 ,
	TA-A12                   ,	BB771 ,
	TA-A18                   ,	BB778 ,
	TA-A18                   ,	BB785 ,
	TA-A19                   ,	BB787 ,
	TA-A19                   ,	BB791 ,
	TB-B2                    ,	BB806 ,
	TB-B2                    ,	BB807 ,
	TB-B2                    ,	BB808 ,
	TB-B2                    ,	BB809 ,
	TB-B2                    ,	BB810 ,
	TB-B2                    ,	BB811 ,
	TB-B2                    ,	BB812 ,
	TB-B2                    ,	BB813 ,
	TB-B2                    ,	BB814 ,
	TB-B10                   ,	BB815 ,
	TB-B2                    ,	BB816 ,
	TB-B2                    ,	BB817 ,
	TB-B2                    ,	BB818 ,
	TB-B2                    ,	BB819 ,
	TB-B3                    ,	BB821 ,
	TB-B3                    ,	BB822 ,
