ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER,ent_weight
BB825,MAXUM,IDLE,,,,AAS096EL1007A,,22-06-05 12:19,,,,06/20/2022 MP,,,R23ASAC01,FBGA-96UEL,EliteMT,AAS096EL1007A,1091G08PA4,154.46,,2200,0.0
BB826,MAXUM,RUNNING,R23ABHA01,2200.0,008YMAB062,AAB008YM2023A,22-06-06 10:57,22-06-05 23:56,WINBOND,DFN-08YM2D,16000.0,06/21/2022 MP,,,R23ABHI03,DFN-08YB2G,WINBOND,AAB008YB2007A,1091A07T21,1451.5763,22-06-06 10:57,2200,44104.54945054945
BB827,MAXUM,IDLE,,,,AMS096EC1002A,,22-06-06 07:45,,,,06/22/2022 MP,,,R23MSKY02,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,315.8637,,2200,98554.18095238095
BB828,MAXUM,WAIT-REPAIR,R23MSLZ02,2200.0,096ECMS003,AMS096EC1002A,22-06-06 16:53:24,22-06-06 07:55,MTI,FBGA-96UEC,5560.0,06/23/2022 MP,1091A06T41,,R23MSKX06,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,315.8637,22-06-06 16:53,2200,98554.18095238095
BB831,MAXUM,IDLE,,,,AAS084CC2023A,,22-06-05 01:38,,,,06/26/2022 MP,,,R20ASBF01,FBGA-84UC,EliteMT,AAS084CC2023A,1091G08PA4,192.9814,,2200,0.0
BB832,MAXUM,IDLE,,,,AAS084CC2023A,,22-06-05 14:54,,,,06/27/2022 MP,,,R20ASBF12,FBGA-84UC,EliteMT,AAS084CC2023A,1091G08PA4,192.9814,,2200,0.0
BB833,MAXUM,IDLE,,,,AAW008Y62014A,,22-06-06 04:31,,,,06/28/2022 MP,,,R23AWB829,DFN-08Y62D,MXIC,AAW008Y62014A,1091A07T41,1184.7633,,2200,0.0
BB834,MAXUM,IDLE,,,,AAS084CC2023A,,22-06-05 06:37,,,,06/29/2022 MP,,,R20ASBF06,FBGA-84UC,EliteMT,AAS084CC2023A,1091G08PA4,192.9814,,2200,0.0
BB835,MAXUM,IDLE,,,,AAS008DR1029A,,22-06-06 01:30,,,,06/30/2022 MP,,,R22ASBF03,VTLGA08J4U,EliteMT,AAS008DR1029A,1091G08PA4,1050.8712,,2200,0.0
BB836,MAXUM,IDLE,,,,ATE066TS1001A,,22-06-04 19:19,,,,,,,R21TEBE07,TSOP2-66CME,ZCN,ATE066TS1001A,1091G08PA4,215.55,,2200,0.0
