Location,Entity,
	TA-1,	BB513,
	TA-1,	BB514,
	TA-1,	BB515,
	TA-1,	BB516,
	TA-1,	BB517,
	TA-1,	BB518,
	TA-1,	BB519,
	TA-1,	BB520,
	TA-1,	BB521,
	TA-1,	BB522,
	TA-1,	BB523,
	TA-1,	BB524,
	TA-1,	BB525,
	TA-1,	BB526,
	TA-1,	BB527,
	TA-1,	BB528,
	TA-1,	BB529,
	TA-1,	BB530,
	TA-1,	BB531,
	TA-1,	BB532,
	TA-1,	BB533,
	TA-1,	BB534,
	TA-1,	BB535,
	TA-1,	BB536,
	TA-1,	BB537,
	TA-1,	BB538,
	TA-1,	BB539,
	TA-1,	BB540,
	TA-1,	BB541,
	TA-1,	BB542,
	TA-1,	BB543,
	TA-1,	BB544,
	TA-1,	BB545,
	TA-1,	BB546,
	TA-1,	BB547,
	TA-1,	BB548,
	TA-1,	BB549,
	TA-1,	BB550,
	TA-1,	BB551,
	TA-1,	BB552,
	TA-1,	BB553,
	TA-1,	BB554,
	TA-1,	BB555,
	TA-1,	BB556,
	TA-1,	BB557,
	TA-1,	BB558,
	TA-1,	BB559,
	TA-1,	BB560,
	TA-1,	BB561,
	TA-1,	BB562,
	TA-1,	BB563,
	TA-1,	BB564,
	TA-1,	BB565,
	TA-1,	BB566,
	TA-1,	BB567,
	TA-1,	BB568,
	TA-1,	BB569,
	TA-1,	BB570,
	TA-1,	BB571,
	TA-1,	BB572,
	TA-1,	BB573,
	TA-1,	BB574,
	TA-1,	BB575,
	TA-1,	BB576,
	TA-1,	BB577,
	TA-1,	BB578,
	TA-1,	BB579,
	TA-1,	BB580,
	TA-1,	BB581,
	TA-1,	BB582,
	TA-1,	BB583,
	TA-1,	BB584,
	TA-1,	BB585,
	TA-1,	BB586,
	TA-1,	BB587,
	TA-1,	BB588,
	TA-1,	BB589,
	TA-1,	BB590,
	TA-1,	BB591,
	TA-1,	BB592,
	TA-1,	BB593,
	TA-1,	BB594,
	TA-1,	BB595,
	TA-1,	BB596,
	TA-1,	BB597,
	TA-1,	BB598,
	TA-1,	BB599,
	TA-1,	BB600,
	TA-1,	BB601,
	TA-1,	BB602,
	TA-1,	BB603,
	TA-1,	BB604,
	TA-1,	BB605,
	TA-1,	BB606,
	TA-1,	BB607,
	TA-1,	BB608,
	TA-1,	BB609,
	TA-1,	BB610,
	TA-1,	BB611,
	TA-1,	BB612,
	TA-1,	BB613,
	TA-1,	BB614,
	TA-1,	BB615,
	TA-1,	BB616,
	TA-1,	BB617,
	TA-1,	BB618,
	TA-1,	BB619,
	TA-1,	BB620,
	TA-1,	BB621,
	TA-1,	BB622,
	TA-1,	BB623,
	TA-1,	BB624,
	TA-2,	BB701,
	TA-2,	BB702,
	TA-2,	BB703,
	TA-2,	BB704,
	TA-2,	BB705,
	TA-2,	BB706,
	TA-2,	BB707,
	TA-2,	BB708,
	TA-2,	BB709,
	TA-2,	BB710,
	TA-2,	BB711,
	TA-2,	BB712,
	TA-2,	BB713,
	TA-2,	BB714,
	TA-2,	BB715,
	TA-2,	BB716,
	TA-2,	BB717,
	TA-2,	BB718,
	TA-2,	BB719,
	TA-2,	BB720,
	TA-2,	BB721,
	TA-2,	BB722,
	TA-2,	BB723,
	TA-2,	BB724,
	TA-2,	BB725,
	TA-2,	BB726,
	TA-2,	BB727,
	TA-2,	BB728,
	TA-2,	BB729,
	TA-2,	BB730,
	TA-2,	BB731,
	TA-2,	BB732,
	TA-2,	BB733,
	TA-2,	BB734,
	TA-2,	BB735,
	TA-2,	BB736,
	TA-2,	BB737,
	TA-2,	BB738,
	TA-2,	BB745,
	TA-2,	BB746,
	TA-2,	BB747,
	TA-2,	BB748,
	TA-2,	BB749,
	TA-2,	BB750,
	TA-2,	BB751,
	TA-2,	BB752,
	TA-2,	BB753,
	TA-2,	BB754,
	TA-2,	BB755,
	TA-2,	BB756,
	TA-2,	BB757,
	TA-2,	BB758,
	TA-2,	BB759,
	TA-2,	BB760,
	TA-2,	BB761,
	TA-2,	BB762,
	TA-2,	BB763,
	TA-2,	BB764,
	TA-2,	BB765,
	TA-2,	BB766,
	TA-2,	BB767,
	TA-2,	BB768,
	TA-2,	BB769,
	TA-2,	BB770,
	TA-2,	BB771,
	TA-2,	BB772,
	TA-2,	BB773,
	TA-2,	BB774,
	TA-2,	BB775,
	TA-2,	BB776,
	TA-2,	BB777,
	TA-2,	BB778,
	TA-2,	BB779,
	TA-2,	BB780,
	TA-2,	BB781,
	TA-2,	BB782,
	TA-2,	BB783,
	TA-2,	BB784,
	TA-2,	BB785,
	TA-2,	BB786,
	TA-2,	BB787,
	TA-2,	BB788,
	TA-2,	BB789,
	TA-2,	BB790,
	TA-2,	BB791,
	TB-U,	BB801,
	TB-U,	BB802,
	TB-U,	BB803,
	TB-U,	BB804,
	TB-U,	BB805,
	TB-U,	BB806,
	TB-U,	BB807,
	TB-U,	BB808,
	TB-U,	BB809,
	TB-U,	BB810,
	TB-U,	BB811,
	TB-U,	BB812,
	TB-U,	BB813,
	TB-U,	BB814,
	TB-U,	BB815,
	TB-U,	BB816,
	TB-U,	BB817,
	TB-U,	BB818,
	TB-U,	BB819,
	TB-U,	BB821,
	TB-U,	BB822,
	TB-U,	BB823,
	TB-U,	BB824,
	TB-U,	BB825,
	TB-U,	BB826,
	TB-U,	BB827,
	TB-U,	BB828,
	TB-U,	BB831,
	TB-U,	BB832,
	TB-U,	BB833,
	TB-U,	BB834,
	TB-U,	BB835,
	TB-U,	BB836,
	TB-U,	BB837,
	TB-U,	BB838,
	TB-U,	BB839,
	TB-U,	BB840,
	TB-U,	BB841,
	TB-U,	BB842,
	TB-U,	BB843,
	TB-U,	BB844,
	TB-U,	BB845,
	TB-U,	BB846,
	TB-U,	BB847,
	TB-U,	BB848,
	TB-U,	BB849,
	TB-U,	BB850,
	TB-U,	BB851,
	TB-U,	BB852,
	TB-U,	BB853,
	TB-U,	BB854,
	TB-U,	BB855,
	TB-U,	BB856,
	TB-U,	BB857,
	TB-U,	BB858,
	TB-U,	BB859,
	TB-U,	BB860,
	TB-U,	BB861,
	TB-U,	BB862,
	TB-U,	BB863,
	TB-U,	BB864,
	TB-U,	BB865,
	TB-U,	BB866,
	TB-U,	BB867,
	TB-U,	BB868,
	TB-U,	BB869,
	TB-U,	BB870,
	TB-U,	BB871,
	TB-U,	BB872,
	TB-U,	BB873,
	TB-U,	BB874,
	TB-U,	BB875,
	TB-U,	BB876,
	TB-U,	BB877,
	TB-U,	BB878,
	TB-U,	BB879,
	TB-U,	BB880,
	TB-U,	BB881,
	TB-U,	BB882,
	TB-U,	BB883,
	TB-U,	BB884,
	TB-U,	BB885,
	TB-U,	BB886,
	TB-U,	BB887,
	TB-U,	BB888,
	TB-U,	BB889,
	TB-U,	BB890,
	TB-U,	BB891,
	TB-U,	BB892,
	TB-U,	BB893,
	TB-U,	BB894,
	TB-U,	BB895,
	TB-U,	BB896,
	TB-U,	BB897,
