ENTITY,SUM,MODEL,STATUS,LOT#,Pre-Lot,OPER,PRODUCT,PACKAGE ID,BOND ID,WIP,IC Q'ty,IN TIME,OUTPLAN,CUST,PIN_PKG,CLOT,JCODE,UPH,LAMILATION,REMARK1,AREA,PM,SETTING OPER,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,Unnamed: 31,G.UPH,N.UPH,wip_outplan_time
BB806,5766,MAXUM,IDLE,,,,,,AMS078EP1001A,,,22-01-14 15:24,,,,,,,,2000M,TB-B2,,2200,,,R02MSAY03,FBGA-78UEP,MTI,AMS078EP1001A,1091A06T21,,218.0035,193.6416,
BB807,4092,MAXUM,RUNNING,R02ASDX03,,2200,090NCAS001,M12L64322AS2AG{GBBXK},AAS090NC4001A,3989,32398,22-01-14 07:53,22-01-15 10:24,EliteMT,VFBGA90K4L,P1BMG.07,,150.3938,,3000M,TB-B2,,2200,,,R02ASDT04,VFBGA90K4L,EliteMT,AAS090NC4001A,1091G08PA1,,150.3938,133.5873,2022-01-15 10:24:50
BB808,0,MAXUM,RUNNING,R02ASDW04,,2200,090NCAS001,M12L64322AS2AG{GBBXK},AAS090NC4001A,4068,32255,22-01-13 23:37,22-01-15 02:40,EliteMT,VFBGA90K4L,P1BMG.04,,150.3938,,3000,TB-B2,,2200,1091G08PA1,,R02ASDV02,VFBGA90K4L,EliteMT,AAS090NC4001A,1091G08PA1,,150.3938,133.5873,2022-01-15 02:40:28
BB809,8320,MAXUM,RUNNING,R02VGB810,,2200,008Y6VG011,IS25LP064A-JTLE-TR{rough},ABU008Y62005A,7496,82376,22-01-14 11:14,22-01-15 00:47,ISSI-VG,DFN-08Y62D,P2U345Y2,,553.9670,,3000M,TB-B2,,2200,1091A07C21,,R02VGB806,DFN-08Y62D,ISSI-VG,ABU008Y62005A,1091A07C21,,553.967,492.0612,2022-01-15 00:47:24
BB810,4008,MAXUM,RUNNING,R02ASDX01,,2200,090NCAS001,M12L64322AS2AG{GBBXK},AAS090NC4001A,4063,32398,22-01-14 13:10,22-01-15 16:11,EliteMT,VFBGA90K4L,P1BMG.07,,150.3938,,3000M,TB-B2,,2200,,,R02ASDV06,VFBGA90K4L,EliteMT,AAS090NC4001A,1091G08PA1,,150.3938,133.5873,2022-01-15 16:11:33
BB811,2980,MAXUM,RUNNING,R02ASC809,,2200,096ELAS001,M15T1G1664AC1AG{GVNX2-13X,AAS096EL1002A,2902,36709,22-01-14 13:05,22-01-15 08:07,EliteMT,FBGA-96UEL-3,P18WL.01,,152.4326,,3000M,TB-B2,,2200,,,R02ASBN01,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,,152.4326,135.3982,2022-01-15 08:07:37
BB812,0,MAXUM,RUNNING,R02MSCW02,,2200,078EPMS004,Z32D1JC8CMS3712{ZDT-S},AMS078EP1001A,5681,22213,22-01-13 16:46,22-01-14 15:16,MTI,FBGA-78UEP,585626K.00K,,252.5695,,3000M,TB-B2,,2200,,,R02MSAQ01,FBGA-78UEP,MTI,AMS078EP1001A,1091A06T21,,218.0035,193.6416,2022-01-14 15:16:10
BB813,10080,MAXUM,RUNNING,R02ASD304,,2200,008FGAS014,EN25QH32BB1HM{M68FA}{FT3},AAS008FG1011A,10080,143464,22-01-14 08:55,22-01-14 17:37,EliteMT,SOP-8G,X10T4.18,,1156.8699,,3000M,TB-B2,,2200,1091G08PA4,,R02ASD214,SOP-8G,EliteMT,AAS008FG1011A,1091G08PA4,,1156.8699,1027.5897,2022-01-14 17:37:58
BB814,4150,MAXUM,RUNNING,R02ASDX04,,2200,090NCAS001,M12L64322AS2AG{GBBXK},AAS090NC4001A,4098,32398,22-01-14 09:36,22-01-15 12:51,EliteMT,VFBGA90K4L,P1BMG.07,,150.3938,,3000M,TB-B2,,2200,,,R02ASDV04,VFBGA90K4L,EliteMT,AAS090NC4001A,1091G08PA1,,150.3938,133.5873,2022-01-15 12:51:36
BB815,0,MAXUM,RUNNING,R02ASDN01,,2200,048MAAS003,EN29LV160CTV1QG{GBNFA},AAS048MAB001A,12164,20574,22-01-12 23:33,22-01-14 18:11,EliteMT,MINIBGA48J3U,B701A.23,,285.3507,,3000M,TB-B10,,2200,1091G08PA4,,R02AWF302,DFN-08Y62D,MXIC,AAW008Y62012A,1091A07T41,,285.3507,253.4627,2022-01-14 18:11:04
BB816,0,MAXUM,WAIT-REPAIR,R02MSCJ02,,2200,078EPMS004,Z32D1JC8CMS3712{ZDT-S},AMS078EP1001A,5822,21835,22-01-14 15:33,22-01-14 16:35:19,MTI,FBGA-78UEP,587342K.00K,UCA,252.5695,,3000M,TB-B2,,2200,1091A06T21,,R02MSAR02,FBGA-78UEP,MTI,AMS078EP1001A,1091A06T21,,218.0035,193.6416,2022-01-14 16:35:19
