lot_number,oper,cust,pin_pkg,prod_id,qty,part_id,part_no,bd_id,entity,start_time,end_time
R23ABH913,2200,WINBOND,DFN-08YM2D,008YMAB062,6412,1091A07T21,A0803CB0832,AAB008YM2023A,BB813,2022-06-06 22:41:56,2022-06-07 03:44:04
R23ABH807,2200,WINBOND,DFN-08YM2D,008YMAB062,16000,1091A07T21,A0803CB0832,AAB008YM2023A,BB813,2022-06-07 03:44:04,2022-06-07 16:18:01
R23ABFR04,2200,WINBOND,DFN-08YD4AW,008YDAB027,9120,1091A07T21,A0803CB1340,AAB008YD4001A,BB815,2022-06-06 21:59:23,2022-06-07 11:01:47
R23ABFR05,2200,WINBOND,DFN-08YD4AW,008YDAB027,9120,1091A07T21,A0803CB1340,AAB008YD4001A,BB815,2022-06-07 11:01:47,2022-06-08 00:04:10
R23BWE109,2200,AKM,QFN-72AF1,072AFBW022,1600,1091A07C41,A0803CB0424,ABW072AF1004B,BB816,2022-06-06 20:54:00,2022-06-07 13:25:58
R23BWE205,2200,AKM,QFN-72AF1,072AFBW022,1600,1091A07C41,A0803CB0424,ABW072AF1004B,BB816,2022-06-07 13:25:58,2022-06-08 05:57:56
R23BWE106,2200,AKM,QFN-72AF1,072AFBW022,1600,1091A07C41,A0803CB0424,ABW072AF1004B,BB817,2022-06-07 01:43:58,2022-06-07 18:15:56
R23BWE207,2200,AKM,QFN-72AF1,072AFBW022,1600,1091A07C41,A0803CB0424,ABW072AF1004B,BB817,2022-06-07 18:15:56,2022-06-08 10:47:54
R20ASBY04,2200,EliteMT,FBGA-96UEL,096ELAS043,2940,1091G08PA4,A0803CB1240,AAS096EL1009B,BB818,2022-06-07 00:34:00,2022-06-07 23:29:39
R20ASCH09,2200,EliteMT,FBGA-96UEL,096ELAS043,1903,1091G08PA4,A0803CB1240,AAS096EL1009B,BB818,2022-06-07 23:29:39,2022-06-08 14:20:06
R23BWE108,2200,AKM,QFN-72AF1,072AFBW022,1600,1091A07C41,A0803CB0424,ABW072AF1004B,BB822,2022-06-06 12:42:00,2022-06-07 05:13:58
R23BWE202,2200,AKM,QFN-72AF1,072AFBW022,1600,1091A07C41,A0803CB0424,ABW072AF1004B,BB822,2022-06-07 05:13:58,2022-06-07 21:45:56
R23BWE209,2200,AKM,QFN-72AF1,072AFBW022,1600,1091A07C41,A0803CB0424,ABW072AF1004B,BB822,2022-06-07 21:45:56,2022-06-08 14:17:54
R23ABH814,2200,WINBOND,DFN-08YM2D,008YMAB062,15385,1091A07T21,A0803CB0832,AAB008YM2023A,BB826,2022-06-06 10:57:00,2022-06-06 23:01:57
R23ABH802,2200,WINBOND,DFN-08YM2D,008YMAB062,16000,1091A07T21,A0803CB0832,AAB008YM2023A,BB826,2022-06-06 23:01:57,2022-06-07 11:35:53
R23ABHA11,2200,WINBOND,DFN-08YM2D,008YMAB062,16000,1091A07T21,A0803CB0832,AAB008YM2023A,BB826,2022-06-07 11:35:53,2022-06-08 00:09:50
R23ABB901,2200,WINBOND,STDFN08YQ3AW,008YQAB114,5600,1091A08T21,A0803CB1365,AAB008YQ3021A,BB837,2022-06-06 12:31:00,2022-06-07 01:30:37
R23ABH812,2200,WINBOND,DFN-08YM2D,008YMAB062,16000,1091A07T21,A0803CB0832,AAB008YM2023A,BB840,2022-06-06 10:55:00,2022-06-06 23:28:56
R23ABHA08,2200,WINBOND,DFN-08YM2D,008YMAB062,16000,1091A07T21,A0803CB0832,AAB008YM2023A,BB840,2022-06-06 23:28:56,2022-06-07 12:02:52
R23ABHA12,2200,WINBOND,DFN-08YM2D,008YMAB062,16000,1091A07T21,A0803CB0832,AAB008YM2023A,BB840,2022-06-07 12:02:52,2022-06-08 00:36:49
R23BWE111,2200,AKM,QFN-72AF1,072AFBW022,132,1091A07C41,A0803CB0424,ABW072AF1004B,BB841,2022-06-06 15:34:00,2022-06-06 16:55:50
R23BWE107,2200,AKM,QFN-72AF1,072AFBW022,1600,1091A07C41,A0803CB0424,ABW072AF1004B,BB841,2022-06-06 16:55:50,2022-06-07 09:27:48
