,bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time,start_time_trans,end_time_trans
104,ATE066TS1001A,AAB008YQ3028A,174.0,BB866,"MC,CSC",,R23ABFN16,BB866_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
105,AAS008DR1029A,AAB008YQ3028A,174.0,BB867,"MC,CSC",,R23ABFN06,BB867_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
106,ATE066TS1001A,AAB008YQ3028A,174.0,BB869,"MC,CSC",,R23ABFL02,BB869_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
107,ATE066TS1001A,AAB008YQ3028A,174.0,BB870,"MC,CSC",,R23ABFL15,BB870_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
108,AAS096EL1007A,ABU008YQ2007A,174.0,BB873,"MC,CSC",,R23VGA701,BB873_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
109,AAS084CC2023A,AAB008YQ3028A,174.0,BB874,"MC,CSC",,R23ABFK13,BB874_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
110,AAS084CC2023A,ABU008YQ2007A,174.0,BB875,"MC,CSC",,R23VGA707,BB875_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
111,AAS084CC2023A,ABU008YQ2007A,174.0,BB876,"MC,CSC",,R23VGA705,BB876_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
112,AAS084CC2023A,ABU008YQ2007A,174.0,BB879,"MC,CSC",,R23VGA702,BB879_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
113,AAB008YQ3001A,ABU008YQ2007A,174.0,BB884,"MC,CSC",,R23VGA704,BB884_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
114,ATE066TS1001A,AAW008YM2004A,330.0,BB908,"CWN,EU,SC,CSC",,R23AWA904,BB908_1,0.0,2022-06-06 08:06:00,2022-06-06 13:36:00
115,AAW008YM2004A,AAW008Y62017A,1375.818987,BB908,"CWN,SC,CSC",R23AWA904,R23AWDE17,BB908_2,1165.818987,2022-06-07 03:31:49,2022-06-07 07:01:49
116,AAS084CC2023A,AMS096EC1002A,174.0,BB910,"MC,CSC",R20ASBF13,R23MSM804,BB910_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
117,AAB008YQ3021A,AMS096EC1002A,174.0,BB917,"MC,CSC",R22ABBS04,R23MSLZ03,BB917_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
118,AVE008YD2005A,AAW008YM2004A,174.0,BB931,"MC,CSC",,R23AWA915,BB931_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
119,AAS096EL1007A,AAW008YM2004A,174.0,BB938,"MC,CSC",,R23AWA902,BB938_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
120,AAB063XM5003A,AMS096EC3001B,210.0,BBB01,"CWN,SC,CSC",,R23MSMJ08,BBB01_1,0.0,2022-06-06 08:06:00,2022-06-06 11:36:00
121,AMS096EC3001B,AMS078EP1001A,1562.645905,BBB01,"CWN,SC,CSC",R23MSLE08,R23MSLH04,BBB01_3,1352.645905,2022-06-07 06:38:38,2022-06-07 10:08:38
122,ASS153XT3001A,AMS078EP1001A,174.0,BBB02,"MC,CSC",,R23MSLJ04,BBB02_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
123,ASS153XT3001A,AMS096EC3001B,174.0,BBB04,"MC,CSC",,R23MSMN08,BBB04_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
124,AAB084N43003A,AMS096EC3001B,174.0,BBB05,"MC,CSC",,R23MSMN03,BBB05_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
125,AAW024XJ6001B,ALW078C93001A,731.286845,BBB06,"CWN,SC,CSC",R23AWAX02,R23LWAC03,BBB06_2,521.286845,2022-06-06 16:47:17,2022-06-06 20:17:17
126,ATE096EI1002A,ANV132X2C057A,1218.478981,BBB09,"CWN,SC,CSC",R22TEAU01,R23NVAA10,BBB09_2,1008.478981,2022-06-07 00:54:28,2022-06-07 04:24:28
127,ABU084XU2001B,ANV132X2C057A,3402.245436,BBB10,"CWN,SC,CSC",R23BUB408,R23NVAA34,BBB10_5,3192.245436,2022-06-08 13:18:14,2022-06-08 16:48:14
