ALL_CAN_RUN_MODELS,CAN_RUN_MODELS,PROCESS_TIME,all_part_no,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","375.215546,357.546943",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN22,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1559,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","374.974869,357.317599",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN26,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1558,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-1
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","350.907162,334.383222",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN30,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1458,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","379.788410,361.904474",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN34,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1578,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-1
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","372.568098,355.024161",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN38,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1548,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","364.625755,347.455817",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN42,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1515,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-1
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","365.829140,348.602536",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXP10,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1520,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2WB TB
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","372.086744,354.565474",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN03,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1546,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-1
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","374.012160,356.400224",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN07,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1554,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
"ICONN-PLUS,RAPID","ICONN-PLUS,RAPID","367.995234,350.666629",A0803CB1212,62,129,N,6A008239,,PHISON,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R21NVXN11,1600,N,2150,PC51S2910L-00000-01970{OT-BIN22-60-SP},1091A06C41,A0803CB1212,uSD08AQV-C,,-1,0086A172,0086ANV210,1529,75.000000,ANV0086A1078A,MBGA578,"249.296707,261.615997",,N2B26-2
