wrto_route,wrto_oper,wrto_seq_num,wrto_opr_shrt_desc
BGA206,2150,7,PLASMA
BGA206,2090,8,POST D/A Q
BGA206,2200,9,W/B
BGA206,2210,10,3IP
BGA206,2250,11,PLASMA
BGA206,2230,12,M/D QUEUE
BGA206,2300,13,M/D
BGA206,2320,14,T/M
BGA206,6000,15,WTC2
BGA206,2330,16,PMC
BGA206,2405,17,PLASMA
BGA206,2410,18,S/P
BGA206,2430,19,F/S
BGA206,2440,20,O/S
BGA206,2450,21,L/S
BGA206,2460,22,F/V
BGA206,2470,23,4IP
BGA206,2480,24,PACK
BGA206,2490,25,SHIP
BGA209,2000,1,IQC
BGA209,2003,2,TPM
BGA209,2005,3,TAPING
BGA209,2010,4,LAPPING
BGA209,2020,5,A21 QUEUE
BGA209,2030,6,W/M
BGA209,2040,7,D/S
BGA209,2050,8,A31
BGA209,2056,9,AOI
BGA209,2059,10,AOIR
BGA209,2060,11,2IP
BGA209,2061,12,UV
BGA209,2070,13,D/A
BGA209,2080,14,D/A CURE
BGA209,2150,15,PLASMA
BGA209,2090,16,POST D/A Q
BGA209,2200,17,W/B
BGA209,2205,18,A41
BGA209,2210,19,3IP
BGA209,2250,20,PLASMA
BGA209,2230,21,M/D QUEUE
BGA209,2300,22,M/D
BGA209,2320,23,T/M
BGA209,2330,24,PMC
BGA209,2405,25,PLASMA
BGA209,2418,26,WTC
BGA209,2410,27,S/P
BGA209,2430,28,F/S
BGA209,2435,29,P/P
BGA209,2440,30,O/S
BGA209,2450,31,L/S
BGA209,2460,32,F/V
BGA209,2470,33,4IP
BGA209,2480,34,PACK
BGA209,2490,35,SHIP
BGA222,2000,1,IQC
BGA222,2003,2,TPM
BGA222,2005,3,TAPING
BGA222,2010,4,LAPPING
BGA222,2020,5,A21 QUEUE
BGA222,2030,6,W/M
BGA222,2040,7,D/S
BGA222,2050,8,A31
BGA222,2060,9,2IP
BGA222,2061,10,UV
BGA222,2070,11,D/A
BGA222,2080,12,D/A CURE
BGA222,2150,13,PLASMA
BGA222,2090,14,POST D/A Q
BGA222,2200,15,W/B
BGA222,2210,16,3IP
BGA222,2250,17,PLASMA
BGA222,2230,18,M/D QUEUE
BGA222,2300,19,M/D
BGA222,6000,20,WTC2
BGA222,2330,21,PMC
BGA222,2320,22,T/M
BGA222,2405,23,PLASMA
BGA222,2418,24,WTC
BGA222,2410,25,S/P
BGA222,2430,26,F/S
BGA222,2440,27,O/S
BGA222,2450,28,L/S
BGA222,2460,29,F/V
BGA222,2470,30,4IP
BGA222,2480,31,PACK
BGA222,2490,32,SHIP
BGA23,2000,1,IQC
BGA23,2003,2,TPM
BGA23,2005,3,TAPING
BGA23,2010,4,LAPPING
BGA23,2020,5,A21 QUEUE
BGA23,2030,6,W/M
BGA23,2040,7,D/S
BGA23,2050,8,A31
BGA23,2060,9,2IP
BGA23,2070,10,D/A
BGA23,2150,11,PLASMA
BGA23,2090,12,POST D/A Q
BGA23,2200,13,W/B
BGA23,2210,14,3IP
BGA23,2225,15,F/C
BGA23,2250,16,PLASMA
