part_no,qty1,qty3
A0801CB0526,2,2
A0801CB0525,11,11
A0801CB0527,1,1
A0801CB0528,3,3
A0801CB0530,21,21
A0801CB0529,12,12
A0801CB0532,10,10
A0803CB0410,8,8
A0803CB0458,23,23
A0801CB0533,20,20
A0803CB0500,3,3
A0801CB0537,9,9
A0801CB0534,2,2
A0801CB0535,40,40
A0801CB0539,1,1
A0801CB0540,5,5
A0801CB0538,1,1
A0803CB0543,1,1
A0803CB0536,1,1
A0801CB0542,1,1
A0801CB0545,19,19
A0801CB0544,3,3
A0801CB0546,45,45
A0801CB0548,6,6
A0801CB0549,20,20
A0801CB0550,1,1
A0801CB0552,48,48
A0801CB0553,8,8
A0801CB0554,8,8
A0801CB0556,24,24
A0803CB0559,1,1
A0801CB0551,24,24
A0801CB0557,5,5
A0801CB0558,5,5
A0801CB0561,56,56
A0801CB0562,11,11
A0801CB0560,1,1
A0801CB0565,1,1
A0803CB0407,21,21
A0803CB0541,2,2
A0801CB0566,27,27
A0803CB0323,15,17
A0801CB0567,13,13
A0803CB0567,1,1
A0801CB0568,30,30
A0801CB0569,23,23
A0801CB0570,15,15
A0801CB0571,7,7
A0803CB0570,22,23
A0803CB0571,1,1
A0803CB0573,14,15
A0801CB0572,30,30
A0803CB0373,16,16
A0803CB0572,26,26
A0803CB0547,11,11
A0801CB0652,5,5
A0801CB0575,1,1
A0801CB0574,9,9
A0803CB0576,20,20
A0803CB0285,2,2
A0801CB0563,17,17
A0801CB0648,5,5
A0803CB0581,6,6
A0803CB0580,2,2
A0803CB0578,2,2
A0803CB0579,2,2
A0801CB0582,5,5
A0803CB0574,1,1
A0803CB0583,2,2
A0803CB0584,7,7
A0803CB0587,2,2
A0803CB0577,2,2
A0801CB0588,1,1
A0801CB0589,1,1
A0801CB0586,5,5
A0801CB0585,5,5
A0803CB0589,1,1
A0801CB0722,30,30
A0801CB0592,6,6
A0801CB0593,1,1
A0803CB0595,14,13
A0801CB0594,1,1
A0801CB0596,1,1
A0801CB0597,1,1
A0801CB0598,6,6
A0801CB0599,55,55
A0801CB0699,4,4
A0801CB0590,46,46
A0801CB0600,6,6
A0801CB0602,36,36
A0803CB0501,29,29
A0803CB0488,23,23
A0803CB0606,2,2
A0801CB0607,1,1
A0801CB0603,8,8
A0801CB0604,7,7
A0803CB0614,3,3
A0803CB0608,2,2
A0803CB0609,1,1
A0801CB0610,4,4
A0803CB0610,1,1
A0801CB0513,4,4
A0803CB0516,40,40
A0801CB0605,7,7
A0801CB0613,1,1
A0803CB0611,6,6
A0803CB0615,1,1
A0801CB0617,1,1
A0801CB0618,20,20
A0801CB0619,12,12
A0803CB0530,30,30
A0803CB0566,51,52
A0801CB0620,2,2
A0801CB0621,2,2
A0803CB0701,12,12
A0801CB0622,31,31
A0801CB0625,3,3
A0803CB0486,2,2
A0803CB0623,1,1
A0803CB0626,6,7
A0803CB0628,1,1
A0803CB0627,6,6
A0801CB0630,12,12
A0801CB0629,7,7
A0801CB0628,1,1
A0803CB0515,40,40
A0803CB0618,1,1
A0803CB0631,0,0
A0803CB0634,22,22
A0803CB0633,2,2
A0803CB0632,8,8
A0803CB0635,19,21
A0803CB0475,20,20
A0803CB0561,36,36
A0803CB0535,34,34
A0801CB0646,5,5
A0801CB0638,4,4
A0803CB0639,4,4
A0801CB0641,15,15
A0801CB0640,4,4
A0801CB0642,4,4
A0803CB0620,2,2
A0801CB0643,138,138
A0801CB0644,89,89
A0801CB0645,78,78
A0801CB0647,6,6
A0801CB0650,5,5
A0803CB0549,31,37
A0803CB0551,13,13
A0801CB0653,18,18
A0801CB0657,4,4
A0801CB0656,5,5
A0801CB0655,31,31
A0801CB0654,8,8
A0801CB0651,5,5
A0801CB0659,1,1
A0801CB0660,67,67
A0801CB0661,4,4
A0803CB0664,7,8
A0803CB0668,1,1
A0801CB0658,3,3
A0801CB0662,3,3
A0801CB0663,3,3
A0801CB0665,1,1
A0801CB0666,6,6
A0801CB0667,4,4
A0801CB0669,4,4
A0801CB0670,3,3
A0801CB0671,45,45
A0803CB0678,2,2
A0803CB0681,2,2
A0801CB0673,1,1
A0801CB0677,6,6
A0801CB0679,7,7
A0801CB0672,3,3
A0801CB0675,3,3
A0803CB0546,21,21
A0803CB0619,15,15
A0803CB0666,14,14
A0801CB0676,3,3
A0801CB0680,4,4
A0801CB0682,45,45
A0801CB0683,1,1
A0801CB0684,1,1
A0803CB0640,3,3
A0801CB0686,7,7
A0803CB0687,1,1
A0801CB0688,2,2
A0801CB0689,3,3
A0801CB0690,3,3
A0801CB0691,3,3
A0803CB0693,1,1
A0801CB0692,11,11
A0803CB0692,59,58
A0803CB0624,13,13
A0803CB0671,90,93
A0801CB0695,1,1
A0801CB0696,1,1
A0801CB0698,3,3
A0801CB0700,20,20
A0801CB0704,1,1
A0801CB0702,20,20
A0803CB0706,2,2
A0803CB0707,1,1
A0803CB0708,1,1
A0803CB0704,1,1
A0801CB0709,1,1
A0801CB0710,10,10
A0801CB0713,10,10
A0801CB0716,11,11
A0801CB0714,2,2
A0801CB0715,8,8
A0801CB0718,10,10
A0803CB0711,3,4
A0803CB0712,8,8
A0803CB0271,1,1
A0803CB0492,16,17
A0801CB0720,112,112
A0801CB0719,21,21
A0803CB0713,24,24
A0803CB0717,0,0
A0801CB0785,1,1
A0801CB0724,21,21
A0801CB0725,18,18
A0803CB0726,2,2
A0803CB0653,1,1
A0803CB0622,14,14
A0801CB0728,35,35
A0801CB0729,13,13
A0801CB0730,30,30
A0801CB0731,32,32
A0801CB0732,1,1
A0801CB0733,1,1
A0801CB0734,10,10
A0803CB0739,12,12
A0803CB0735,9,9
A0803CB0694,1,1
A0801CB0741,6,6
A0801CB0740,9,9
A0801CB0738,27,27
A0801CB0737,1,1
A0801CB0736,25,25
A0803CB0727,2,2
A0803CB0682,1,1
A0801CB0743,1,1
A0801CB0742,8,8
A0801CB0744,15,15
A0801CB0745,20,20
A0803CB0743,1,1
A0801CB0746,20,20
A0801CB0747,57,57
A0801CB0748,76,76
A0801CB0751,4,4
A0801CB0750,3,3
A0801CB0752,1,1
A0803CB0718,2,2
A0803CB0747,36,36
A0803CB0757,6,6
A0801CB0754,9,9
A0801CB0755,42,42
A0801CB0756,25,25
A0801CB0762,25,25
A0801CB0764,1,1
A0801CB0763,14,14
A0801CB0761,11,11
A0801CB0760,3,3
A0801CB0759,28,28
A0801CB0768,3,3
A0801CB0766,1,1
A0801CB0767,1,1
A0803CB0765,1,1
A0803CB0715,3,3
A0803CB0770,3,3
A0801CB0769,7,7
A0801CB0771,1,1
A0801CB0772,3,3
A0801CB0773,30,30
A0803CB0697,5,5
A0803CB0779,40,43
A0801CB0774,3,3
A0801CB0775,30,30
A0801CB0776,21,21
A0801CB0777,8,8
A0801CB0781,3,3
A0801CB0782,1,1
A0803CB0545,13,13
A0803CB0499,13,13
A0803CB0722,0,0
A0803CB0512,13,13
A0803CB0511,13,13
A0803CB0644,101,101
A0803CB0605,1,1
A0803CB0643,53,59
A0803CB0720,85,90
A0803CB0645,57,57
A0803CB0783,37,37
A0803CB0784,34,34
A0803CB0785,69,69
A0801CB0786,11,11
A0803CB0782,18,18
A0801CB0788,30,30
A0803CB0788,19,29
A0803CB0787,2,2
A0803CB1293,12,12
A0801CB0002,1,0
A0801CB0003,0,0
A0801CB0004,0,0
A0801CB0005,6,6
A0801CB0006,0,0
A0801CB0007,0,0
A0801CB0008,1,0
A0801CB0009,0,0
A0801CB0010,0,0
A0801CB0011,0,0
A0801CB0012,0,0
A0801CB0013,0,0
A0801CB0014,0,0
A0801CB0015,0,0
A0801CB0016,0,0
A0801CB0017,0,0
A0801CB0018,0,0
A0801CB0019,0,0
A0801CB0020,0,0
A0801CB0021,6,0
A0801CB0022,0,0
A0801CB0025,0,0
A0801CB0026,0,0
A0801CB0027,0,0
A0801CB0029,5,5
A0801CB0030,0,0
A0801CB0031,0,0
A0801CB0033,0,0
A0801CB0036,0,0
A0801CB0038,6,0
A0801CB0039,0,0
A0801CB0040,0,0
A0801CB0042,0,0
A0801CB0049,4,0
A0801CB0051,5,5
A0801CB0055,30,30
A0801CB0068,0,0
A0801CB0076,0,0
A0801CB0077,0,0
A0801CB0079,0,0
A0801CB0080,0,0
A0801CB0081,0,0
A0801CB0082,0,0
A0801CB0084,0,0
A0801CB0087,4,4
A0801CB0088,0,0
A0801CB0090,0,0
A0801CB0091,5,0
A0801CB0092,0,0
A0801CB0093,0,0
A0801CB0094,0,0
A0801CB0095,0,0
A0801CB0096,0,0
A0801CB0097,0,0
A0801CB0098,15,0
A0801CB0099,3,3
A0801CB0100,0,0
A0801CB0101,0,0
A0801CB0102,2,0
A0801CB0103,2,0
A0801CB0104,2,0
A0801CB0105,0,0
A0801CB0106,16,0
A0801CB0107,63,0
A0801CB0108,0,0
A0801CB0109,0,0
A0801CB0110,20,20
A0801CB0111,0,0
A0801CB0112,0,0
A0801CB0113,4,4
A0803CB1085,25,25
A0801CB0114,0,0
A0801CB0115,1,1
A0801CB0116,0,0
A0801CB0117,0,0
A0801CB0118,8,8
A0801CB0119,0,0
A0801CB0120,0,0
A0801CB0121,0,0
A0801CB0122,0,0
A0801CB0123,0,0
A0801CB0124,2,2
A0801CB0125,0,0
A0801CB0126,0,0
A0801CB0127,0,0
A0801CB0128,0,0
A0801CB0129,0,0
A0801CB0131,0,0
A0801CB0132,0,0
A0801CB0133,0,0
A0801CB0134,0,0
A0801CB0135,0,0
A0801CB0136,0,0
A0801CB0137,0,0
A0801CB0138,0,0
A0801CB0139,0,0
A0801CB0140,0,0
A0801CB0141,0,0
A0801CB0142,9,9
A0801CB0143,0,0
A0801CB0144,0,0
A0801CB0145,3,3
A0801CB0146,1,1
A0801CB0147,0,0
A0801CB0161,3,3
A0801CB0162,21,21
A0801CB0163,5,5
A0801CB0166,0,0
A0801CB0175,73,74
A0801CB0182,1,1
A0801CB0192,10,0
A0801CB0202,72,72
A0801CB0206,5,5
A0801CB0207,30,30
A0801CB0208,34,34
A0801CB0209,15,15
A0801CB0210,3,3
A0801CB0212,3,3
A0801CB0213,3,3
A0801CB0214,10,10
A0801CB0215,19,19
A0801CB0216,9,9
A0801CB0217,5,5
A0801CB0218,2,2
A0801CB0219,12,12
A0801CB0220,15,15
A0801CB0221,12,12
A0801CB0233,21,21
A0801CB0234,3,3
A0801CB0235,3,3
A0801CB0236,13,13
A0801CB0237,10,10
A0801CB0238,5,5
A0801CB0239,2,2
A0801CB0240,28,28
A0801CB0243,3,3
A0801CB0245,2,2
A0801CB0246,3,3
A0801CB0247,2,2
A0801CB0248,50,50
A0801CB0255,23,23
A0801CB0264,9,9
A0801CB0268,8,8
A0801CB0271,15,15
A0801CB0276,8,8
A0801CB0286,13,13
A0801CB0301,66,66
A0801CB0302,5,5
A0801CB0319,18,18
A0801CB0333,1,1
A0801CB0339,10,10
A0801CB0351,42,42
A0801CB0358,3,3
A0801CB0373,15,15
A0801CB0379,1,1
A0801CB0380,1,1
A0801CB0381,2,2
A0801CB0382,2,2
A0801CB0383,2,2
A0801CB0385,1,1
A0801CB0386,1,1
A0801CB0387,1,1
A0801CB0388,3,3
