process_id,Oper,master_desc,detail_id,remark
0086A038,2250,Entity,E22500199,TEPLA
0086A038,2070,Lot Size,O20700198,1600
0086A038,2051,PTN No,R20510198,15
0086A038,2080,PTN No,R20800698,11
0086A038,2140,PTN no,R21400198,66
0086A038,2140,PTN no,R21400198,66
0086A038,2150,PTN no,R21500198,05
0086A038,2250,PTN no,R22500198,02
0086A038,2330,PTN no,R23300398,01
0086A038,2040,Support Entity,S20400199,Dual
0086A038,2040,Support Entity,S20400199,Dual
0086A038,2200,Support Entity,S22000102,
0086A038,2200,Support Entity,S22000103,FG085A-CD2911.5-06A
0086A096,2070,Entity,E20700199,DB-700
0086A096,2070,Entity,E20700199,DB-700
0086A096,2070,Entity,E20700199,DB-700
0086A096,2130,Entity,E21300199,ESEC-2100; DB-800
0086A096,2200,Entity (KNS),E22000298,Iconn
0086A096,2250,Entity,E22500199,E&R
0086A096,2070,Lot Size,O20700198,1600
0086A096,2010,Entity Code,R20100698,O
0086A096,2051,PTN No,R20510198,15
0086A096,2140,PTN no,R21400198,11
0086A096,2140,PTN no,R21400198,11
0086A096,2150,PTN no,R21500198,05
0086A096,2250,PTN no,R22500198,15
0086A096,2330,PTN no,R23300398,01
0086A096,2040,Support Entity,S20400102,
0086A096,2040,Support Entity,S20400102,
0086A096,2200,Support Entity,S22000102,
0086A096,2200,Support Entity,S22000103,SU-22061-263E12
0086A101,2070,Entity,E20700199,DB-700
0086A101,2070,Entity,E20700199,DB-700
0086A101,2070,Entity,E20700199,DB-700
0086A101,2130,Entity,E21300199,DB-800; DB-700
0086A101,2200,Entity (KNS),E22000298,Iconn
0086A101,2250,Entity,E22500199,E&R
0086A101,2070,Lot Size,O20700198,1600
0086A101,2010,Entity Code,R20100698,H
0086A101,2051,PTN No,R20510198,15
0086A101,2140,PTN no,R21400198,11
0086A101,2140,PTN no,R21400198,11
0086A101,2150,PTN no,R21500198,05
0086A101,2250,PTN no,R22500198,15
0086A101,2330,PTN no,R23300398,01
0086A101,2040,Support Entity,S20400102,
0086A101,2040,Support Entity,S20400102,
0086A101,2200,Support Entity,S22000102,
0086A101,2200,Support Entity,S22000103,SU-22061-263E12
0086A108,2070,Entity,E20700199,DB-700
0086A108,2070,Entity,E20700199,DB-700
0086A108,2070,Entity,E20700199,DB-700
0086A108,2130,Entity,E21300199,DB-700
0086A108,2200,Entity (KNS),E22000298,Ultra
0086A108,2250,Entity,E22500199,E&R
0086A108,2070,Lot Size,O20700198,1600
0086A108,2010,Entity Code,R20100698,O
0086A108,2051,PTN No,R20510198,15
0086A108,2140,PTN no,R21400198,11
0086A108,2140,PTN no,R21400198,11
0086A108,2150,PTN no,R21500198,05
0086A108,2250,PTN no,R22500198,15
0086A108,2330,PTN no,R23300398,01
0086A108,2040,Support Entity,S20400102,
0086A108,2040,Support Entity,S20400102,
0086A108,2200,Support Entity,S22000102,
0086A108,2200,Support Entity,S22000103,SU-22061-263E12
0086A121,2070,Entity,E20700199,DB-700
0086A121,2070,Entity,E20700199,DB-700
0086A121,2070,Entity,E20700199,DB-700
0086A121,2130,Entity,E21300199,DB-700
0086A121,2150,Entity,E21500199,MARCH_FAST
0086A121,2200,Entity (KNS),E22000298,Ultra; Iconn
0086A121,2250,Entity,E22500199,E&R
0086A121,2070,Lot Size,O20700198,1600
0086A121,2010,Entity Code,R20100698,N
0086A121,2051,PTN No,R20510198,15
0086A121,2140,PTN no,R21400198,11
0086A121,2140,PTN no,R21400198,11
0086A121,2150,PTN no,R21500198,05
0086A121,2250,PTN no,R22500198,15
0086A121,2330,PTN no,R23300398,01
0086A121,2040,Support Entity,S20400102,
0086A121,2040,Support Entity,S20400102,
0086A121,2200,Support Entity,S22000102,
0086A121,2200,Support Entity,S22000103,SU-22061-263E12
0086A128,2070,Entity,E20700199,ESEC-2100
0086A128,2070,Entity,E20700199,ESEC-2100
0086A128,2070,Entity,E20700199,ESEC-2100
0086A128,2130,Entity,E21300199,ESEC-2100; DB-800; DB-830
0086A128,2200,Entity (KNS),E22000298,Iconn;Iconn Plus;RAPID
0086A128,2250,Entity,E22500102,
0086A128,2070,Lot Size,O20700198,1600
0086A128,2051,PTN No,R20510198,15
0086A128,2080,PTN No,R20800698,11
0086A128,2140,PTN no,R21400198,66
0086A128,2140,PTN no,R21400198,66
0086A128,2150,PTN no,R21500198,05
0086A128,2250,PTN no,R22500198,02
0086A128,2330,PTN no,R23300398,01
0086A128,2040,Support Entity,S20400102,
0086A128,2040,Support Entity,S20400102,
0086A128,2200,Support Entity,S22000102,
0086A128,2200,Support Entity,S22000103,SU-22061-263E12
0086A132,2070,Entity,E20700199,DB700
0086A132,2070,Entity,E20700199,DB700
0086A132,2070,Entity,E20700199,DB700
0086A132,2130,Entity,E21300199,DB700
0086A132,2200,Entity (KNS),E22000298,Ultra
0086A132,2250,Entity,E22500101,
0086A132,2070,Lot Size,O20700198,1600
0086A132,2010,Entity Code,R20100698,N
0086A132,2051,PTN No,R20510198,15
0086A132,2140,PTN no,R21400198,11
0086A132,2140,PTN no,R21400198,11
0086A132,2150,PTN no,R21500198,05
0086A132,2250,PTN no,R22500198,15
0086A132,2330,PTN no,R23300398,01
0086A132,2040,Support Entity,S20400102,
0086A132,2040,Support Entity,S20400102,
0086A132,2200,Support Entity,S22000102,
