¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
2482,	AHQ0225H1001A       ,	2200,	RAPID       ,	20211122-B-AHQ0225H1001A-2200-Criteria  ,	20211122,	103358,
2483,	AAS084CC2010A       ,	2200,	MAXUM-PLUS  ,	20211123-A-AAS084CC2010A-2200-Criteria  ,	20211123,	90557,
2484,	AAS084CC2010A       ,	2200,	MAXUM       ,	20211123-A-AAS084CC2010A-2200-Criteria  ,	20211123,	90557,
2485,	AAS084CC2010A       ,	2200,	ICONN       ,	20211123-A-AAS084CC2010A-2200-Criteria  ,	20211123,	90557,
2486,	ABU084CC2004B       ,	2200,	UTC1000S    ,	20211122-D-ABU084CC2004B-2200-Criteria  ,	20211122,	112250,
2487,	ABU084CC2004B       ,	2200,	UTC2000     ,	20211122-D-ABU084CC2004B-2200-Criteria  ,	20211122,	112250,
2488,	ABU084CC2004B       ,	2200,	UTC3000     ,	20211122-D-ABU084CC2004B-2200-Criteria  ,	20211122,	112250,
2489,	ABU084CC2004B       ,	2200,	UTC5000S    ,	20211122-D-ABU084CC2004B-2200-Criteria  ,	20211122,	112250,
2490,	AAB008YQ2033A       ,	2200,	MAXUM       ,	AAB008YQ2033A-2200-Criteria             ,	20211122,	195854,
2491,	AAB008YQ2033A       ,	3200,	MAXUM       ,	AAB008YQ2033A-3200-Criteria             ,	20211122,	195854,
2492,	AYZ096EI1005A       ,	2200,	UTC1000S    ,	20211122-A-AYZ096EI1005A-2200-Criteria  ,	20211122,	215100,
2493,	AAB008YQ2032A       ,	2200,	MAXUM-PLUS  ,	20211123-B-AAB008YQ2032A-2200-Criteria  ,	20211123,	100213,
2494,	AAB008YQ2032A       ,	2200,	MAXUM       ,	20211123-B-AAB008YQ2032A-2200-Criteria  ,	20211123,	100213,
2495,	AAB008YQ2032A       ,	2200,	RAPID       ,	20211123-B-AAB008YQ2032A-2200-Criteria  ,	20211123,	100213,
2496,	ABU008YM2002A       ,	2200,	MAXUM-PLUS  ,	20211122-B-ABU008YM2002A-2200-Criteria  ,	20211122,	94921,
