CAN_RUN_MODELS,PROCESS_TIME,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
"UTC2000,UTC3000","2353.350026,1361.349967",18,132,N,DN012025,,QST,2200,0,N,Y,"Add queue time + -1979.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",P46UKT403,24000,Y,2070,QMA7981-HCAAY,1091A07C41,A0801CB0727,LGA12CBP,,-1,012DN020,012DNUK014,24000,-1829,AUK012DN2003A,BGA170,"611.893677,1057.773560",,
"UTC2000,UTC3000","2353.350026,1361.349967",18,132,N,DN012025,,QST,2200,0,N,Y,"Add queue time + 0.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",P46UKT304,24000,N,2080,QMA7981-HCAAY,1091A07C41,A0801CB0727,LGA12CBP,,-1,012DN020,012DNUK014,24000,150,AUK012DN2003A,BGA170,"611.893677,1057.773560",,
"UTC2000,UTC3000","204.643396,118.380724",18,132,N,DN012025,,QST,2200,0,N,Y,"Add queue time + 0.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",P46UKT305,24000,N,2080,QMA7981-HCAAY,1091A07C41,A0801CB0727,LGA12CBP,,-1,012DN020,012DNUK014,2087,150,AUK012DN2003A,BGA170,"611.893677,1057.773560",,
"UTC2000,UTC3000","2353.350026,1361.349967",18,132,N,DN012025,,QST,2200,0,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot finishes traversing the route,P46UKT402,24000,N,2090,QMA7981-HCAAY,1091A07C41,A0801CB0727,LGA12CBP,BB774,1,012DN020,012DNUK014,24000,0,AUK012DN2003A,BGA170,"611.893677,1057.773560",,BB774-1
UTC2000,1027.84994,35,257,N,EF096067,,ZJP,2200,0,N,Y,"Add queue time + -1959.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",R06YZAB21,2500,Y,2070,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2500,-1809,AYZ096EF2003A,BGA185,145.935699,,
UTC2000,204.336568,35,257,N,EF096067,,ZJP,2200,0,N,Y,"Add queue time + -1959.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",R06YZAB25,2500,Y,2070,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,497,-1809,AYZ096EF2003A,BGA185,145.935699,,
UTC2000,1027.84994,35,257,N,EF096067,,ZJP,2200,0,N,Y,"Add queue time + -1959.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",R06YZAB22,2500,Y,2070,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2500,-1809,AYZ096EF2003A,BGA185,145.935699,,
UTC2000,1027.84994,35,257,N,EF096067,,ZJP,2200,0,N,Y,"Add queue time + -1959.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",R06YZAB19,2500,Y,2070,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2500,-1809,AYZ096EF2003A,BGA185,145.935699,,
UTC2000,1027.84994,35,257,N,EF096067,,ZJP,2200,0,N,Y,"Add queue time + -1959.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",R06YZAB23,2500,Y,2070,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2500,-1809,AYZ096EF2003A,BGA185,145.935699,,
UTC2000,1027.84994,35,257,N,EF096067,,ZJP,2200,0,N,Y,"Add queue time + -1959.000000 for the reason : DA Queue Time||Pass the station(2080), add cure time : 0||Add cure time + 0.000000 for cure station : 2080||Add queue time + 120.000000 for(2080->2150)||Add queue time + 30.000000 for(2150->2200)||Lot finishes traversing the route",R06YZAB20,2500,Y,2070,P3T1GF40CBF-Z{YZ}{RYOWA},1091A07T21,A0801CB1087,FBGA-96UEF,,-1,096EF063,096EFYZ004,2500,-1809,AYZ096EF2003A,BGA185,145.935699,,
