product,pin_package,body_size,bd_id,route,process_id,bom_id,packing_id,gross_dies,
	048TVOK056               ,	TSOP1-48A2  ,	12*20               ,	AOK048TV1029A       ,	MCON68    ,	048TV269       ,	TV048272  ,	OKTV01A        ,	1029,
	000IAQR011               ,	WLCSP       ,	1.371*2.801*0.465   ,	                    ,	WL032     ,	000IA179       ,	IA000083  ,	QRIA09A        ,	16752,
	078EPRK003               ,	FBGA-78UEP  ,	9*11*1.2            ,	ARK078EP1001B       ,	BGA298    ,	078EP009       ,	EP078012  ,	RKEP01A        ,	,
	0445THQ010               ,	FPSTLGA44t6V,	12.3*9.6*0.650      ,	AHQ0445T2001C       ,	MBGA779   ,	0445T009       ,	5T044015  ,	HQ5TM1A        ,	23729,
	0442JHQ027               ,	FPSTLGA44YBV,	11.1*11.1*0.63      ,	AHQ0442J3005A       ,	MBGA639   ,	0442J027       ,	2J044033  ,	HQ2JM1A        ,	7161,
	063NWAW008               ,	VFBGA63BAU  ,	9*11*1.0            ,	AAW063NW4001A       ,	BGA161    ,	063NW086       ,	NW063097  ,	AWNW01A        ,	2310,
	000IABW109               ,	WLCSP       ,	0.8*0.8*0.547       ,	ENG                 ,	WL010     ,	000IA313       ,	IA000025  ,	BWIA46A        ,	44940,
	000IABW074               ,	WLCSP       ,	1.84*0.63*0.35      ,	                    ,	WL010     ,	000IA147       ,	IA000064  ,	BWIA34A        ,	22616,
	020YUNI043               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1005C       ,	QFNS139   ,	020YU006       ,	YU020611  ,	NIYU04A        ,	18051,
	008OKNI040               ,	FCQFN-08OK2D,	1*1.2*0.55          ,	ANI008OK2001A       ,	PACK171   ,	008OK001       ,	OK008601  ,	NIOK01A        ,	46407,
	020YUNI085               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1005C       ,	QFNS139   ,	020YU006       ,	YU020611  ,	NIYU04A        ,	18051,
	020YUNI159               ,	QFN-20YU2D  ,	2*3*0.55            ,	ANI020YU1005C       ,	QFNS139   ,	020YU006       ,	YU020611  ,	NIYU04A        ,	18051,
