pkg_type,process_id,version,detail_id,remark,
	T,	048TW514       ,	 G,	S22000102,	A0801CB1153(UTC)                        ,
	T,	048TW528       ,	 C,	S22000102,	A0801CB1154(UTC)                        ,
	T,	048TW528       ,	 C,	S22000102,	A0803CB1154(KNS)                        ,
	T,	132X2313       ,	 B,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132X2313       ,	 B,	S22000102,	A0803CB1295(KNS)                        ,
	T,	153XT097       ,	 A,	S22000102,	A0803CB1294(KNS)                        ,
	T,	132X2329       ,	 A,	S22000102,	A0801CB1176(UTC)                        ,
	T,	132X2329       ,	 A,	S22000102,	A0803CB1295(KNS)                        ,
	T,	036RP001       ,	 F,	S22000102,	A0801CB1314(UTC)                        ,
	T,	153XT137       ,	 D,	S22000102,	A0801CB1072(UTC)                        ,
	T,	153XT137       ,	 D,	S22000102,	A0803CB1294(KNS)                        ,
	T,	153XT137       ,	 D,	S32000102,	A0801CB1072(UTC)                        ,
	T,	153XT137       ,	 D,	S32000102,	A0803CB1294(KNS)                        ,
	T,	048XV001       ,	 F,	S22000102,	A0801CB0514(UTC)                        ,
	T,	008YQ125       ,	 J,	S22000102,	A0803CB1050(KNS)                        ,
	T,	008YQ125       ,	 J,	S32000102,	A0803CB1174(KNS)                        ,
	T,	056TH162       ,	 D,	S22000102,	A0801CB0493                             ,
	T,	391KJ002       ,	 I,	S22000102,	A0803CB1039(KNS)                        ,
	T,	391KJ002       ,	 I,	S32000102,	A0803CB1039(KNS)                        ,
	T,	391KJ002       ,	 I,	S34000102,	A0803CB1039(KNS)                        ,
	T,	096EF063       ,	 D,	S22000102,	A0801CB1087(UTC)                        ,
	T,	096EF063       ,	 D,	S22000102,	A0803CB1087(KNS)                        ,
	T,	063NW072       ,	 A,	S22000102,	A0801CB1232(UTC)                        ,
	T,	008YQ050       ,	 N,	S22000102,	A0803CB0859                             ,
	T,	008YQ050       ,	 N,	S32000102,	A0803CB0859(KNS)                        ,
	T,	060NR021       ,	 E,	S22000102,	A0801CB0724 (UTC)                       ,
	T,	060NR021       ,	 E,	S22000102,	A0803CB0724 (KNS)                       ,
	T,	008YM141       ,	 G,	S22000102,	A0803CB0832(KNS)                        ,
	T,	008Y6076       ,	 F,	S22000102,	A0803CB0913(KNS)                        ,
	T,	008YQ136       ,	 K,	S22000102,	A0803CB1050(KNS)                        ,
	T,	008YQ037       ,	 M,	S22000102,	A0803CB0883                             ,
	T,	024MA249       ,	 A,	S22000102,	A0801CB1057(UTC)                        ,
	T,	024MA249       ,	 A,	S22000102,	A0803CB1057(KNS)                        ,
	T,	054NB044       ,	 C,	S22000102,	A0801CB1193(UTC)                        ,
	T,	054NB044       ,	 C,	S22000102,	A0803CB1193(KNS)                        ,
	T,	008YM157       ,	 J,	S22000102,	A0803CB0918(KNS)                        ,
	T,	008YQ149       ,	 I,	S22000102,	A0803CB1050(KNS)                        ,
	T,	054NB026       ,	 R,	S22000102,	A0801CB0248                             ,
	T,	024MA230       ,	 E,	S22000102,	A0801CB1057                             ,
	T,	008YD132       ,	 A,	S22000102,	A0803CB1020(KNS)                        ,
	T,	024MA031       ,	 E,	S22000102,	A0801CB0533(KNS)                        ,
	T,	024MA031       ,	 E,	S22000102,	A0801CB0533(UTC)                        ,
	T,	054TN110       ,	 K,	S22000102,	A0801CB0891 (UTC)                       ,
	T,	054TN110       ,	 K,	S22000102,	A0803CB0808 (KNS)                       ,
	T,	054TS044       ,	 G,	S22000102,	A0801CB1027 (UTC)                       ,
	T,	008YD091       ,	 G,	S22000102,	A0803CB1034(KNS)                        ,
	T,	066TN089       ,	 H,	S22000102,	A0801CB0902 (UTC)                       ,
	T,	066TN089       ,	 H,	S22000102,	A0803CB0902 (KNS)                       ,
	T,	096EF048       ,	 H,	S22000102,	A0801CB1257(UTC)                        ,
	T,	024MA105       ,	 E,	S22000102,	A0801CB0373 (UTC)                       ,
	T,	060EM003       ,	 I,	S22000102,	A0801CB1260(UTC)                        ,
	T,	084UC178       ,	 J,	S22000102,	A0801CB1250(UTC)                        ,
	T,	084UC178       ,	 J,	S22000102,	A0803CB1250(KNS)                        ,
	T,	054NB025       ,	 M,	S22000102,	A0801CB0248                             ,
	T,	096EL021       ,	 J,	S22000102,	A0801CB1102(UTC)                        ,
	T,	048TW404       ,	 K,	S22000102,	A0801CB0850 (UTC)                       ,
	T,	048TW404       ,	 K,	S22000102,	A0803CB0850 (KNS)                       ,
	T,	048TW396       ,	 H,	S22000102,	A0801CB0864                             ,
	T,	008YM098       ,	 I,	S22000102,	A0803CB0832(KNS)                        ,
	T,	090NC079       ,	 J,	S22000102,	A0801CB0815                             ,
	T,	063NW055       ,	 D,	S22000102,	A0801CB1232(UTC)                        ,
	T,	063NW055       ,	 D,	S22000102,	A0803CB1255(KNS)                        ,
	T,	024MA218       ,	 F,	S22000102,	A0801CB1057(UTC)                        ,
	T,	048TW394       ,	 O,	S22000102,	A0801CB0850 (UTC)                       ,
	T,	048TW394       ,	 O,	S22000102,	A0803CB0850 (KNS)                       ,
	T,	008Y6094       ,	 D,	S22000102,	A0803CB0926(KNS)                        ,
