process_id,Oper,master_desc,detail_desc,detail_id,remark,
	0008WDAF001    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WFCB001    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WLAS001    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WPRT001    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WS201      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2880                                    ,
	0008WS201      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WS201      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WS201      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WS329      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	720                                     ,
	0008WS329      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	L                                       ,
	0008WS329      ,	2040,	Support Entity                          ,	Other                                             ,	S20400199,	Dual                                    ,
	0008WS329      ,	2040,	Support Entity                          ,	Other                                             ,	S20400199,	Dual                                    ,
	0008WS350      ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	2400                                    ,
	0008WS350      ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	0008WS350      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WS350      ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WSA7       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	360                                     ,
	0008WSA7       ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	L                                       ,
	0008WSA7       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WSA7       ,	2040,	Support Entity                          ,	Dual                                              ,	S20400102,	                                        ,
	0008WSMT001    ,	2010,	Entity Code                             ,	                                                  ,	R20100698,	Y                                       ,
	000IA003       ,	2022,	PTN No                                  ,	                                                  ,	O20220198,	12                                      ,
	000IA003       ,	2070,	Lot Size                                ,	                                                  ,	O20700198,	999999                                  ,
