CAN_RUN_MODELS,PROCESS_TIME,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","461.235194,422.142207,379.563208",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWB601,6000,N,2150,SPSUBZ32DX8C-Z-BG66-RFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,1494,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A31-2
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","250.684724,229.437398,206.295398",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWB901,6000,N,2150,SPSUBZ32DX8C-Z-BG66-RFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,812,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A32-3
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","405.664688,371.281700,333.832701",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWBP01,6000,N,2150,SPSUBZ32DX8C-Z-BG66-RFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,1314,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A31-4
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","889.436809,814.050668,731.942170",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWBX01,6000,N,2150,SPSUBZ32DX8C-Z-BG66-RFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,2881,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A10-3
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","329.100881,301.207224,270.826225",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWC601,6000,N,2150,SPSUBZ32DX8C-Z-BG66-RFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,1066,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A32-3
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","1840.001175,1684.047894,1514.187898",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWDK01,6000,N,2150,SPSUBZ32DX8C-Z-BG66-QFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,5960,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A31-2
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","1840.001175,1684.047894,1514.187898",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWDM01,6000,N,2150,SPSUBZ32DX8C-Z-BG66-QFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,5960,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A32-3
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","1852.041451,1695.067670,1524.096174",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWDP01,6000,N,2150,SPSUBZ32DX8C-Z-BG66-QFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,5999,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2B24-1
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","1422.604935,1302.028975,1170.700979",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWAZ02,6000,N,2150,SPSUBZ32DX8C-Z-BG66-QFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,4608,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A31-4
"UTC1000S,UTC2000,UTC3000,UTC5000S,MAXUM-PLUS,MAXUM,UTC1000S,UTC2000,UTC3000","1826.417273,1671.615325,1503.009329",44,74,N,EP078009,,MTI-S,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Add queue time + 60.000000 for(2150->2090)||Add queue time + 15.000000 for(2090->2200)||Lot finishes traversing the route,R07LWB701,6000,N,2150,SPSUBZ32DX8C-Z-BG66-RFG-200-X2-1{Ryowa},1091A06C21,"A0801CB1264,A0803CB1264",FBGA-78UEP,,-1,078EP001,078EPLW008,5916,75.000000,ALW078EP1001A,BGA206,"194.347702,212.345505,236.166199",,N2A17-4
