ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time,SETTING OPER
BB853,MAXUM,RUNNING,R07ASB708,2200,096ELAS001,AAS096EL1002A,22-02-16 14:38,22-02-15 19:05,EliteMT,FBGA-96UEL-3,2980,02/18/2022 MP,,,R07ASAJ01,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 14:38,2200
BB854,MAXUM,RUNNING,R07ASCI01,2200,008YQAS021,AAS008YQ2001B,22-02-16 13:40,22-02-16 07:57,EliteMT,DFN-08YQ2A,4320,02/19/2022 MP,1091G08PA4,,R07ASCI15,DFN-08YQ2A,EliteMT,AAS008YQ2001B,1091G08PA4,755.619,22-02-16 13:40,2200
BB855,MAXUM,RUNNING,R07ABG505,2200,008YQAB010,AAB008YQ2001B,22-02-16 10:50,22-02-16 06:36,WINBOND,DFN-08YQ2A,4320,02/20/2022 MP,1091A07T21,,R07ABG414,DFN-08YQ2A,WINBOND,AAB008YQ2001B,1091A07T21,1021.4778,22-02-16 10:50,2200
BB856,MAXUM,RUNNING,R07ASB808,2200,096ELAS001,AAS096EL1002A,22-02-16 09:35,22-02-15 23:50,EliteMT,FBGA-96UEL-3,1478,02/21/2022 MP,,,R07ASAH20,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 09:35,2200
BB857,MAXUM,RUNNING,R07ASB807,2200,096ELAS001,AAS096EL1002A,22-02-16 18:32,22-02-15 23:07,EliteMT,FBGA-96UEL-3,2960,02/22/2022 MP,,,R07ASAJ18,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 18:32,2200
BB858,MAXUM,ENG,,,,AAS008YQ2001B,22-02-16 07:37,22-02-16 07:37,,,,02/23/2022 MP,,,R07ASC217,FBGA-96UEJ,EliteMT,AAS096EI2001A,1091G08PA1,755.619,,2200
BB859,MAXUM,RUNNING,R07ASB512,2200,096ELAS001,AAS096EL1002A,22-02-16 20:30,22-02-16 01:21,EliteMT,FBGA-96UEL-3,2920,02/24/2022 MP,1091G08PA1,,R07ASAT01,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 20:30,2200
BB860,MAXUM,RUNNING,R07ASB707,2200,096ELAS001,AAS096EL1002A,22-02-16 15:29,22-02-15 20:03,EliteMT,FBGA-96UEL-3,2964,02/25/2022 MP,,,R07ASAH05,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 15:29,2200
BB861,MAXUM,RUNNING,R07ABEA14,2200,008YQAB112,AAB008YQ3012A,22-02-16 10:26,22-02-15 21:19,WINBOND,STDFN08YQ3AW,5600,02/26/2022 MP,1091A07T21,,R06ABCA14,STDFN08YQ3AW,WINBOND,AAB008YQ3012A,1091A07T21,426.6757,22-02-16 10:26,2200
BB862,MAXUM,RUNNING,R07ASB704,2200,096ELAS001,AAS096EL1002A,22-02-16 17:35,22-02-15 21:54,EliteMT,FBGA-96UEL-3,3000,02/27/2022 MP,,,R07ASAJ04,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 17:35,2200
BB863,MAXUM,RUNNING,R07ASB711,2200,096ELAS001,AAS096EL1002A,22-02-16 16:06,22-02-15 21:49,EliteMT,FBGA-96UEL-3,2786,02/28/2022 MP,,,R07ASAJ06,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 16:06,2200
BB864,MAXUM,RUNNING,R07ASB510,2200,096ELAS001,AAS096EL1002A,22-02-16 17:24,22-02-15 22:03,EliteMT,FBGA-96UEL-3,2950,,1091G08PA1,,R07ASAW01,FBGA-96UEL-3,EliteMT,AAS096EL1002A,1091G08PA1,152.4326,22-02-16 17:24,2200
BB865,MAXUM,RUNNING,R07ABH911,2200,008Y6AB024,AAB008Y62010A,22-02-16 13:50,22-02-16 06:13,WINBOND,DFN-08Y62D,8320,,1091A07T21,,R07ABH810,DFN-08Y62D,WINBOND,AAB008Y62010A,1091A07T21,1091.3781,22-02-16 13:50,2200
