wrto_route,wrto_oper,wrto_seq_num,wrto_opr_shrt_desc,wrto_prod_unt_1
BGA248,2300,19,M/D,EA
BGA248,6000,20,WTC2,EA
BGA248,2330,21,PMC,EA
BGA248,2320,22,T/M,EA
BGA248,2405,23,PLASMA,EA
BGA248,2410,24,S/P,EA
BGA248,2430,25,F/S,EA
BGA248,2440,26,O/S,EA
BGA248,2450,27,L/S,EA
BGA248,2460,28,F/V,EA
BGA248,2470,29,4IP,EA
BGA248,2480,30,PACK,EA
BGA248,2490,31,SHIP,EA
BGA25,2000,1,IQC,PCS
BGA25,2003,2,TPM,PCS
BGA25,2005,3,TAPING,PCS
BGA25,2010,4,LAPPING,PCS
BGA25,2020,5,A21 QUEUE,PCS
BGA25,2030,6,W/M,PCS
BGA25,2040,7,D/S,PCS
BGA25,2050,8,A31,EA
BGA25,2060,9,2IP,EA
BGA25,2070,10,D/A,EA
BGA25,2150,11,PLASMA,EA
BGA25,2090,12,POST D/A Q,EA
BGA25,2200,13,W/B,EA
BGA25,2205,14,A41,EA
BGA25,2210,15,3IP,EA
BGA25,2250,16,PLASMA,EA
BGA25,2230,17,M/D QUEUE,EA
BGA25,2300,18,M/D,EA
BGA25,2320,19,T/M,EA
BGA25,6000,20,WTC2,EA
BGA25,2330,21,PMC,EA
BGA25,2405,22,PLASMA,EA
BGA25,2410,23,S/P,EA
BGA25,2430,24,F/S,EA
BGA25,2435,25,P/P,EA
BGA25,2440,26,O/S,EA
BGA25,2450,27,L/S,EA
BGA25,2460,28,F/V,EA
BGA25,2470,29,4IP,EA
BGA25,2480,30,PACK,EA
BGA25,2490,31,SHIP,EA
BGA254,2000,1,IQC,PCS
BGA254,2003,2,TPM,PCS
BGA254,2005,3,TAPING,PCS
BGA254,2010,4,LAPPING,PCS
BGA254,2020,5,A21 QUEUE,PCS
BGA254,2030,6,W/M,PCS
BGA254,2040,7,D/S,PCS
BGA254,2050,8,A31,EA
BGA254,2060,9,2IP,EA
BGA254,2061,10,UV,EA
BGA254,2070,11,D/A,EA
BGA254,2080,12,D/A CURE,EA
BGA254,2150,13,PLASMA,EA
BGA254,2090,14,POST D/A Q,EA
BGA254,2200,15,W/B,EA
BGA254,2210,16,3IP,EA
BGA254,2250,17,PLASMA,EA
BGA254,2230,18,M/D QUEUE,EA
BGA254,2300,19,M/D,EA
BGA254,2320,20,T/M,EA
BGA254,6000,21,WTC2,EA
BGA254,2330,22,PMC,EA
BGA254,2405,23,PLASMA,EA
BGA254,2418,24,WTC,EA
BGA254,2410,25,S/P,EA
BGA254,2430,26,F/S,EA
BGA254,2435,27,P/P,EA
BGA254,2440,28,O/S,EA
BGA254,2450,29,L/S,EA
BGA254,2460,30,F/V,EA
BGA254,2470,31,4IP,EA
BGA254,2480,32,PACK,EA
BGA254,2490,33,SHIP,EA
BGA257,2000,1,IQC,PCS
BGA257,2003,2,TPM,PCS
BGA257,2005,3,TAPING,PCS
BGA257,2010,4,LAPPING,PCS
BGA257,2020,5,A21 QUEUE,PCS
BGA257,2030,6,W/M,PCS
BGA257,2040,7,D/S,PCS
BGA257,2050,8,A31,EA
BGA257,2060,9,2IP,EA
BGA257,2061,10,UV,EA
BGA257,2070,11,D/A,EA
BGA257,2080,12,D/A CURE,EA
BGA257,2150,13,PLASMA,EA
BGA257,2090,14,POST D/A Q,EA
BGA257,2200,15,W/B,EA
BGA257,2210,16,3IP,EA
BGA257,2250,17,PLASMA,EA
BGA257,2230,18,M/D QUEUE,EA
BGA257,2300,19,M/D,EA
BGA257,2320,20,T/M,EA
BGA257,6000,21,WTC2,EA
BGA257,2330,22,PMC,EA
BGA257,2405,23,PLASMA,EA
BGA257,2418,24,WTC,EA
BGA257,2410,25,S/P,EA
BGA257,2430,26,F/S,EA
BGA257,2435,27,P/P,EA
BGA257,2440,28,O/S,EA
BGA257,2450,29,L/S,EA
BGA257,2460,30,F/V,EA
BGA257,2470,31,4IP,EA
BGA257,2480,32,PACK,EA
BGA257,2490,33,SHIP,EA
BGA289,2000,1,IQC,PCS
BGA289,2003,2,TPM,PCS
BGA289,2005,3,TAPING,PCS
BGA289,2010,4,LAPPING,PCS
BGA289,2020,5,A21 QUEUE,PCS
BGA289,2030,6,W/M,PCS
BGA289,2040,7,D/S,PCS
BGA289,2050,8,A31,EA
BGA289,2060,9,2IP,EA
BGA289,2070,10,D/A,EA
BGA289,2080,11,D/A CURE,EA
BGA289,2150,12,PLASMA,EA
BGA289,2090,13,POST D/A Q,EA
BGA289,2200,14,W/B,EA
BGA289,2205,15,A41,EA
BGA289,2210,16,3IP,EA
BGA289,2250,17,PLASMA,EA
BGA289,2230,18,M/D QUEUE,EA
BGA289,2300,19,M/D,EA
BGA289,2320,20,T/M,EA
BGA289,6000,21,WTC2,EA
BGA289,2330,22,PMC,EA
BGA289,2430,23,F/S,EA
BGA289,2435,24,P/P,EA
