¦C¼Æ,pin_package,bd_id,product,da_out,da_act,wb_out,wb_act,cure_out,cure_act,
383,	FBGA-96UEL-3,	AAS096EL1001A       ,	096ELAS005               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
384,	STBGA162B4U ,	AAS162KE1008A       ,	162KEAS010               ,	33.24,	0.00,	0.00,	0.00,	0.00,	1.89,
385,	STDFN-08YD2E,	AVE008YD2001A       ,	008YDVE002               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
386,	STBGA48P4L  ,	AVE048XZ3002C       ,	048XZVE001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
387,	TSOP2-54CMES,	AVE054TS1001E       ,	054TSVE001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
388,	FBGA-96LEA  ,	ABU096EA1003A       ,	096EABU008               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
389,	DFN-08YD2A  ,	ABU008YD2001A       ,	008YDVG005               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
390,	VFBGA64B4U  ,	ABU064RK1007A       ,	064RKVG005               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
391,	SSBGA100D4U ,	ABU100X69001A       ,	100X6VG002               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
392,	TSOP1-48AM  ,	AMS048TW1050A       ,	048TWMS059               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
393,	FBGA-78UEP  ,	ALW078EP1001A       ,	078EPLW008               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
394,	DFN-08Y62D  ,	AAW008Y62018A       ,	008Y6AW036               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
395,	DFN-08Y62D  ,	AAW008Y62029A       ,	008Y6AW046               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
396,	MINIBGA24A4L,	AAW024MA6033B       ,	024MAAW060               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
397,	TSOP1-48/48M,	AAW048TP1043B       ,	048TPAW105               ,	26.14,	2.16,	18.65,	2.16,	0.00,	6.48,
398,	MBGA64J4U   ,	AAW064MR1002B       ,	064MRAW024               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
399,	MAT         ,	                    ,	0008WNV323               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
400,	MAT         ,	                    ,	0008WNV534               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
401,	uSD08AQV-C  ,	ANV0086A1078A       ,	0086ANV210               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
402,	STBGA132G4VT,	ANV132X2C047A       ,	132X2NV192               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
403,	FBGA-78UEP  ,	ARK078EP1001B       ,	078EPRK003               ,	121.20,	0.00,	8.97,	0.00,	0.00,	0.00,
404,	MAT         ,	                    ,	0008WAB212               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
405,	DFN-08YD2A  ,	AAB008YD2003A       ,	008YDAB014               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
406,	DFN-08YM2D  ,	AAB008YM2025A       ,	008YMAB047               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
407,	DFN-08YQ2A  ,	AAB008YQ2036A       ,	008YQAB087               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
408,	MBGA24A2L   ,	AAB024MA6017A       ,	024MAAB038               ,	0.00,	0.00,	47.86,	8.64,	0.00,	4.66,
409,	TSOP1-48AM  ,	AAB048TW2002A       ,	048TWAB016               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
410,	VFBGA60B4L  ,	AAB060NR1007A       ,	060NRAB016               ,	20.95,	0.00,	11.52,	0.00,	0.00,	11.48,
411,	FBGA-84UC(2),	ATE084CC2004A       ,	084UCTE001               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
412,	WLCSP       ,	                    ,	000IABW072               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
413,	WLCSP       ,	                    ,	000IABW107               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
414,	WLCSP-WAFER ,	                    ,	000IABW122               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
415,	WLCSP       ,	                    ,	000IABW123               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
416,	QFN-48AC1   ,	ABW048AC1006A       ,	048ACBW025               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
417,	QFN-72AF1   ,	ABW072AF1004B       ,	072AFBW022               ,	0.00,	0.00,	5.13,	0.00,	0.00,	0.00,
418,	MBGA24A3L   ,	AQW024MA6001A       ,	024MAQW006               ,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,
