CAN_RUN_MODELS,PROCESS_TIME,amount_of_tools,amount_of_wires,automotive,bom_id,code,customer,dest_oper,fcst_time,hold,is_sub_lot,log,lot_number,lot_size,mvin,oper,package_id,part_id,part_no,pin_package,prescheduled_machine,prescheduled_order,process_id,prod_id,qty,queue_time,recipe,route,uphs,urgent_code,wb_location
,,0,0,N,,ERROR_WB7,FIDELIX,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03GAA312,0,Y,2200,FMP0817CA0-H70I{ZDT},,,MBGA48J2U,,-1,,048MAGA037,4711,0.000000,AGA048MA7001A,BGA174,,,
,,0,0,N,,ERROR_WB7,FIDELIX,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03GAA310,0,Y,2200,FMP0817CA0-H70I{ZDT},,,MBGA48J2U,,-1,,048MAGA037,12184,0.000000,AGA048MA7001A,BGA174,,,
,,0,0,N,,ERROR_WB7,FIDELIX,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03GAA307,0,Y,2200,FMP0817CA0-H70I{ZDT},,,MBGA48J2U,,-1,,048MAGA037,12240,0.000000,AGA048MA7001A,BGA174,,,
,,0,0,N,,ERROR_WB7,FIDELIX,2200,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03GAA311,0,Y,2200,FMP0817CA0-H70I{ZDT},,,MBGA48J2U,,-1,,048MAGA037,12262,0.000000,AGA048MA7001A,BGA174,,,
,,0,0,N,,ERROR_WB7,FIDELIX,2230,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03GAA301,0,N,2230,FMP0817CA0-H70I{ZDT},,,MBGA48J2U,,-1,,048MAGA037,12267,0.000000,AGA048MA7001A,BGA174,,,
,,0,0,N,,ERROR_WB7,FIDELIX,2230,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03GAA305,0,N,2230,FMP0817CA0-H70I{ZDT},,,MBGA48J2U,,-1,,048MAGA037,12299,0.000000,AGA048MA7001A,BGA174,,,
,,0,0,N,,ERROR_WB7,FIDELIX,2230,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03GAA309,0,N,2230,FMP0817CA0-H70I{ZDT},,,MBGA48J2U,,-1,,048MAGA037,12220,0.000000,AGA048MA7001A,BGA174,,,
,,0,0,N,,ERROR_WB7,FIDELIX,2230,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03GAA306,0,N,2230,FMP0817CA0-H70I{ZDT},,,MBGA48J2U,,-1,,048MAGA037,12293,0.000000,AGA048MA7001A,BGA174,,,
,,0,0,N,,ERROR_WB7,FIDELIX,2230,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03GAA303,0,N,2230,FMP0817CA0-H70I{ZDT},,,MBGA48J2U,,-1,,048MAGA037,12266,0.000000,AGA048MA7001A,BGA174,,,
,,0,0,N,,ERROR_WB7,FIDELIX,2300,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03GAA302,0,Y,2300,FMP0817CA0-H70I{ZDT},,,MBGA48J2U,,-1,,048MAGA037,12263,0.000000,AGA048MA7001A,BGA174,,,
,,0,0,N,,ERROR_WB7,FIDELIX,2320,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03GAA204,0,N,2320,FMP0817CA0-H70I{ZDT},,,MBGA48J2U,,-1,,048MAGA037,12210,0.000000,AGA048MA7001A,BGA174,,,
,,0,0,N,,ERROR_WB7,FIDELIX,2320,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03GAA202,0,N,2320,FMP0817CA0-H70I{ZDT},,,MBGA48J2U,,-1,,048MAGA037,12270,0.000000,AGA048MA7001A,BGA174,,,
,,0,0,N,,ERROR_WB7,FIDELIX,2320,0.000000,N,Y,Add queue time + 0.000000 for the reason : DA Queue Time||Lot is not in WB - 7,R03GAA203,0,N,2320,FMP0817CA0-H70I{ZDT},,,MBGA48J2U,,-1,,048MAGA037,12320,0.000000,AGA048MA7001A,BGA174,,,
