ENTITY,MODEL,STATUS,LOT#,OPER,PRODUCT,BOND ID,OUTPLAN,IN TIME,CUST,PIN_PKG,WIP,PM,Lot Part Id,Lot Urgent Code,Last Wip Lot,Last Pin Package,Last Cust,Last bd id,Last Part ID,G.UPH,wip_outplan_time
BBU33,UTC5000S,QC,R05AWA105,2200,048TPAW086,AAW048TP1041B,,,MXIC,TSOP1-48/M2,720,,1091A08T41,,R04AWDA30,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 09:54
BBU34,UTC5000S,RUNNING,R05AWA136,2200,048TPAW086,AAW048TP1041B,22-02-08 08:39,22-02-08 00:12,MXIC,TSOP1-48/M2,720,,1091A08T41,,R04AWDA07,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 08:39
BBU35,UTC5000S,RUNNING,R05AWA423,2200,048TPAW086,AAW048TP1041B,22-02-08 11:21,22-02-08 02:54,MXIC,TSOP1-48/M2,720,,1091A08T41,,R04AWDA18,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 11:21
BBU36,UTC5000S,RUNNING,R06MSJD08,2200,096ECMS010,AMS096EC3001B,22-02-08 14:06,22-02-08 07:05,MTI,FBGA-96UEC,2061,,1091A06T21,,R06MSJ801,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,239.5637,22-02-08 14:06
BBU37,UTC5000S,RUNNING,R06MSJA06,2200,096ECMS010,AMS096EC3001B,22-02-08 17:16,22-02-07 22:20,MTI,FBGA-96UEC,5600,,1091A06T21,,R05MSJE05,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,239.5637,22-02-08 17:16
BBU38,UTC5000S,RUNNING,R05AWBE25,2200,048TPAW086,AAW048TP1041B,22-02-08 16:10,22-02-08 07:43,MXIC,TSOP1-48/M2,720,02/08/2022 SP,,,R05AWA107,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 16:10
BBU39,UTC5000S,RUNNING,R04RKAJ01,2200,078EPRK003,ARK078EP1001B,22-02-07 20:57,22-02-07 00:16,RK,FBGA-78UEP,5960,02/09/2022 SP,,,R04RKAV01,FBGA-78UEP,RK,ARK078EP1001B,1091A06C21,205.9084,22-02-07 20:57
BBU40,UTC5000S,RUNNING,R04RKAZ04,2200,078EPRK003,ARK078EP1001B,22-02-08 21:45,22-02-06 09:19,RK,FBGA-78UEP,5937,02/10/2022 SP,1091A06C21,P,R04RKB404,FBGA-78UEP,RK,ARK078EP1001B,1091A06C21,205.9084,22-02-08 21:45
BBU41,UTC5000S,WAIT-REPAIR,R05AWA141,2200,048TPAW086,AAW048TP1041B,22-02-08 07:40:26,22-02-08 06:51,MXIC,TSOP1-48/M2,720,02/11/2022 SP,1091A08T41,,R04AWDA10,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 07:40
BBU42,UTC5000S,RUNNING,R04AWDA45,2200,048TPAW086,AAW048TP1041B,22-02-08 06:51,22-02-07 22:24,MXIC,TSOP1-48/M2,720,02/12/2022 MP,1091A08T41,,R04AWCR20,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 06:51
BBU43,UTC5000S,RUNNING,R05AWA428,2200,048TPAW086,AAW048TP1041B,22-02-08 16:14,22-02-08 07:47,MXIC,TSOP1-48/M2,720,02/13/2022 MP,1091A08T41,,R04AWCJ42,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 16:14
BBU44,UTC5000S,RUNNING,R05AWA447,2200,048TPAW086,AAW048TP1041B,22-02-08 15:35,22-02-08 07:08,MXIC,TSOP1-48/M2,720,02/14/2022 MP,1091A08T41,,R05AWA142,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 15:35
BBU45,UTC5000S,RUNNING,R06MSJ906,2200,096ECMS010,AMS096EC3001B,22-02-08 17:17,22-02-07 22:29,MTI,FBGA-96UEC,5560,02/15/2022 MP,,,R05MSG101,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,239.5637,22-02-08 17:17
BBU46,UTC5000S,RUNNING,R05AWA123,2200,048TPAW086,AAW048TP1041B,22-02-08 10:27,22-02-08 02:00,MXIC,TSOP1-48/M2,720,02/16/2022 MP,1091A08T41,,R04AWDA04,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 10:27
BBU47,UTC5000S,RUNNING,R06MSJ705,2200,096ECMS010,AMS096EC3001B,22-02-08 18:04,22-02-07 23:09,MTI,FBGA-96UEC,5600,02/17/2022 MP,1091A06T21,,R05MSG106,FBGA-96UEC,MTI,AMS096EC3001B,1091A06T21,239.5637,22-02-08 18:04
BBU48,UTC5000S,RUNNING,R06MSG102,2200,096ECMS003,AMS096EC1002A,22-02-08 14:48,22-02-07 20:29,MTI,FBGA-96UEC,5558,02/18/2022 MP,,,R06MSE104,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,281.9699,22-02-08 14:48
BBU49,UTC5000S,WAIT-REPAIR,R05AWA431,2200,048TPAW086,AAW048TP1041B,22-02-08 12:29:22,22-02-08 07:39,MXIC,TSOP1-48/M2,720,02/19/2022 MP,1091A08T41,,R04AWDA34,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 12:29
BBU50,UTC5000S,RUNNING,R05AWA146,2200,048TPAW086,AAW048TP1041B,22-02-08 08:21,22-02-07 23:54,MXIC,TSOP1-48/M2,720,02/20/2022 MP,1091A08T41,,R04AWDA11,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 08:21
BBU51,UTC5000S,RUNNING,R05AWA418,2200,048TPAW086,AAW048TP1041B,22-02-08 09:53,22-02-08 01:26,MXIC,TSOP1-48/M2,720,02/21/2022 MP,1091A08T41,,R04AWDA28,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 09:53
BBU52,UTC5000S,RUNNING,R05AWBE31,2200,048TPAW086,AAW048TP1041B,22-02-08 14:53,22-02-08 06:26,MXIC,TSOP1-48/M2,720,02/22/2022 MP,,,R05AWA135,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 14:53
BBU53,UTC5000S,RUNNING,R05AWA422,2200,048TPAW086,AAW048TP1041B,22-02-08 10:51,22-02-08 02:24,MXIC,TSOP1-48/M2,720,02/23/2022 MP,1091A08T41,,R04AWDA35,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 10:51
BBU54,UTC5000S,RUNNING,R05AWA414,2200,048TPAW086,AAW048TP1041B,22-02-08 10:49,22-02-08 02:22,MXIC,TSOP1-48/M2,720,02/24/2022 MP,1091A08T41,,R04AWDA40,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 10:49
BBU55,UTC5000S,RUNNING,R05AWA129,2200,048TPAW086,AAW048TP1041B,22-02-08 07:05,22-02-07 22:38,MXIC,TSOP1-48/M2,720,02/25/2022 MP,1091A08T41,,R04ABE917,STBGA162B4U,WINBOND,AAB162KE1006A,1091A07T21,85.1953,22-02-08 07:05
BBU56,UTC5000S,RUNNING,R05AWA439,2200,048TPAW086,AAW048TP1041B,22-02-08 15:29,22-02-08 07:02,MXIC,TSOP1-48/M2,720,02/26/2022 MP,1091A08T41,,R05AWA128,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 15:29
BBU57,UTC5000S,RUNNING,R05AWBE13,2200,048TPAW086,AAW048TP1041B,22-02-08 16:18,22-02-08 07:51,MXIC,TSOP1-48/M2,720,02/27/2022 MP,,,R05AWA117,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 16:18
BBU58,UTC5000S,RUNNING,R05AWA434,2200,048TPAW086,AAW048TP1041B,22-02-08 09:27,22-02-08 01:00,MXIC,TSOP1-48/M2,720,02/28/2022 MP,1091A08T41,,R04AWCJ46,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 09:27
BBU59,UTC5000S,RUNNING,R05AWA413,2200,048TPAW086,AAW048TP1041B,22-02-08 13:56,22-02-08 05:29,MXIC,TSOP1-48/M2,720,02/27/2022 MP,1091A08T41,,R05AWA126,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 13:56
BBU60,UTC5000S,RUNNING,R05AWA406,2200,048TPAW086,AAW048TP1041B,22-02-08 08:25,22-02-07 23:58,MXIC,TSOP1-48/M2,720,02/27/2022 MP,1091A08T41,,R04AWDA08,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 08:25
BBU61,UTC5000S,RUNNING,R05AWA130,2200,048TPAW086,AAW048TP1041B,22-02-08 12:52,22-02-08 04:25,MXIC,TSOP1-48/M2,720,02/28/2022 MP,1091A08T41,,R04AWDA43,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 12:52
BBU62,UTC5000S,RUNNING,R05AWA420,2200,048TPAW086,AAW048TP1041B,22-02-08 14:57,22-02-08 06:30,MXIC,TSOP1-48/M2,720,02/28/2022 MP,1091A08T41,,R05AWA122,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 14:57
BBU63,UTC5000S,RUNNING,R05AWA108,2200,048TPAW086,AAW048TP1041B,22-02-08 15:10,22-02-08 06:43,MXIC,TSOP1-48/M2,720,,1091A08T41,,R04AWCJ21,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 15:10
BBU64,UTC5000S,RUNNING,R05AWA426,2200,048TPAW086,AAW048TP1041B,22-02-08 12:55,22-02-08 04:28,MXIC,TSOP1-48/M2,720,,1091A08T41,,R05AWA116,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 12:55
BBU65,UTC5000S,RUNNING,R05AWA437,2200,048TPAW086,AAW048TP1041B,22-02-08 15:46,22-02-08 07:19,MXIC,TSOP1-48/M2,720,,1091A08T41,,R05AWA137,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 15:46
BBU66,UTC5000S,RUNNING,R05AWA442,2200,048TPAW086,AAW048TP1041B,22-02-08 11:00,22-02-08 02:33,MXIC,TSOP1-48/M2,720,,1091A08T41,,R04AWDA21,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 11:00
BBU67,UTC5000S,RUNNING,R04AWCJ14,2200,048TPAW086,AAW048TP1041B,22-02-08 16:24,22-02-08 07:57,MXIC,TSOP1-48/M2,720,,1091A08T41,,R04AWCM06,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 16:24
BBU68,UTC5000S,IN-REPAIR,R05AWA410,2200,048TPAW086,AAW048TP1041B,22-02-08 11:07:54,22-02-08 07:54,MXIC,TSOP1-48/M2,720,,1091A08T41,,R04AWDA24,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 11:07
BBU69,UTC5000S,RUNNING,R05AWBE07,2200,048TPAW086,AAW048TP1041B,22-02-08 15:50,22-02-08 07:23,MXIC,TSOP1-48/M2,720,02/08/2022 MP,,,R05AWA140,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 15:50
BBU70,UTC5000S,RUNNING,R05AWA124,2200,048TPAW086,AAW048TP1041B,22-02-08 07:34,22-02-07 23:07,MXIC,TSOP1-48/M2,720,02/09/2022 MP,1091A08T41,,R04AWCJ44,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 07:34
BBU71,UTC5000S,RUNNING,R06MSEY03,2200,096ECMS003,AMS096EC1002A,22-02-08 23:51,22-02-08 05:32,MTI,FBGA-96UEC,5560,02/10/2022 MP,1091A06T41,,R06MSEU07,FBGA-96UEC,MTI,AMS096EC1002A,1091A06T41,281.9699,22-02-08 23:51
BBU72,UTC5000S,SETUP,R05AWA145,2200,048TPAW086,AAW048TP1041B,22-02-08 08:18,22-02-08 07:48,MXIC,TSOP1-48/M2,720,02/11/2022 MP,1091A08T41,,R04AWDA39,TSOP1-48/M2,MXIC,AAW048TP1041B,1091A08T41,85.1953,22-02-08 06:27
