el_key,el_customer,el_entity_model,el_entity_oper,el_entity_group,el_check_value,el_action
RESTRAINED-ENTITY,MTI,2100SD*,3130,BA2*,L84C J42 07A18B,R
RESTRAINED-ENTITY,MTI,2100SD*,3130,BA2*,L85C H61 0052D1,R
RESTRAINED-ENTITY,A-DATA,2100SD*,2130,BA2*,60074519{OQ0-XX},R
RESTRAINED-ENTITY,MagnaChip,DFD6362,2040,BS705,*,A
RESTRAINED-ENTITY,MagnaChip,DFD6362,2040,BS706,*,A
RESTRAINED-ENTITY,FIDELIX,*,2250,BN104,FMD8B16LCH-25EI,A
RESTRAINED-ENTITY,FIDELIX,*,2250,BN104,FMD8B16LCH-30EI{G760},A
RESTRAINED-ENTITY,FIDELIX,*,2250,BN104,FMD8B16LCH-30EE,A
RESTRAINED-ENTITY,FIDELIX,*,2250,BN104,FMD8B16LCH-30EE{D},A
RESTRAINED-ENTITY,FIDELIX,*,2250,BN104,FMD8C16LAH-25EI,A
RESTRAINED-ENTITY,FIDELIX,*,2250,BN104,FMD4A16LDH-25EE,A
RESTRAINED-ENTITY,FIDELIX,*,2250,BN104,FMD8B16LCH-30EI,A
RESTRAINED-ENTITY,FIDELIX,*,2250,BN104,FMD8C16LAH-25EE,A
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,KAG049*,R
RESTRAINED-ENTITY,EliteMT,AHD-320,2302,BZ201,EN25F20AW1HM{M0ZFA-EIA},R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,AAG050/DE/W25Q64JVZEIQ,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,AAG050/IG/W25Q64JVZEIM,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,AAG050/IG/W25Q64JVZEIM,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,AAG063*,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,KAG040*,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,RAG049*,R
RESTRAINED-ENTITY,EliteMT,AHD-320,2302,BZ201,EN25S40AR1HM{M0ZFA-EIA},R
RESTRAINED-ENTITY,EliteMT,AHD-320,2302,BZ201,EN25S20AR1HM{M0ZFA-2X3X0.45-EIA},R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,AAG050/DE/W25Q64JVZEIQ,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,AAG050/IG/W25Q64JVZEIM,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,AAG050/IG/W25Q64JVZEIM,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,KAG055*,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,AAG050/DE/W25Q64JVZEIQ,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,AAG050/DE/W25Q64JVZEIQ,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,AAG050/IG/W25Q64JVZEIM,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,AAG050/IG/W25Q64JVZEIM,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,AAG050/IG/W25Q64JVZEIM,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,KAG033*,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,KAG038*,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,KAG052*,R
RESTRAINED-ENTITY,WINBOND,AHD-320,2302,BZ201,KAG057*,R
RESTRAINED-ENTITY,FIDELIX,*,2250,BN101,FMD4A16LDH-25EE,A
RESTRAINED-ENTITY,FIDELIX,*,2250,BN101,FMD8B16LCH-30EE,A
RESTRAINED-ENTITY,FIDELIX,*,2250,BN101,FMD8B16LCH-30EE{D},A
RESTRAINED-ENTITY,FIDELIX,*,2250,BN101,FMD8B16LCH-30EI,A
RESTRAINED-ENTITY,FIDELIX,*,2250,BN101,FMD8C16LAH-25EE,A
RESTRAINED-ENTITY,FIDELIX,*,2250,BN101,FMD8B16LCH-25EI,A
RESTRAINED-ENTITY,FIDELIX,*,2250,BN101,FMD8C16LAH-25EI,A
RESTRAINED-ENTITY,FIDELIX,*,2250,BN101,FMD8B16LCH-30EI{G760},A
RESTRAINED-ENTITY,HIMAX,DFD6340,2040,BS605,*HX8019*,R
RESTRAINED-ENTITY,ICSI,2100SD*,3130,BA2*,IS46DR16128A*,R
RESTRAINED-ENTITY,ICSI,DB700*,3130,BA7*,IS46DR16128A*,R
RESTRAINED-ENTITY,CHIPLUS,*,2250,BN112,ACHPT0116HIP70,A
RESTRAINED-ENTITY,CHIPLUS,*,2250,BN107,ACHPT0116HIP70,R
RESTRAINED-ENTITY,ICSI,ILM-350WX,2003,AL401,IS49RL18320-125FBL-AS,R
RESTRAINED-ENTITY,ICSI,ILM-350WX,2003,AL401,IS49RL36160-XBLI-AS,R
RESTRAINED-ENTITY,ICSI,ILM-350WX,2003,AL401,IS49RL36160-107EBL-AS,R
RESTRAINED-ENTITY,ICSI,ILM-350WX,2003,AL402,IS49RL18320-125FBL-AS,R
RESTRAINED-ENTITY,ICSI,ILM-350WX,2003,AL401,IS49RL18320-XBL-AS,R
RESTRAINED-ENTITY,ICSI,ILM-350WX,2003,AL401,IS49RL36160-125BL-AS,R
RESTRAINED-ENTITY,ICSI,ILM-350WX,2003,AL402,IS49RL18320-XBL-AS,R
RESTRAINED-ENTITY,ICSI,ILM-350WX,2003,AL402,IS49RL36160-107EBL-AS,R
RESTRAINED-ENTITY,ICSI,ILM-350WX,2003,AL402,IS49RL36160-125BL-AS,R
RESTRAINED-ENTITY,ICSI,ILM-350WX,2003,AL402,IS49RL36160-XBLI-AS,R
RESTRAINED-ENTITY,PIECEMAKERS,2100SD*,2130,BA2*,PMS307*,R
RESTRAINED-ENTITY,MXIC,2100SD*,2130,BA2*,6732*{TV1},R
