pkg_type,process_id,version,detail_id,remark,
	T,	096EF048       ,	 H,	S22000102,	A0801CB1257(UTC)                        ,
	T,	008YQ168       ,	 G,	S22000102,	A0803CB0883(KNS)                        ,
	T,	054TN104       ,	 J,	S22000102,	A0801CB0549(UTC)                        ,
	T,	054TN104       ,	 J,	S22000102,	A0803CB0549(KNS)                        ,
	T,	008YQ149       ,	 I,	S22000102,	A0803CB1050(KNS)                        ,
	T,	054TN110       ,	 K,	S22000102,	A0801CB0891 (UTC)                       ,
	T,	054TN110       ,	 K,	S22000102,	A0803CB0808 (KNS)                       ,
	T,	008YQ188       ,	 C,	S22000102,	A0803CB1365(KNS)                        ,
	T,	024XJ085       ,	 A,	S22000102,	A0801CB1129(UTC)                        ,
	T,	024XJ085       ,	 A,	S32000102,	A0801CB1129(UTC)                        ,
	T,	024XW017       ,	 B,	S22000102,	A0801CB1190                             ,
	T,	024XW017       ,	 B,	S32000102,	A0801CB1190                             ,
	T,	084UC193       ,	 F,	S22000102,	A0801CB1250(UTC)                        ,
	T,	084UC193       ,	 F,	S22000102,	A0803CB1250(KNS)                        ,
	T,	060EM004       ,	 F,	S22000102,	A0801CB1291(UTC)                        ,
	T,	048TW404       ,	 K,	S22000102,	A0801CB0850 (UTC)                       ,
	T,	048TW404       ,	 K,	S22000102,	A0803CB0850 (KNS)                       ,
	T,	024MA061       ,	 F,	S22000102,	A0801CB0373 (UTC)                       ,
	T,	024MA061       ,	 F,	S22000102,	A0803CB0373 (KNS)                       ,
	T,	066TN073       ,	 J,	S22000102,	A0801CB0841 (UTC)                       ,
	T,	066TN073       ,	 J,	S22000102,	A0803CB0841 (KNS)                       ,
	T,	008YQ136       ,	 K,	S22000102,	A0803CB1050(KNS)                        ,
	T,	024MA105       ,	 E,	S22000102,	A0801CB0373 (UTC)                       ,
	T,	008YB031       ,	 J,	S22000102,	A0803CB0783 (KNS)                       ,
	T,	054NR004       ,	 D,	S22000102,	A0801CB0745(UTC)                        ,
	T,	054NR004       ,	 D,	S22000102,	A0803CB0745(KNS)                        ,
	T,	066TN089       ,	 H,	S22000102,	A0801CB0902 (UTC)                       ,
	T,	066TN089       ,	 H,	S22000102,	A0803CB0902 (KNS)                       ,
	T,	096EL081       ,	 C,	S22000102,	A0801CB1307                             ,
	T,	054NB025       ,	 M,	S22000102,	A0801CB0248                             ,
	T,	066TN079       ,	 H,	S22000102,	A0801CB0788 (UTC)                       ,
	T,	066TN079       ,	 H,	S22000102,	A0803CB0788 (KNS)                       ,
	T,	024MA251       ,	 A,	S22000102,	A0801CB1190(UTC)                        ,
	T,	024MA251       ,	 A,	S22000102,	A0803CB1190(KNS)                        ,
	T,	090MV068       ,	 C,	S22000102,	A0801CB0248(UTC)                        ,
	T,	090MV068       ,	 C,	S22000102,	A0803CB0248(KNS)                        ,
	T,	024XJ081       ,	 A,	S22000102,	A0801CB1057(UTC)                        ,
	T,	008YM164       ,	 A,	S22000102,	A0803CB0832(KNS)                        ,
	T,	008YQ085       ,	 H,	S22000102,	A0803CB0859 (KNS)                       ,
	T,	008YQ096       ,	 I,	S22000102,	A0803CB0974(KNS)                        ,
	T,	096EL013       ,	 K,	S22000102,	A0803CB1080(KNS)                        ,
	T,	096EL009       ,	 I,	S22000102,	A0803CB1080(KNS)                        ,
	T,	096EI008       ,	 N,	S22000102,	A0803CB1012 (KNS)                       ,
	T,	008FG023       ,	 A,	S22000102,	A0803CB1278(KNS)                        ,
	T,	084UC203       ,	 D,	S22000102,	A0803CB1017 (KNS)                       ,
	T,	084UC147       ,	 L,	S22000102,	A0803CB1017 (KNS)                       ,
	T,	008FG013       ,	 C,	S22000102,	A0803CB1278(KNS)                        ,
	T,	048MA324       ,	 E,	S22000102,	A0803CB1097(KNS)                        ,
	T,	008YQ133       ,	 F,	S22000102,	A0803CB1228(KNS)                        ,
	T,	090NC081       ,	 F,	S22000102,	A0803CB0622                             ,
	T,	008YQ132       ,	 L,	S22000102,	A0803CB1228(KNS)                        ,
	T,	008FG005       ,	 C,	S22000102,	A0803CB1278(KNS)                        ,
	T,	048TP094       ,	 K,	S22000102,	A0801CB1000 (UTC)                       ,
	T,	048TP094       ,	 K,	S22000102,	A0803CB1000 (KNS)                       ,
	T,	016D5012       ,	 O,	S22000102,	A0801CB0934(UTC)                        ,
	T,	016D5012       ,	 O,	S22000102,	A0803CB0934(KNS)                        ,
	T,	048TP073       ,	 F,	S22000102,	A0801CB0831(UTC)                        ,
	T,	024XJ052       ,	 I,	S22000102,	A0801CB0871(UTC)                        ,
	T,	024XJ052       ,	 I,	S22000102,	A0803CB0871(KNS)                        ,
	T,	024XJ052       ,	 I,	S32000102,	A0801CB0871(UTC)                        ,
	T,	024XJ052       ,	 I,	S32000102,	A0803CB0871(KNS)                        ,
	T,	064MR024       ,	 E,	S22000102,	A0801CB0746(UTC)                        ,
	T,	064MR020       ,	 F,	S22000102,	A0801CB0746(UTC)                        ,
	T,	064MR027       ,	 H,	S22000102,	A0801CB0746(UTC)                        ,
	T,	064MR027       ,	 H,	S22000102,	A0803CB0746(KNS)                        ,
	T,	024MA094       ,	 D,	S22000102,	A0801CB0700                             ,
	T,	024MA171       ,	 B,	S22000102,	A0801CB1133(UTC)                        ,
	T,	024MA037       ,	 E,	S22000102,	A0801CB0373                             ,
	T,	024MA129       ,	 E,	S22000102,	A0801CB0700                             ,
	T,	024MA046       ,	 D,	S22000102,	A0801CB0373                             ,
	T,	048TP076       ,	 H,	S22000102,	A0801CB0831 (UTC)                       ,
	T,	048TP076       ,	 H,	S22000102,	A0803CB0831 (KNS)                       ,
	T,	048TP074       ,	 I,	S22000102,	A0801CB0831 (UTC)                       ,
	T,	048TP074       ,	 I,	S22000102,	A0803CB0831 (KNS)                       ,
	T,	024MA084       ,	 C,	S22000102,	A0801CB0373                             ,
	T,	024MA057       ,	 C,	S22000102,	A0801CB0373                             ,
	T,	064MR023       ,	 H,	S22000102,	A0801CB0746(UTC)                        ,
	T,	064MR023       ,	 H,	S22000102,	A0803CB0746(KNS)                        ,
	T,	052XY004       ,	 C,	S22000102,	A0801CB0572(UTC)                        ,
	T,	024XJ049       ,	 N,	S22000102,	A0801CB0871(UTC)                        ,
	T,	024XJ049       ,	 N,	S22000102,	A0803CB0871(KNS)                        ,
	T,	024XJ049       ,	 N,	S32000102,	A0801CB0871(UTC)                        ,
	T,	024XJ049       ,	 N,	S32000102,	A0803CB0871(KNS)                        ,
	T,	048TP090ENG    ,	 F,	S22000102,	A0801CB1173(UTC)                        ,
	T,	024XJ053       ,	 D,	S22000102,	A0801CB0533                             ,
	T,	024XJ053       ,	 D,	S32000102,	A0801CB0533(UTC)                        ,
	T,	008Y6091       ,	 G,	S22000102,	A0803CB0926(KNS)                        ,
	T,	008Y6087       ,	 G,	S22000102,	A0803CB0926(KNS)                        ,
	T,	024MA045       ,	 B,	S22000102,	A0801CB0700(UTC)                        ,
	T,	024MA045       ,	 B,	S22000102,	A0803CB0700(KNS)                        ,
	T,	024MA091       ,	 F,	S22000102,	A0801CB0533                             ,
	T,	084UC028       ,	 N,	S22000102,	A0801CB0641                             ,
	T,	084UC088       ,	 K,	S22000102,	A0801CB0660(UTC)                        ,
	T,	084UC088       ,	 K,	S22000102,	A0803CB0660(KNS)                        ,
	T,	086TA127       ,	 E,	S22000102,	A0801CB0462(UTC)                        ,
	T,	096EA004       ,	 I,	S22000102,	A0801CB1021                             ,
	T,	060U9005       ,	 I,	S22000102,	A0801CB0791                             ,
	T,	048MA354       ,	 C,	S22000102,	A0801CB0248                             ,
