,Unnamed: 0,bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time,start_time_trans,end_time_trans,CR,start_time_adj,end_time_adj
74,74,AMS096EC3001B,AAB162KE1006A,1404.0,BB730,MC,R14MSCJ03,R14ABD203,BB730_1,1320.0,2022-04-03 06:05:00,2022-04-03 07:29:00,7521.8,2022-04-03 06:05:00,2022-04-03 07:29:00
75,75,ACD084CC2004B,ANV132X2C080A,601.0,BB733,MC,R14CDA804,R12NVMU01,BB733_1,517.0,2022-04-02 16:42:00,2022-04-02 18:06:00,7521.08,2022-04-02 16:42:00,2022-04-02 18:06:00
76,76,ACD054MF2001A,AAB162KE1006A,1771.937492,BB734,"CWN,SC",R14CDA407,R14ABK509,BB734_2,1651.937492,2022-04-03 11:36:56,2022-04-03 13:36:56,,2022-04-03 11:36:56,2022-04-03 13:36:56
77,77,ACD096EL1002A,AAB096EL1003A,-377.0,BB736,MC,R14CDAE05,R14ABDJ07,BB736_1,-461.0,2022-04-02 00:24:00,2022-04-02 01:48:00,7521.269999999999,2022-04-02 00:24:00,2022-04-02 01:48:00
78,78,AAB054TN1005A,AAB162KE1006A,2098.392603,BB746,"CWN,SC",R14ABAC48,R14ABK501,BB746_4,1978.392603,2022-04-03 17:03:23,2022-04-03 19:03:23,,2022-04-03 17:03:23,2022-04-03 19:03:23
79,79,ACD084CC2004B,AAB096EL1003A,204.0,BB758,MC,R14CDAA04,R13ABN407,BB758_1,120.0,2022-04-02 10:05:00,2022-04-02 11:29:00,7521.269999999999,2022-04-02 10:05:00,2022-04-02 11:29:00
80,80,ANV153XT9078A,ANV132X2C059A,1121.261343,BB760,"CWN,SC",R09NVJM13,R14NVP211,BB760_2,1001.261343,2022-04-03 00:46:15,2022-04-03 02:46:15,7521.08,2022-04-03 00:46:15,2022-04-03 02:46:15
81,81,AAB024MAA019A,AMS078C93001B,84.0,BB762,MC,,R13MSEV05,BB762_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7521.809999999999,2022-04-02 08:05:00,2022-04-02 09:29:00
82,82,ACD054MF2001A,AAB162KE1006A,597.0,BB765,MC,R14CDA406,R14ABD702,BB765_1,513.0,2022-04-02 16:38:00,2022-04-02 18:02:00,7537.78,2022-04-02 16:38:00,2022-04-02 18:02:00
83,83,ACD054MF2001A,AYZ084CC2001A,492.0,BB766,MC,R14CDA403,R13YZAD02,BB766_1,408.0,2022-04-02 14:53:00,2022-04-02 16:17:00,7521.36,2022-04-02 14:53:00,2022-04-02 16:17:00
84,84,ACD096EL1002A,AAW024XJ6010B,-198.0,BB770,"CWN,SC",R14CDAE04,R14AWAH03,BB770_1,-318.0,2022-04-02 02:47:00,2022-04-02 04:47:00,7522.99,2022-04-02 02:47:00,2022-04-02 04:47:00
85,85,AAW024XJ6010B,AAB162KE1006A,1945.166229,BB770,"CWN,SC",R14AWAV02,R14ABK503,BB770_5,1825.166229,2022-04-03 14:30:09,2022-04-03 16:30:09,,2022-04-03 14:30:09,2022-04-03 16:30:09
86,86,ACD096EL1002A,AAB096EL1003A,45.0,BB772,MC,R14CDAE06,R14ABDJ08,BB772_1,-39.0,2022-04-02 07:26:00,2022-04-02 08:50:00,7521.269999999999,2022-04-02 07:26:00,2022-04-02 08:50:00
87,87,ACD096EL1002A,AMS078C93001B,-7.0,BB777,MC,R14CDAE03,R13MSEW06,BB777_1,-91.0,2022-04-02 06:34:00,2022-04-02 07:58:00,7521.809999999999,2022-04-02 06:34:00,2022-04-02 07:58:00
88,88,AAB054TN1005A,AAB162KE1006A,1728.628361,BB786,"CWN,SC",R14ABAC37,R14ABD301,BB786_3,1608.628361,2022-04-03 10:53:37,2022-04-03 12:53:37,7537.78,2022-04-03 10:53:37,2022-04-03 12:53:37
89,89,ABU078EA1001A,AGA134KM1001A,84.0,BB790,MC,,R14GAC103,BB790_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7521.08,2022-04-02 08:05:00,2022-04-02 09:29:00
90,90,AMS096EC3001B,ACD054TN1001A,84.0,BB791,MC,,R14CDAU02,BB791_1,0.0,2022-04-02 08:05:00,2022-04-02 09:29:00,7558.39,2022-04-02 08:05:00,2022-04-02 09:29:00
91,91,AAS162KE1008A,AAW008Y62010C,204.0,BB802,MC,R13ASC803,R14AWAK01,BB802_1,120.0,2022-04-02 10:05:00,2022-04-02 11:29:00,7646.39,2022-04-02 10:05:00,2022-04-02 11:29:00
92,92,AAS162KE1008A,AAS096EL1016A,497.0,BB804,MC,R13ASC806,R14ASBB02,BB804_1,413.0,2022-04-02 14:58:00,2022-04-02 16:22:00,7541.07,2022-04-02 14:58:00,2022-04-02 16:22:00
