route,wlot_lot_number,wlot_crt_dat_al_1,pin_package,wlot_prod,wlot_qty_1,wlot_qty_2,wlot_oper,wlot_hold,wlot_mvin_perfmd,bd_id,urgent_code,sub_lot,wb_location,automotive,package_id,CR,super_hot_run_code,last_WB_entity,wlot_last_trans,WB_move_in_entity
BGA170,P46UKT402,QST,LGA12CBP,012DNUK014,24000,0,2090,N,N,AUK012DN2003A,,4,BB774-1,,QMA7981-HCAAY,72.01,N,DA,2022/2/8 00:28,
BGA170,P46UKT103,QST,LGA12CBP,012DNUK014,24000,0,2200,N,Y,AUK012DN2003A,,5,,,QMA7981-HCAAY,72.2,N,DA,2022/2/6 19:20,BBB29
BGA170,P46UKT302,QST,LGA12CBP,012DNUK014,24000,0,2200,N,Y,AUK012DN2003A,,5,,,QMA7981-HCAAY,72.2,N,DA,2022/2/7 13:07,BB233
BGA170,P46UKT104,QST,LGA12CBP,012DNUK014,24000,0,2200,N,Y,AUK012DN2003A,,5,,,QMA7981-HCAAY,72.2,N,DA,2022/2/7 05:16,BBB16
BGA170,P46UKT303,QST,LGA12CBP,012DNUK014,24000,0,2200,N,Y,AUK012DN2003A,,5,,,QMA7981-HCAAY,72.2,N,DA,2022/2/8 05:43,BB216
BGA170,P46UKT401,QST,LGA12CBP,012DNUK014,24000,0,2200,N,Y,AUK012DN2003A,,4,,,QMA7981-HCAAY,72.01,N,DA,2022/2/7 22:58,BB772
BGA170,P46UKT102,QST,LGA12CBP,012DNUK014,23926,0,2200,N,Y,AUK012DN2003A,,5,,,QMA7981-HCAAY,72.2,N,DA,2022/2/6 11:51,BB774
BGA170,P46UKT202,QST,LGA12CBP,012DNUK014,24000,0,2250,N,N,AUK012DN2003A,,4,,,QMA7981-HCAAY,73.75,N,BB233,2022/2/6 21:29,
BGA170,P46UKT203,QST,LGA12CBP,012DNUK014,24000,0,2250,N,N,AUK012DN2003A,,4,,,QMA7981-HCAAY,73.75,N,BB772,2022/2/7 22:43,
BGA170,P46UKT101,QST,LGA12CBP,012DNUK014,24000,0,2250,N,N,AUK012DN2003A,,5,,,QMA7981-HCAAY,73.75,N,BB216,2022/2/7 08:54,
BGA170,P46UKT105,QST,LGA12CBP,012DNUK014,1763,0,2250,N,N,AUK012DN2003A,,5,,,QMA7981-HCAAY,73.75,N,BB233,2022/2/7 11:44,
BGA170,P46UKT204,QST,LGA12CBP,012DNUK014,11960,0,2250,N,N,AUK012DN2003A,,4,,,QMA7981-HCAAY,73.75,N,BB233,2022/2/7 11:31,
BGA170,P46UKT201,QST,LGA12CBP,012DNUK014,24000,0,2250,N,N,AUK012DN2003A,,4,,,QMA7981-HCAAY,73.75,N,BBB16,2022/2/7 14:56,
BGA170,P46UKT301,QST,LGA12CBP,012DNUK014,24000,0,2250,N,N,AUK012DN2003A,,5,,,QMA7981-HCAAY,73.75,N,BB216,2022/2/8 06:35,
BGA174,R03GAA304,FIDELIX,MBGA48J2U,048MAGA037,12293,0,2200,N,Y,AGA048MA7001A,,12,,,FMP0817CA0-H70I{ZDT},68.33,N,DA,2022/2/6 11:58,BB805
