¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
494,	AAW048TP1042C       ,	2200,	UTC2000     ,	AAW048TP1042C-2200-Criteria             ,	20210227,	171538,
495,	ALW078EP1001A       ,	2200,	UTC3000     ,	20220216-B-ALW078EP1001A-2200-Criteria  ,	20220216,	173246,
496,	ALW078EP1001A       ,	2200,	UTC5000S    ,	20220216-B-ALW078EP1001A-2200-Criteria  ,	20220216,	173246,
497,	ALW078EP1001A       ,	2200,	MAXUM-PLUS  ,	20220216-B-ALW078EP1001A-2200-Criteria  ,	20220216,	173246,
498,	ALW078EP1001A       ,	2200,	MAXUM       ,	20220216-B-ALW078EP1001A-2200-Criteria  ,	20220216,	173246,
499,	ARK078EP1001B       ,	2200,	UTC1000S    ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
500,	ARK078EP1001B       ,	2200,	UTC2000     ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
501,	ARK078EP1001B       ,	2200,	UTC3000     ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
502,	ARK078EP1001B       ,	2200,	UTC5000S    ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
503,	ARK078EP1001B       ,	2200,	MAXUM-PLUS  ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
504,	ARK078EP1001B       ,	2200,	MAXUM       ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
505,	ARK078EP1001B       ,	2200,	ICONN       ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
506,	ASS153XT9001A       ,	2200,	UTC2000     ,	ASS153XT9001A-2200-Criteria             ,	20210228,	64642,
507,	ARK078EP1001B       ,	2200,	ICONN-PLUS  ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
508,	ARK078EP1001B       ,	2200,	RAPID       ,	20220213-A-ARK078EP1001B-2200-Criteria  ,	20220213,	94816,
509,	AAW024MA6008A       ,	2200,	UTC1000S    ,	20220213-A-AAW024MA6008A-2200-Criteria  ,	20220213,	103342,
510,	AAW024MA6008A       ,	2200,	UTC2000     ,	20220213-A-AAW024MA6008A-2200-Criteria  ,	20220213,	103342,
511,	AHQ0225N1001A       ,	2200,	ICONN       ,	AHQ0225N1001A-2200-Criteria             ,	20220213,	120502,
512,	ANV0086A1003A       ,	2200,	MAXUM-PLUS  ,	ANV0086A1003A-2200-Criteria             ,	20210228,	181936,
513,	ANV0086A1003A       ,	2200,	MAXUM       ,	ANV0086A1003A-2200-Criteria             ,	20210228,	181936,
514,	ANI010YK3004A       ,	2200,	MAXUM       ,	20220213-A-ANI010YK3004A-2200-Criteria  ,	20220213,	201609,
515,	AAS162KE1014A       ,	2200,	MAXUM       ,	20220214-B-AAS162KE1014A-2200-Criteria  ,	20220214,	152316,
516,	ABU008YM2002A       ,	2200,	MAXUM-PLUS  ,	20220213-A-ABU008YM2002A-2200-Criteria  ,	20220213,	235527,
517,	ABU008YM2002A       ,	2200,	MAXUM       ,	20220213-A-ABU008YM2002A-2200-Criteria  ,	20220213,	235527,
518,	ABU008YM2002A       ,	2200,	ICONN-PLUS  ,	20220213-A-ABU008YM2002A-2200-Criteria  ,	20220213,	235527,
519,	AAS162KE1016A       ,	2200,	MAXUM       ,	20220214-B-AAS162KE1016A-2200-Criteria  ,	20220214,	150922,
520,	ANI020YU1001M       ,	2200,	ICONN       ,	20220214-A-ANI020YU1001M-2200-Criteria  ,	20220214,	43844,
521,	ANI020YU1001M       ,	2200,	RAPID       ,	20220214-A-ANI020YU1001M-2200-Criteria  ,	20220214,	43844,
522,	AAW008YM1012A       ,	2200,	MAXUM-PLUS  ,	20220214-A-AAW008YM1012A-2200-Criteria  ,	20220214,	62001,
523,	AAW008YM1012A       ,	2200,	MAXUM       ,	20220214-A-AAW008YM1012A-2200-Criteria  ,	20220214,	62001,
524,	AAW008YM1012A       ,	2200,	RAPID       ,	20220214-A-AAW008YM1012A-2200-Criteria  ,	20220214,	62001,
525,	ABU008YD2008A       ,	2200,	MAXUM       ,	ABU008YD2008A-2200-Criteria             ,	20220214,	92440,
526,	AAB008YM2018A       ,	2200,	MAXUM-PLUS  ,	AAB008YM2018A-2200-Criteria             ,	20220214,	92443,
527,	AAB008YM2018A       ,	2200,	MAXUM       ,	AAB008YM2018A-2200-Criteria             ,	20220214,	92443,
528,	AAB008YM2018A       ,	2200,	ICONN       ,	AAB008YM2018A-2200-Criteria             ,	20220214,	92443,
529,	AAB008YM2018A       ,	2200,	ICONN-PLUS  ,	AAB008YM2018A-2200-Criteria             ,	20220214,	92443,
530,	AAB008YM2018A       ,	2200,	RAPID       ,	AAB008YM2018A-2200-Criteria             ,	20220214,	92443,
531,	ACR137M82001B       ,	2200,	UTC1000S    ,	20220214-B-ACR137M82001B-2200-Criteria  ,	20220214,	170522,
532,	AAB008YD2005A       ,	2200,	MAXUM       ,	AAB008YD2005A-2200-Criteria             ,	20220214,	95057,
533,	AAB008YD2005A       ,	2200,	RAPID       ,	AAB008YD2005A-2200-Criteria             ,	20220214,	95057,
534,	AAB008YQ2002A       ,	2200,	MAXUM-PLUS  ,	AAB008YQ2002A-2200-Criteria             ,	20220214,	95059,
535,	AAB008YQ2002A       ,	2200,	MAXUM       ,	AAB008YQ2002A-2200-Criteria             ,	20220214,	95059,
536,	AAS008FG1003A       ,	2200,	MAXUM       ,	AAS008FG1003A-2200-Criteria             ,	20220214,	95101,
537,	ABU008YD2001A       ,	2200,	MAXUM-PLUS  ,	ABU008YD2001A-2200-Criteria             ,	20220214,	102216,
538,	ABU008YD2001A       ,	2200,	MAXUM       ,	ABU008YD2001A-2200-Criteria             ,	20220214,	102216,
539,	ABU008YD2001A       ,	2200,	ICONN       ,	ABU008YD2001A-2200-Criteria             ,	20220214,	102216,
540,	AAW008Y62016A       ,	2200,	MAXUM-PLUS  ,	AAW008Y62016A-2200-Criteria             ,	20220214,	102220,
541,	AAW008Y62016A       ,	2200,	MAXUM       ,	AAW008Y62016A-2200-Criteria             ,	20220214,	102220,
542,	AAW008Y62016A       ,	2200,	ICONN-PLUS  ,	AAW008Y62016A-2200-Criteria             ,	20220214,	102220,
543,	AAW008Y62016A       ,	2200,	RAPID       ,	AAW008Y62016A-2200-Criteria             ,	20220214,	102220,
544,	AAB063XM5003A       ,	2200,	UTC2000     ,	20220216-B-AAB063XM5003A-2200-Criteria  ,	20220216,	191120,
